signal,horizon,coef,t_stat,p_value,r_squared,n
hy_ig_spread,spy_fwd_1d,3.1e-05,0.21,0.834,0.0,6781
hy_ig_spread,spy_fwd_5d,5e-05,0.182,0.8559,0.0,6777
hy_ig_spread,spy_fwd_21d,-0.000113,-0.245,0.8063,0.0,6761
hy_ig_spread,spy_fwd_63d,-0.001458,-1.921,0.0547,0.0013,6719
hy_ig_spread,spy_fwd_126d,0.001516,1.575,0.1154,0.0006,6656
hy_ig_zscore_252d,spy_fwd_1d,1.5e-05,0.079,0.9373,0.0,6583
hy_ig_zscore_252d,spy_fwd_5d,-1e-06,-0.004,0.9966,0.0,6579
hy_ig_zscore_252d,spy_fwd_21d,0.000494,0.956,0.3391,0.0002,6563
hy_ig_zscore_252d,spy_fwd_63d,-0.000781,-0.949,0.3428,0.0002,6521
hy_ig_zscore_252d,spy_fwd_126d,-0.0041,-3.658,0.0003,0.003,6458
hy_ig_zscore_504d,spy_fwd_1d,5.3e-05,0.253,0.8006,0.0,6383
hy_ig_zscore_504d,spy_fwd_5d,0.000143,0.392,0.6952,0.0001,6379
hy_ig_zscore_504d,spy_fwd_21d,0.000771,1.323,0.1857,0.0005,6363
hy_ig_zscore_504d,spy_fwd_63d,-0.000275,-0.289,0.7723,0.0,6321
hy_ig_zscore_504d,spy_fwd_126d,-0.003139,-2.41,0.0159,0.0016,6258
hy_ig_pctrank_504d,spy_fwd_1d,-3e-06,-0.005,0.9957,0.0,6383
hy_ig_pctrank_504d,spy_fwd_5d,-1.5e-05,-0.014,0.9888,0.0,6379
hy_ig_pctrank_504d,spy_fwd_21d,-0.000186,-0.098,0.9222,0.0,6363
hy_ig_pctrank_504d,spy_fwd_63d,-0.004456,-1.455,0.1458,0.0004,6321
hy_ig_pctrank_504d,spy_fwd_126d,-0.015773,-3.59,0.0003,0.0026,6258
hy_ig_pctrank_1260d,spy_fwd_1d,0.000239,0.358,0.7201,0.0,5783
hy_ig_pctrank_1260d,spy_fwd_5d,0.001041,0.828,0.4078,0.0002,5779
hy_ig_pctrank_1260d,spy_fwd_21d,0.003307,1.416,0.1566,0.0006,5763
hy_ig_pctrank_1260d,spy_fwd_63d,0.005,1.243,0.2138,0.0005,5721
hy_ig_pctrank_1260d,spy_fwd_126d,0.007266,1.213,0.2251,0.0005,5658
hy_ig_roc_21d,spy_fwd_1d,1.6e-05,0.489,0.6245,0.0003,6761
hy_ig_roc_21d,spy_fwd_5d,6.7e-05,1.324,0.1856,0.0013,6757
hy_ig_roc_21d,spy_fwd_21d,0.000229,3.032,0.0024,0.0042,6741
hy_ig_roc_21d,spy_fwd_63d,0.000163,1.316,0.1883,0.0008,6699
hy_ig_roc_21d,spy_fwd_126d,0.000114,0.667,0.5051,0.0002,6636
hy_ig_roc_63d,spy_fwd_1d,1e-05,0.764,0.445,0.0005,6719
hy_ig_roc_63d,spy_fwd_5d,3.8e-05,1.702,0.0887,0.0016,6715
hy_ig_roc_63d,spy_fwd_21d,6.4e-05,1.923,0.0544,0.0012,6699
hy_ig_roc_63d,spy_fwd_63d,-0.000162,-2.697,0.007,0.0029,6657
hy_ig_roc_63d,spy_fwd_126d,-0.000103,-1.404,0.1604,0.0006,6594
hy_ig_roc_126d,spy_fwd_1d,3e-06,0.301,0.7637,0.0001,6656
hy_ig_roc_126d,spy_fwd_5d,5e-06,0.355,0.7229,0.0001,6652
hy_ig_roc_126d,spy_fwd_21d,1.8e-05,0.796,0.4258,0.0002,6636
hy_ig_roc_126d,spy_fwd_63d,-0.000106,-2.78,0.0054,0.0026,6594
hy_ig_roc_126d,spy_fwd_126d,-4.6e-05,-0.999,0.3178,0.0002,6531
hy_ig_mom_21d,spy_fwd_1d,0.000504,0.708,0.4792,0.0006,6761
hy_ig_mom_21d,spy_fwd_5d,0.001872,1.675,0.0939,0.002,6757
hy_ig_mom_21d,spy_fwd_21d,0.004588,2.707,0.0068,0.0033,6741
hy_ig_mom_21d,spy_fwd_63d,-0.005323,-2.014,0.044,0.0017,6699
hy_ig_mom_21d,spy_fwd_126d,-0.005932,-1.789,0.0737,0.001,6636
hy_ig_mom_63d,spy_fwd_1d,0.000137,0.426,0.6698,0.0002,6719
hy_ig_mom_63d,spy_fwd_5d,0.000318,0.577,0.564,0.0002,6715
hy_ig_mom_63d,spy_fwd_21d,-0.001766,-2.297,0.0216,0.0017,6699
hy_ig_mom_63d,spy_fwd_63d,-0.011916,-10.772,0.0,0.0285,6657
hy_ig_mom_63d,spy_fwd_126d,-0.010165,-6.222,0.0,0.0099,6594
hy_ig_acceleration,spy_fwd_1d,4e-06,0.222,0.8244,0.0,6740
hy_ig_acceleration,spy_fwd_5d,1.4e-05,0.487,0.626,0.0001,6736
hy_ig_acceleration,spy_fwd_21d,4.1e-05,0.893,0.3716,0.0003,6720
hy_ig_acceleration,spy_fwd_63d,0.000197,2.586,0.0097,0.0023,6678
hy_ig_acceleration,spy_fwd_126d,0.00013,1.228,0.2195,0.0005,6615
ccc_bb_spread,spy_fwd_1d,-7e-06,-0.12,0.9047,0.0,6781
ccc_bb_spread,spy_fwd_5d,-6.3e-05,-0.579,0.5629,0.0001,6777
ccc_bb_spread,spy_fwd_21d,-0.000348,-1.772,0.0764,0.0008,6761
ccc_bb_spread,spy_fwd_63d,-0.00151,-4.599,0.0,0.006,6719
ccc_bb_spread,spy_fwd_126d,-0.00143,-3.05,0.0023,0.0026,6656
