# Validator after Wave 3 (sidecar backfill)
# After Wave 2 archive: validator only runs on 8 active pairs (TED variants archived)

PAIR                     PASS     WARN     FAIL
----                     ----     ----     ----
indpro_spy                118        0        8
indpro_xlp                 92        0       10
umcsent_xlv                99        0       11
hy_ig_v2_spy               30        0       11
hy_ig_spy                 134        0        5
permit_spy                 77        0       17
vix_vix3m_spy              79        0       12
gold_copper_xli           130        0       12
----                     ----     ----     ----
TOTAL (8 active)          759                86
