# Validator baseline — pre-Wave-1 (commit c4615c9)

PAIR                     PASS     WARN     FAIL
----                     ----     ----     ----
indpro_spy                110        0       16
indpro_xlp                 92        0       10
umcsent_xlv                99        0       11
hy_ig_v2_spy               30        0       11
hy_ig_spy                 134        0        5
permit_spy                 71        0       23
vix_vix3m_spy              73        0       18
sofr_ted_spy               56        0       29
dff_ted_spy                68        0       26
ted_spliced_spy            71        0       23
gold_copper_xli           130        0       12
----                     ----     ----     ----
TOTAL                     934               184
