BASE: https://aig-rlic-plus-260601.streamlit.app
Page                                     Status     Len Markers
LANDING                                  ✓   OK    4171 
indpro_spy/story                         ✓   OK    9823 
indpro_spy/evidence                      ✓   OK    7564 
indpro_spy/strategy                      ✓   OK    5124 
indpro_spy/methodology                   ✓   OK    6638 
indpro_xlp/story                         ✓   OK   12110 
indpro_xlp/evidence                      ✓   OK    7266 
indpro_xlp/strategy                      ✓   OK    5143 
indpro_xlp/methodology                   ✓   OK    7231 
umcsent_xlv/story                        ✓   OK   12715 
umcsent_xlv/evidence                     ✓   OK    7442 
umcsent_xlv/strategy                     ✓   OK    6075 
umcsent_xlv/methodology                  ✓   OK    7420 
hy_ig_v2_spy/story                       ✓   OK   17060 
hy_ig_v2_spy/evidence                    ✓   OK    6481 
hy_ig_v2_spy/strategy                    ✓   OK   12012 
hy_ig_v2_spy/methodology                 ✓   OK   17395 
hy_ig_spy/story                          ✓   OK   14223 
hy_ig_spy/evidence                       ✓   OK    7392 
hy_ig_spy/strategy                       ✓   OK    5470 
hy_ig_spy/methodology                    ✓   OK    7529 
permit_spy/story                         ✓   OK   10264 
permit_spy/evidence                      ✓   OK    6763 
permit_spy/strategy                      ✓   OK    5255 
permit_spy/methodology                   ✓   OK    5730 
vix_vix3m_spy/story                      ✓   OK   11551 
vix_vix3m_spy/evidence                   ✓   OK    9097 
vix_vix3m_spy/strategy                   ✓   OK    5337 
vix_vix3m_spy/methodology                ✓   OK    6092 
sofr_ted_spy/story                       ✓   OK    5989 
sofr_ted_spy/evidence                    ✓   OK    6198 
sofr_ted_spy/strategy                    ✓   OK    5084 
sofr_ted_spy/methodology                 ✓   OK    6078 
dff_ted_spy/story                        ✓   OK    8893 
dff_ted_spy/evidence                     ✓   OK    5860 
dff_ted_spy/strategy                     ✓   OK    5325 
dff_ted_spy/methodology                  ✓   OK    6144 
ted_spliced_spy/story                    ✓   OK    9797 
ted_spliced_spy/evidence                 ✓   OK    6021 
ted_spliced_spy/strategy                 ✓   OK    5414 
ted_spliced_spy/methodology              ✓   OK    6249 
gold_copper_xli/story                    ✓   OK   10281 
gold_copper_xli/evidence                 ✓   OK    7296 
gold_copper_xli/strategy                 ✓   OK    5334 
gold_copper_xli/methodology              ✓   OK    6140 

PASS: 45  FAIL: 0  TOTAL: 45
