column_name,display_name,description,source,series_id,unit,direction_convention,seasonal_adj,effective_start,refresh_freq,known_quirks
eci_total_comp_idx,Employment Cost Index (Total Compensation),"FRED ECIALLCIV: Employment Cost Index — Total compensation, All Civilian. Quarterly, SA, index Dec 2005 = 100. Measures employer labor costs (wages + benefits); the Fed's preferred wage-inflation gauge. Countercyclical prior: faster comp growth = wage-inflation pressure = risk-off.",FRED,ECIALLCIV,index,lower_is_better,SA,2001-03-31,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
unrate,Unemployment Rate (%),"FRED UNRATE: civilian unemployment rate, quarter-end month value. Control series.",FRED,UNRATE,pct,lower_is_better,N/A,2001-03-31,monthly,
dgs10,US 10Y Treasury Yield (%),"FRED DGS10: 10-year constant-maturity Treasury yield, quarter-end value. Control.",FRED,DGS10,percent,neutral,N/A,2001-03-31,daily,
fed_funds,Fed Funds Rate (%),"FRED DFF: effective federal funds rate, quarter-end value. Control.",FRED,DFF,pct,neutral,N/A,2001-03-31,daily,
vix,VIX Index Level,"CBOE VIX index, quarter-end close (Yahoo ^VIX). Control / regime variable.",Yahoo Finance,^VIX,index,lower_is_better,N/A,2001-03-31,daily,
spy,SPY Close ($),"SPY adjusted close, quarter-end (Yahoo, auto-adjusted). Target asset.",Yahoo Finance,SPY,price,neutral,N/A,2001-03-31,daily,
eci_total_comp_pct_qoq,ECI Total Comp QoQ (%),1-quarter percent change in eci_total_comp_idx. SA source => seasonally clean. Effective start 2001-Q2.,FRED,ECIALLCIV,pct,lower_is_better,SA,2001-06-30,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_pct_2q,ECI Total Comp 2Q Change (%),2-quarter (~6M) percent change in eci_total_comp_idx. Effective start 2001-Q3.,FRED,ECIALLCIV,pct,lower_is_better,SA,2001-09-30,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_pct_yoy,ECI Total Comp YoY (%),4-quarter (year-over-year) percent change in eci_total_comp_idx — the headline wage-inflation read (BLS/Fed convention). Effective start 2002-Q1.,FRED,ECIALLCIV,pct,lower_is_better,SA,2002-03-31,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_ma8q_idx,ECI Total Comp 8Q MA,8-quarter (~2yr) rolling mean of eci_total_comp_idx (min 6 obs). Trend line for deviation-from-trend.,FRED,ECIALLCIV,index,lower_is_better,SA,2002-06-30,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_dev_trend_pct,ECI Deviation from 8Q Trend (%),Percent deviation of eci_total_comp_idx from its 8-quarter moving average.,FRED,ECIALLCIV,pct,lower_is_better,SA,2002-06-30,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_zscore_20q,ECI Total Comp 20Q Z-Score,Rolling 20-quarter (~5yr) z-score of the LEVEL (min 12 obs). Quarterly analogue of the monthly pairs' 60M z-score. Effective start ~2003-Q4; consumes ~12 of 101 obs before first value.,FRED,ECIALLCIV,none,lower_is_better,SA,2003-12-31,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_yoy_zscore_20q,ECI Growth 20Q Z-Score,Rolling 20-quarter z-score of eci_total_comp_pct_yoy (min 12 obs). Effective start ~2004-Q4 (YoY needs 4q + window needs 12q).,FRED,ECIALLCIV,none,lower_is_better,SA,2004-12-31,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_accel_pct,ECI QoQ Acceleration (pp),First difference of eci_total_comp_pct_qoq (percentage points). Wage-growth acceleration — the inflation-momentum signal. Effective start 2001-Q3.,FRED,ECIALLCIV,pct,lower_is_better,SA,2001-09-30,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
eci_total_comp_yoy_accel_pct,ECI YoY Acceleration (pp),First difference of eci_total_comp_pct_yoy (percentage points). Smoother acceleration read. Effective start 2002-Q2.,FRED,ECIALLCIV,pct,lower_is_better,SA,2002-06-30,quarterly,"FRED ECIALLCIV; Employment Cost Index: Total compensation: All Civilian; QUARTERLY (first quarterly pair in the portal); index Dec 2005 = 100; SEASONALLY ADJUSTED (QoQ transforms are clean, unlike NSA sources); history 2001-Q1 onward (~101 obs, 25yr but FEW observations); BLS releases quarter Q ~1 month after quarter end (end of Jan/Apr/Jul/Oct) => at quarterly granularity the signal is tradable from Q+1: tournament lead grid FLOORS AT L1 (quarters); NOTE: Data Master 'ECI' sheet carries the NSA private-industry variants (Dec 2015=100) — a DIFFERENT variant from this SA all-civilian series; key episodes: 2001 recession, GFC deceleration, COVID, 2021-23 wage surge (YoY peak ~5.1% mid-2022, real)"
spy_ret,SPY Daily Return (decimal),SPY 1-quarter simple return (decimal).,Yahoo Finance,derived,decimal_return,neutral,N/A,2001-06-30,daily,
spy_fwd_1q,SPY Forward 1Q Return,Forward 1-quarter (~3M) SPY return (decimal). Regression/tournament target — quarterly analogue of the monthly pairs' spy_fwd_3m.,Yahoo Finance,derived,decimal_return,neutral,N/A,2001-03-31,daily,
spy_fwd_2q,SPY Forward 2Q Return,Forward 2-quarter (~6M) SPY return (decimal). Regression/tournament target.,Yahoo Finance,derived,decimal_return,neutral,N/A,2001-03-31,daily,
spy_fwd_4q,SPY Forward 4Q Return,Forward 4-quarter (~12M) SPY return (decimal). Regression/tournament target.,Yahoo Finance,derived,decimal_return,neutral,N/A,2001-03-31,daily,
