indicator_id,display_name,category,target,pair_id,status,primary_csv_ticker,aliases,contributing_csv_ticker,source_csv_rows
crude_oil,Crude Oil Price,energy,XLE,crude_oil_xle,not_started,En - Crude Oil $,,En - Crude Oil $,39
petrol_inv,Petroleum Inventory (Crude Oil & Products),energy,SPY,petrol_inv_spy,in_progress,WTTSTUS1,,WTTSTUS1,40
ism_services_price,ISM Services PMI − Price Component,sentiment,XLI,ism_services_price_xli,not_started,"G - ISM Services PMI, price",,"G - ISM Services PMI, price",45
wells_fargo_housing,Wells Fargo Housing Index,real_estate,XLE,wells_fargo_housing_xle,not_started,RE - Wells Fargo H Indx,,RE - Wells Fargo H Indx,48
wells_fargo_housing,Wells Fargo Housing Index,real_estate,XLY,wells_fargo_housing_xly,not_started,RE - Wells Fargo H Indx,,RE - Wells Fargo H Indx,48
wells_fargo_housing,Wells Fargo Housing Index,real_estate,XLK,wells_fargo_housing_xlk,not_started,RE - Wells Fargo H Indx,,RE - Wells Fargo H Indx,48
wells_fargo_housing,Wells Fargo Housing Index,real_estate,XLF,wells_fargo_housing_xlf,not_started,RE - Wells Fargo H Indx,,RE - Wells Fargo H Indx,48
wells_fargo_housing,Wells Fargo Housing Index,real_estate,SPY,wells_fargo_housing_spy,in_progress,RE - Wells Fargo H Indx,,RE - Wells Fargo H Indx,48
elec_cpi_yoy,Electricity Price − CPI YoY,utilities,XLE,elec_cpi_yoy_xle,not_started,Elect Price - CPI (YoY),,Elect Price - CPI (YoY),49
ism_services,ISM Services PMI,sentiment,SPY,ism_services_spy,in_progress,"CDis, CSta - ISM Services PMI",,"CDis, CSta - ISM Services PMI",56
ism_services,ISM Services PMI,sentiment,XLP,ism_services_xlp,not_started,"CDis, CSta - ISM Services PMI",,"CDis, CSta - ISM Services PMI",56
ism_services,ISM Services PMI,sentiment,XLE,ism_services_xle,not_started,"CDis, CSta - ISM Services PMI",,"CDis, CSta - ISM Services PMI",56
ism_services,ISM Services PMI,sentiment,XLI,ism_services_xli,not_started,"CDis, CSta - ISM Services PMI",,"CDis, CSta - ISM Services PMI",56
ism_services,ISM Services PMI,sentiment,XLY,ism_services_xly,not_started,"CDis, CSta - ISM Services PMI",,"CDis, CSta - ISM Services PMI",56
ism_services,ISM Services PMI,sentiment,XLK,ism_services_xlk,not_started,"CDis, CSta - ISM Services PMI",,"CDis, CSta - ISM Services PMI",56
ism_services,ISM Services PMI,sentiment,XLF,ism_services_xlf,not_started,"CDis, CSta - ISM Services PMI",,"CDis, CSta - ISM Services PMI",56
umcsent,UMCSENT (Michigan Consumer Sentiment),sentiment,SPY,umcsent_spy,not_started,UMCSENT,,UMCSENT,58
umcsent,UMCSENT (Michigan Consumer Sentiment),sentiment,XLP,umcsent_xlp,not_started,UMCSENT,,UMCSENT,58
umcsent,UMCSENT (Michigan Consumer Sentiment),sentiment,XLE,umcsent_xle,not_started,UMCSENT,,UMCSENT,58
umcsent,UMCSENT (Michigan Consumer Sentiment),sentiment,XLY,umcsent_xly,not_started,UMCSENT,,UMCSENT,58
umcsent,UMCSENT (Michigan Consumer Sentiment),sentiment,XLK,umcsent_xlk,not_started,UMCSENT,,UMCSENT,58
umcsent,UMCSENT (Michigan Consumer Sentiment),sentiment,XLF,umcsent_xlf,not_started,UMCSENT,,UMCSENT,58
umcsent,UMCSENT (Michigan Consumer Sentiment),sentiment,XLV,umcsent_xlv,not_started,UMCSENT,,UMCSENT,58
sofr_us3m,SOFR − DTB3 (TED-style),credit,SPY,sofr_us3m_spy,archived_deprecated,SOFR-US3M,,SOFR-US3M,61
sofr_us3m,SOFR − DTB3 (TED-style),credit,XLP,sofr_us3m_xlp,archived_deprecated,SOFR-US3M,,SOFR-US3M,61
tedrate,TEDRATE (FRED legacy),credit,SPY,tedrate_spy,archived_deprecated,TEDRATE,,TEDRATE,62
tedrate,TEDRATE (FRED legacy),credit,XLP,tedrate_xlp,archived_deprecated,TEDRATE,,TEDRATE,62
us10y_us3m,10Y−3M Treasury Spread,rates,SPY,us10y_us3m_spy,not_started,G - (US10Y-US3M),,G - (US10Y-US3M),63
