,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
hy_oas,698.0,3.347005730659026,0.541377490082185,2.59,2.92,3.19,3.78,4.95,0.8470112895980579,-0.15863814449309466
ig_oas,698.0,0.984111747851003,0.1910399662365616,0.74,0.82,0.925,1.0975000000000001,1.51,0.9001733442778538,-0.23789019902864528
bb_hy_oas,698.0,2.0843553008595985,0.4160712606672194,1.56,1.79,1.91,2.3675,3.33,1.034732305883159,-0.05944663022843555
ccc_hy_oas,698.0,8.880859598853869,0.9202790140821171,6.9,8.39,8.985,9.4,11.37,-0.13914398691016885,-0.16421738203054614
dgs10,6783.0,3.3220212295444487,1.2942399094540673,0.52,2.24,3.43,4.3,6.79,0.04838888277404758,-0.7324892360522042
dtb3,6783.0,1.8897537962553443,1.931890521293482,-0.05,0.11,1.21,3.66,6.24,0.6940464438946176,-0.9770773130894628
dgs2,6783.0,2.2601842842400117,1.76503400568753,0.09,0.65,1.81,3.85,6.93,0.5460459487093763,-0.8605905573112427
nfci,6779.0,-0.35019294881250923,0.5218896756246466,-0.815,-0.603,-0.497,-0.302,3.061,3.7477066036109856,16.94296683698178
fed_funds_rate,6783.0,2.0089149343948103,2.032767005996026,0.04,0.14,1.27,3.98,7.03,0.7171262176644748,-0.9327658308671705
bbb_oas,698.0,1.2250716332378222,0.22872062117661726,0.93,1.03,1.15,1.3775,1.85,0.9260595108702739,-0.19168846213883795
fsi,6779.0,0.027168520430741958,1.1026982381412702,-1.1336,-0.6124499999999999,-0.2428,0.31765,9.663,3.841633249548547,21.714164487897712
initial_claims,6783.0,370229.8393041427,346157.2717418896,190000.0,244000.0,321000.0,394000.0,6137000.0,10.735864937053657,146.5504557774346
sofr,2022.0,2.5979475766567757,1.989031847525728,0.01,0.1,2.37,4.4,5.4,0.013268483986447905,-1.5053340654114644
spy,6783.0,196.06845976683167,152.72488448700136,49.80856704711914,84.43347930908203,115.7875747680664,260.0476379394531,688.4996948242188,1.3343657551052066,0.846878496502887
vix,6783.0,19.809385228821366,8.336435667868438,9.140000343322754,13.970000267028809,17.770000457763672,23.209999084472656,82.69000244140625,2.218196385872636,8.200428867795686
vix3m,5078.0,21.216451364316637,7.654808607957846,11.029999732971191,15.829999923706055,19.489999771118164,24.389999389648438,72.9800033569336,1.9921673347270608,5.984821815780553
kbe,5252.0,31.14954792472668,11.71737496932786,6.473660945892334,22.267780780792236,32.267168045043945,38.71070098876953,62.216529846191406,0.32361465447051846,-0.5659999085959182
iwm,6679.0,99.29765705748899,60.533580203271335,23.896095275878906,48.98702621459961,77.49453735351562,142.68243408203125,256.4821472167969,0.7009880357970548,-0.7498531381152467
