,count,mean,std,min,25%,50%,75%,max
cass_freight_idx,125.0,1.123,0.0821,0.886,1.077,1.124,1.18,1.307
unrate,124.0,4.5734,1.6963,3.4,3.7,4.1,4.625,14.8
dgs10,125.0,2.7499,1.2052,0.55,1.74,2.67,3.97,4.88
fed_funds,125.0,2.2428,1.9116,0.05,0.3,1.9,4.33,5.33
vix,125.0,18.5167,6.8509,9.51,13.59,16.72,20.58,53.54
spy,125.0,368.2221,151.4883,163.1823,240.6946,353.1801,441.2461,754.5361
cass_freight_pct_yoy,113.0,-0.4936,8.6018,-23.6156,-5.8824,-2.0868,3.9926,35.2878
cass_freight_pct_mom,124.0,0.1325,3.9783,-15.0874,-1.8857,0.0,2.0515,10.4822
cass_freight_3m_pct,122.0,0.1641,6.3034,-13.5484,-3.1153,-0.3365,3.3949,21.2152
cass_freight_6m_pct,119.0,-0.1571,7.5142,-19.8785,-4.3783,-0.9025,3.8219,27.844
cass_freight_ma12_idx,116.0,1.1311,0.0603,1.0,1.0846,1.1339,1.1892,1.2147
cass_freight_dev_trend_pct,116.0,-0.4178,5.3123,-17.4296,-3.1992,-0.607,3.255,11.9377
cass_freight_zscore_60m,90.0,-0.3693,1.0242,-2.9164,-1.0227,-0.2817,0.4925,1.6829
cass_freight_yoy_zscore_60m,78.0,-0.3101,0.997,-3.2172,-0.7134,-0.3942,0.0638,3.302
cass_freight_accel_pct,123.0,-0.0435,5.7575,-15.2717,-3.624,-0.2107,2.8734,19.3887
cass_freight_contraction,125.0,0.544,0.5001,0.0,0.0,1.0,1.0,1.0
spy_ret,124.0,0.0134,0.0438,-0.1249,-0.0086,0.0183,0.0371,0.127
spy_fwd_1m,124.0,0.0134,0.0438,-0.1249,-0.0086,0.0183,0.0371,0.127
spy_fwd_3m,122.0,0.0382,0.0651,-0.1945,0.0047,0.0425,0.0791,0.2016
spy_fwd_6m,119.0,0.0766,0.0884,-0.2025,0.026,0.0898,0.1342,0.3102
spy_fwd_12m,113.0,0.1586,0.1347,-0.1818,0.0943,0.1633,0.2319,0.5623
