,count,mean,std,min,25%,50%,75%,max
eci_total_comp_idx,101.0,123.1287,24.1479,84.7,105.1,119.5,138.9,175.618
unrate,101.0,5.6574,1.8647,3.5,4.3,5.0,6.3,11.0
dgs10,101.0,3.2001,1.1968,0.66,2.27,3.31,4.2,5.42
fed_funds,101.0,1.8473,1.8819,0.04,0.09,1.38,3.35,5.34
vix,101.0,19.7787,8.1413,9.51,13.95,17.35,23.4,53.54
spy,101.0,206.2227,163.2362,53.0228,84.0422,135.3837,269.1882,678.3152
eci_total_comp_pct_qoq,100.0,0.7322,0.2431,0.1618,0.5579,0.7343,0.9001,1.3324
eci_total_comp_pct_2q,99.0,1.4662,0.4564,0.5474,1.108,1.435,1.7851,2.6316
eci_total_comp_pct_yoy,97.0,2.9415,0.8889,1.3686,2.1371,2.8331,3.6036,5.114
eci_total_comp_ma8q_idx,96.0,121.9088,22.2322,86.75,105.2781,118.9625,136.8438,170.5121
eci_total_comp_dev_trend_pct,96.0,2.5322,0.7386,1.4033,1.8643,2.4461,3.1008,4.243
eci_total_comp_zscore_20q,90.0,1.6368,0.1215,1.3589,1.5696,1.6234,1.703,1.9469
eci_total_comp_yoy_zscore_20q,86.0,0.1223,1.4138,-2.7336,-0.6492,-0.1253,1.1009,3.1353
eci_total_comp_accel_pct,99.0,-0.0004,0.1795,-0.4897,-0.1205,-0.0031,0.0894,0.5505
eci_total_comp_yoy_accel_pct,96.0,-0.0037,0.2243,-0.5957,-0.1543,-0.0124,0.082,0.7639
spy_ret,100.0,0.0253,0.0813,-0.2157,-0.0113,0.0373,0.0777,0.2016
spy_fwd_1q,100.0,0.0253,0.0813,-0.2157,-0.0113,0.0373,0.0777,0.2016
spy_fwd_2q,99.0,0.0518,0.1182,-0.3039,-0.0051,0.0635,0.1149,0.3417
spy_fwd_4q,97.0,0.1086,0.17,-0.3816,0.0397,0.1374,0.1955,0.5623
