,count,mean,std,min,25%,50%,75%,max
ism,394.0,52.545685279187815,4.794955381637529,34.5,49.2,52.75,56.075,64.7
spy,394.0,161.94974055992165,145.56698878818486,24.113264083862305,69.84126091003418,94.8912353515625,214.9436378479004,676.4556274414062
spy_ret,393.0,0.009435389544764047,0.04262958178167577,-0.1651868412705786,-0.01570212417102823,0.013570441273654144,0.03683845406186559,0.12698336243143005
spy_fwd_1m,393.0,0.009435389544764047,0.04262958178167577,-0.1651868412705786,-0.01570212417102823,0.013570441273654144,0.03683845406186559,0.12698336243143005
spy_fwd_3m,391.0,0.02828654510923157,0.07309663936797432,-0.29643984008785484,-0.00943474296045782,0.03567414600533203,0.07229106553660913,0.26054742547157095
spy_fwd_6m,388.0,0.05737972040168801,0.10768562323574171,-0.41795522571928023,0.007180539081995563,0.0626305340768234,0.12467446186170728,0.40371017429787415
ism_level,394.0,52.545685279187815,4.794955381637529,34.5,49.2,52.75,56.075,64.7
ism_diff_1m,393.0,-0.018066157760814234,1.8036681234899115,-9.0,-1.0,-0.09999999999999432,0.9000000000000057,9.100000000000001
ism_chg_12m,390.0,-0.051794871794871786,3.760316996834595,-15.600000000000001,-2.3999999999999986,-0.25,2.200000000000001,13.899999999999999
ism_zscore_60m,371.0,-0.11301798910809757,1.1200530030880766,-3.7965213699530325,-0.8756788404927633,-0.04180460988343118,0.7069505220439054,2.333829595493702
