,count,mean,std,min,25%,50%,75%,max
ism_services_pmi,340.0,54.7003,3.9617,37.8,52.75,55.3,57.025,67.5
ism_services_gap_50,340.0,4.7003,3.9617,-12.2,2.75,5.3,7.025,17.5
ism_services_delta,339.0,-0.0126,2.1493,-11.2,-1.125,0.1,1.25,11.9
ism_services_3m_change,337.0,-0.0607,2.987,-14.33,-1.6,-0.1,1.4,15.0
ism_services_6m_change,334.0,-0.1204,3.5917,-13.7,-2.1,-0.28,1.96,14.43
ism_services_zscore_60m,305.0,-0.0396,1.2565,-5.3034,-0.8341,0.1385,0.8566,2.7044
ism_services_above_50,340.0,0.8941,0.3081,0.0,1.0,1.0,1.0,1.0
spy,340.0,182.91,146.9444,53.1594,80.5562,104.4731,243.0198,678.1983
spy_ret,339.0,0.0083,0.0442,-0.1652,-0.0168,0.0129,0.0369,0.127
spy_fwd_1m,339.0,0.0083,0.0442,-0.1652,-0.0168,0.0129,0.0369,0.127
spy_fwd_3m,337.0,0.025,0.0755,-0.2964,-0.0131,0.0348,0.0714,0.2605
spy_fwd_6m,334.0,0.0503,0.1106,-0.418,-0.0053,0.0594,0.1148,0.4037
spy_fwd_12m,328.0,0.1007,0.1652,-0.4342,0.0275,0.1302,0.2023,0.5623
