,count,mean,min,25%,50%,75%,max,std
spy,8403.0,171.39249498430183,23.82171630859375,70.68813705444336,95.71268463134766,231.62359619140625,757.6182250976562,160.0096949098414
reference_month_end,8403,2009-08-24 23:51:56.744019968,1992-12-31 00:00:00,2001-04-30 00:00:00,2009-08-31 00:00:00,2017-12-31 00:00:00,2026-04-30 00:00:00,
release_date,8403,2009-09-18 20:13:37.422349312,1993-01-26 00:00:00,2001-05-22 00:00:00,2009-09-22 00:00:00,2018-01-23 00:00:00,2026-05-26 00:00:00,
m2sl_usd,8403.0,10196.129548970606,3411.3,5137.2,8463.0,13881.7,22804.5,6040.751862207885
m2sl_pct_yoy,8403.0,5.876270758472041,-4.630790785272964,4.0120169763634195,5.733722060252688,7.0938471448175555,26.775272051325082,4.328092187092984
m2sl_pct_mom,8403.0,0.4789543454133755,-1.3938774837710555,0.23201856148491462,0.4256602167320045,0.6321995773975964,6.438595396993696,0.5609074794613295
m2sl_3m_pct,8403.0,1.438067665727522,-2.4342791620064475,0.9094447786545778,1.3487133984028343,1.7998000222197552,15.745414176358974,1.441257615631492
m2sl_6m_pct,8403.0,2.8993067022762733,-3.2621205414346544,1.9468756138551147,2.7966695336815173,3.563221058984656,18.851890504372193,2.458050881345983
m2sl_yoy_accel_pct,8403.0,0.00959785906350691,-5.727147723364666,-0.22851418795859502,0.04713802545768253,0.32179786604424887,6.792394027760064,0.7940994091861572
m2sl_yoy_zscore_120m,8403.0,0.10873949764984056,-2.6250078873977594,-0.7936291347503113,-0.07419916168478279,0.8173409317177243,6.2912429799300895,1.336174388526467
m2sl_contraction_flag,8403.0,0.037248601689872665,0.0,0.0,0.0,0.0,1.0,0.189381655736571
days_since_release,8403.0,14.288468404141378,0.0,7.0,14.0,22.0,34.0,9.070020095394993
spy_ret,8402.0,0.00047595526512243455,-0.10942355189335762,-0.004318134504546128,0.0006842729697387195,0.0059462249387118304,0.14519776461549894,0.011703330914762632
spy_fwd_1d,8402.0,0.00047595526512243444,-0.10942355189335762,-0.004318134504546128,0.0006842729697387195,0.0059462249387118304,0.14519776461549894,0.011703330914762632
spy_fwd_5d,8398.0,0.002321521973598926,-0.19793376160488785,-0.009117893167012087,0.003757652774932896,0.015139859297969849,0.19403619185497045,0.023786363616485777
spy_fwd_21d,8382.0,0.009665647566724665,-0.3275129025823035,-0.012475723528728971,0.01445682305345164,0.03596341734854064,0.25185026163800583,0.045367834180270676
spy_fwd_63d,8340.0,0.02857093841342561,-0.4146802133800407,-0.008018558296631395,0.03712921018275828,0.07304268985023776,0.39935793401894215,0.07449002151386071
spy_fwd_126d,8277.0,0.05818028716409691,-0.4544889203446115,0.003710700875686035,0.0677315977467785,0.12378567301262344,0.5177089597667717,0.10853629714392513
spy_fwd_252d,8151.0,0.12056996791429227,-0.47354144789919195,0.043331947882429556,0.14314808312939364,0.2248403782713294,0.7750450594226035,0.16771678375631133
