,count,mean,std,min,25%,50%,75%,max
m2sl_usd,400.0,10224.1815,6054.0187,3411.3,5138.625,8463.25,13886.35,22804.5
m2sl_pct_yoy,388.0,6.0334,4.3111,-4.6308,4.1246,5.7915,7.145,26.7753
m2sl_pct_mom,399.0,0.4782,0.5595,-1.3939,0.2341,0.4244,0.6309,6.4386
m2sl_3m_pct,397.0,1.4515,1.4276,-2.4343,0.9273,1.3625,1.8071,15.7454
m2sl_6m_pct,394.0,2.9389,2.4435,-3.2621,2.012,2.8099,3.609,18.8519
m2sl_yoy_accel_pct,387.0,0.008,0.8069,-5.7271,-0.228,0.0471,0.323,6.7924
m2sl_yoy_zscore_120m,329.0,0.125,1.3118,-2.625,-0.6011,-0.0776,0.6793,6.2912
m2sl_contraction_flag,400.0,0.0375,0.1902,0.0,0.0,0.0,0.0,1.0
spy,400.0,169.7511,157.7456,24.1133,70.1261,95.88,231.5891,716.8133
spy_ret,399.0,0.0095,0.0427,-0.1652,-0.0155,0.0136,0.0367,0.127
spy_fwd_1m,399.0,0.0095,0.0427,-0.1652,-0.0155,0.0136,0.0367,0.127
spy_fwd_3m,397.0,0.0281,0.0727,-0.2964,-0.0089,0.0355,0.0722,0.2605
spy_fwd_6m,394.0,0.0577,0.1071,-0.418,0.0074,0.063,0.124,0.4037
spy_fwd_12m,388.0,0.1197,0.1658,-0.4342,0.0451,0.1432,0.2179,0.5623
