,count,mean,min,25%,50%,75%,max,std
spy,8403.0,171.39249498430183,23.82171630859375,70.68813705444336,95.71268463134766,231.62359619140625,757.6182250976562,160.0096949098414
reference_month_end,8403,2009-08-24 23:51:56.744020,1992-12-31 00:00:00,2001-04-30 00:00:00,2009-08-31 00:00:00,2017-12-31 00:00:00,2026-04-30 00:00:00,
release_date,8403,2009-09-18 20:13:37.422349312,1993-01-26 00:00:00,2001-05-22 00:00:00,2009-09-22 00:00:00,2018-01-23 00:00:00,2026-05-26 00:00:00,
nhs_nsa,8403.0,59.22706176365584,20.0,44.0,57.0,72.0,127.0,21.464104449819736
nhs_pct_yoy,8403.0,1.8731822630902888,-45.45454545454546,-7.692307692307687,4.0000000000000036,13.861386138613852,54.54545454545454,17.41578228000324
nhs_yoy_accel_pct,8403.0,-0.08295438059179172,-51.654411764705884,-7.317073170731714,0.3018108651911433,7.048872180451127,34.84848484848484,11.300482356308958
nhs_3m_pct_yoy,8403.0,1.7167729988236584,-42.10526315789473,-5.5555555555555465,4.230769230769216,11.695906432748536,44.64285714285714,15.943775579370364
nhs_sa,8403.0,59.14998353322156,22.763684280640856,44.42755880348962,56.7772444662163,72.27687534749809,120.07265899967858,20.44713785412993
nhs_sa_pct_mom,8403.0,0.2850673073247495,-37.78485715901749,-4.019447448234437,0.28557161010709375,3.8428148621823643,42.101910681779195,7.529751248150661
nhs_sa_3m_pct,8403.0,0.5884481202706346,-38.272640046911164,-5.5555617879692765,0.29430656935609534,6.006780643234388,95.95337512940327,10.982805059199686
nhs_yoy_zscore_120m,8403.0,-0.07169529273024045,-3.5202250991327726,-0.7111094088854759,0.049268608259975075,0.7659332425375404,3.134525744548555,1.159463925465845
nhs_yoy_contraction_flag,8403.0,0.3551112697846007,0.0,0.0,0.0,1.0,1.0,0.47857550306668784
days_since_release,8403.0,14.288468404141378,0.0,7.0,14.0,22.0,34.0,9.070020095394993
spy_ret,8402.0,0.00047595526512243455,-0.10942355189335762,-0.004318134504546128,0.0006842729697387195,0.0059462249387118304,0.14519776461549894,0.011703330914762632
spy_fwd_1d,8402.0,0.00047595526512243444,-0.10942355189335762,-0.004318134504546128,0.0006842729697387195,0.0059462249387118304,0.14519776461549894,0.011703330914762632
spy_fwd_5d,8398.0,0.002321521973598926,-0.19793376160488785,-0.009117893167012087,0.003757652774932896,0.015139859297969849,0.19403619185497045,0.023786363616485777
spy_fwd_21d,8382.0,0.009665647566724665,-0.3275129025823035,-0.012475723528728971,0.01445682305345164,0.03596341734854064,0.25185026163800583,0.045367834180270676
spy_fwd_63d,8340.0,0.02857093841342561,-0.4146802133800407,-0.008018558296631395,0.03712921018275828,0.07304268985023776,0.39935793401894215,0.07449002151386071
spy_fwd_126d,8277.0,0.05818028716409691,-0.4544889203446115,0.003710700875686035,0.0677315977467785,0.12378567301262344,0.5177089597667717,0.10853629714392513
spy_fwd_252d,8151.0,0.12056996791429227,-0.47354144789919195,0.043331947882429556,0.14314808312939364,0.2248403782713294,0.7750450594226035,0.16771678375631133
