,count,mean,std,min,25%,50%,75%,max
nhs_nsa,437.0,58.0641,20.9454,20.0,44.0,56.0,70.0,127.0
nhs_pct_yoy,425.0,2.2624,17.6277,-45.4545,-7.0423,4.1667,13.8889,60.0
nhs_yoy_accel_pct,424.0,0.0576,11.4102,-51.6544,-7.3012,0.4169,7.1742,35.8621
nhs_3m_pct_yoy,423.0,2.1185,16.0518,-42.1053,-5.4374,4.4304,12.0953,44.6429
nhs_sa,437.0,58.0203,19.9609,22.8093,43.4387,55.0297,71.3569,120.2146
nhs_sa_pct_mom,436.0,0.3184,7.6483,-37.8139,-3.8634,0.2741,3.9775,42.9586
nhs_sa_3m_pct,434.0,0.6532,11.2411,-38.1765,-5.3296,0.3442,5.9151,96.9814
nhs_yoy_zscore_120m,366.0,-0.1321,1.1836,-3.5202,-0.7888,-0.0072,0.6743,3.1345
nhs_yoy_contraction_flag,437.0,0.3455,0.4761,0.0,0.0,0.0,1.0,1.0
spy,401.0,171.2094,160.232,24.1133,70.1479,95.9282,231.9457,754.5361
spy_ret,400.0,0.0096,0.0427,-0.1652,-0.0153,0.0136,0.0369,0.127
spy_fwd_1m,400.0,0.0096,0.0427,-0.1652,-0.0153,0.0136,0.0369,0.127
spy_fwd_3m,398.0,0.0283,0.0727,-0.2964,-0.0088,0.0356,0.0723,0.2605
spy_fwd_6m,395.0,0.0579,0.107,-0.418,0.0075,0.0632,0.1239,0.4037
spy_fwd_12m,389.0,0.1201,0.1659,-0.4342,0.0454,0.1434,0.2183,0.5623
