,count,mean,std,min,25%,50%,75%,max
petrol_inv_kb,429.0,1697558.7114,151006.4278,1445807.6,1590202.5,1658236.0,1784949.2,2112596.2
petrol_inv_pct_yoy,417.0,0.085,4.6233,-12.0209,-2.3902,0.4719,2.868,10.2672
petrol_inv_pct_chg,428.0,0.0184,1.0329,-2.6428,-0.6738,0.0344,0.7116,4.4261
petrol_inv_3m_pct,426.0,0.0549,2.455,-7.178,-1.5904,-0.0583,1.7846,10.4501
petrol_inv_6m_pct,423.0,0.0889,3.7006,-10.2611,-2.5608,0.2086,2.7633,10.298
petrol_inv_ma12_kb,420.0,1698872.4172,148265.2022,1484423.4208,1597580.5104,1649152.6703,1784444.0979,2035114.8083
petrol_inv_dev_trend_pct,420.0,0.0045,2.6267,-7.8071,-1.5836,0.1127,1.9556,7.521
petrol_inv_zscore_60m,394.0,0.1784,1.3365,-3.285,-0.7049,0.1662,1.0291,3.1209
petrol_inv_yoy_zscore_60m,382.0,-0.0284,1.1355,-2.6247,-0.9063,-0.0213,0.7122,3.2389
petrol_inv_accel_pct,427.0,-0.0013,0.9719,-2.9331,-0.6562,-0.052,0.5854,5.3143
spy,393.0,161.0544,143.7807,24.1754,69.9479,94.7095,215.0269,662.4083
vix,393.0,19.6066,7.6249,9.51,13.72,17.75,23.63,59.89
dgs10,429.0,4.234,1.9516,0.55,2.58,4.14,5.7,9.04
spy_ret,392.0,0.0094,0.0427,-0.1652,-0.0157,0.0136,0.0369,0.127
spy_fwd_1m,392.0,0.0094,0.0427,-0.1652,-0.0157,0.0136,0.0369,0.127
spy_fwd_3m,390.0,0.0281,0.0731,-0.2964,-0.0097,0.0356,0.0723,0.2605
spy_fwd_6m,387.0,0.0569,0.1074,-0.418,0.0069,0.0624,0.1239,0.4037
spy_fwd_12m,381.0,0.1183,0.1669,-0.4342,0.0419,0.141,0.2183,0.5623
