,count,mean,std,min,25%,50%,75%,max
invsales,391.0,1.479539641943734,0.14137164274777597,1.09,1.395,1.49,1.59,1.75
spy,391.0,158.14080329075495,139.42940769896236,24.11324691772461,69.57910537719727,94.4639663696289,209.4891128540039,625.153076171875
spy_ret,390.0,0.009302900406865402,0.042762903685012565,-0.16518627999462543,-0.015704857647450943,0.013468488000429102,0.03691419378199606,0.12698374983212646
spy_fwd_1m,390.0,0.009302900406865402,0.042762903685012565,-0.16518627999462543,-0.015704857647450943,0.013468488000429102,0.03691419378199606,0.12698374983212646
spy_fwd_3m,388.0,0.027832710058912243,0.07319276112115021,-0.2964403432866388,-0.010050197925782045,0.035530706511708976,0.07216208577107458,0.2605474563647139
spy_fwd_6m,385.0,0.05645840370636313,0.10745915584729902,-0.4179551224666742,0.0064744746907345885,0.06102296140839614,0.1237853160359752,0.4037094370297001
invsales_level,391.0,1.479539641943734,0.14137164274777597,1.09,1.395,1.49,1.59,1.75
invsales_diff_1m,390.0,-0.0009743589743589741,0.02907439900683409,-0.34999999999999987,-0.010000000000000009,0.0,0.010000000000000009,0.1399999999999999
invsales_chg_12m,387.0,-0.004186046511627906,0.05017633684207151,-0.45999999999999996,-0.020000000000000018,0.0,0.020000000000000018,0.25
invsales_zscore_60m,368.0,-0.5093138878481025,1.3012426355912476,-4.881873458750545,-1.3952364418506535,-0.6527047594195501,0.27236346559667524,5.717930983431289
