,count,mean,std,min,25%,50%,75%,max
umcsent,393.0,28.463104325699746,8.348853491605446,13.0,23.0,27.0,33.0,58.0
spy,393.0,160.64056293594322,143.411257773415,24.1132755279541,69.76809692382812,94.46611785888672,214.4743194580078,660.7061157226562
spy_ret,392.0,0.00939864735512864,0.04267780237566123,-0.16518678039577428,-0.015702885066945865,0.013568373781957854,0.03686380733586503,0.12698341879930197
spy_fwd_1m,392.0,0.00939864735512864,0.04267780237566123,-0.16518678039577428,-0.015702885066945865,0.013568373781957854,0.03686380733586503,0.12698341879930197
spy_fwd_3m,390.0,0.028148652605836152,0.0731395700039992,-0.29644045915926753,-0.00969393692793663,0.03560562259408173,0.07227095862570354,0.2605476715685322
spy_fwd_6m,387.0,0.05691555250002335,0.1074356688556855,-0.41795538302126545,0.006945226561638429,0.06244152758721433,0.12392819491159046,0.4037101171811417
umcsent_level,393.0,28.463104325699746,8.348853491605446,13.0,23.0,27.0,33.0,58.0
umcsent_diff_1m,392.0,-0.058673469387755105,4.046927573881911,-19.0,-2.0,0.0,2.0,19.0
umcsent_chg_12m,381.0,-0.08661417322834646,9.99896596394419,-30.0,-6.0,-1.0,5.0,30.0
umcsent_zscore_60m,370.0,0.048810106744653664,1.2007487081931694,-2.315069781473967,-0.8290982399785237,-0.11603936419037009,0.7295077009378126,4.317954770346371
