,count,mean,std,min,25%,50%,75%,max
nahb_hmi,490.0,51.4898,17.5525,8.0,42.0,55.0,63.75,90.0
unrate,489.0,5.7493,1.6664,3.4,4.5,5.4,6.7,14.8
dgs10,490.0,4.788,2.3886,0.55,2.7575,4.455,6.45,11.91
fed_funds,490.0,3.5696,2.8778,0.04,0.3775,3.765,5.59,14.35
vix,430.0,19.5105,7.4239,9.51,13.7925,17.555,23.395,59.89
spy,394.0,161.9441,145.5471,24.1132,69.8412,94.8913,214.9436,674.244
nahb_hmi_pct_yoy,478.0,3.705,32.9657,-63.0952,-14.545,2.5856,15.0708,185.7143
nahb_hmi_pct_mom,489.0,0.3389,8.892,-58.3333,-4.0,0.0,3.9216,56.7568
nahb_hmi_3m_pct,487.0,1.2115,18.4324,-60.0,-7.0926,0.0,7.1429,140.0
nahb_hmi_6m_pct,484.0,2.2709,25.7416,-57.7465,-10.0,0.0,10.8042,183.3333
nahb_hmi_diff_12m,478.0,-0.4226,12.6866,-53.0,-7.0,1.0,7.0,53.0
nahb_hmi_diff_3m,487.0,-0.1253,7.211,-45.0,-4.0,0.0,4.0,42.0
nahb_hmi_ma12_idx,481.0,51.6619,16.7185,12.6667,43.75,55.6667,63.3333,83.1667
nahb_hmi_dev_trend_pct,481.0,0.0232,16.037,-54.9437,-8.1001,0.5682,8.377,55.5556
nahb_hmi_zscore_60m,455.0,0.0601,1.4446,-5.046,-0.9531,0.1754,1.2146,3.4641
nahb_hmi_diff12_zscore_60m,443.0,-0.0481,1.2315,-4.3005,-0.7536,0.0091,0.7872,4.2097
nahb_hmi_accel_pct,488.0,-0.0008,11.155,-55.6306,-5.5616,-0.1268,5.0676,81.6667
nahb_hmi_above50,490.0,0.6306,0.4831,0.0,0.0,1.0,1.0,1.0
spy_ret,393.0,0.0094,0.0426,-0.1652,-0.0157,0.0136,0.0368,0.127
spy_fwd_1m,393.0,0.0094,0.0426,-0.1652,-0.0157,0.0136,0.0368,0.127
spy_fwd_3m,391.0,0.0283,0.0731,-0.2964,-0.0094,0.0357,0.0723,0.2605
spy_fwd_6m,388.0,0.0574,0.1077,-0.418,0.0072,0.0626,0.1247,0.4037
spy_fwd_12m,382.0,0.1186,0.1668,-0.4342,0.0425,0.1411,0.2181,0.5623
