lead_months,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
0,161,1.0803,0.6492,0.5083,0.8145,hy_ig_roc_63d,Trp75_lo,P1,-0.0833
1,159,1.2668,0.6894,0.5144,0.8491,hy_ig_acceleration,Tp10_hi,P2,-0.1945
2,165,1.5457,0.6624,0.5018,0.7849,hmm_2state_prob_stress,Tp10_hi,P2,-0.2393
3,171,1.1729,0.6409,0.4931,0.7639,hy_ig_acceleration,Tp75_hi,P1,-0.0576
4,172,1.0104,0.624,0.4753,0.778,hy_ig_roc_21d,Tp90_lo,P1,-0.1945
5,154,1.1566,0.6812,0.5632,0.8058,hy_ig_pctrank_504d,Tp10_hi,P2,-0.1945
6,159,1.2182,0.6895,0.5536,0.8217,hmm_2state_prob_stress,Tz1_lo,P1,-0.1945
7,166,1.2549,0.7011,0.5124,0.8294,hy_ig_pctrank_504d,Tp25_hi,P1,-0.1945
8,168,1.0946,0.6507,0.5151,0.7748,hmm_2state_prob_stress,Tp75_hi,P1,-0.0485
9,160,1.1615,0.7384,0.5397,0.8497,hmm_2state_prob_stress,Trp25_hi,P1,-0.1353
10,166,1.1194,0.6468,0.5267,0.7787,hy_ig_roc_21d,Tp25_lo,P1,-0.0474
11,162,1.3468,0.7269,0.5476,0.8583,hy_ig_mom_63d,Trp75_hi,P1,-0.0163
12,167,1.0886,0.6974,0.5287,0.8177,hy_ig_roc_21d,Tp25_hi,P1,-0.2705
