lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,0.0082,-0.0996,0.0996,False,AR(12),367
-19,-0.0108,-0.0996,0.0996,False,AR(12),368
-18,0.0054,-0.0996,0.0996,False,AR(12),369
-17,-0.0187,-0.0996,0.0996,False,AR(12),370
-16,0.0064,-0.0996,0.0996,False,AR(12),371
-15,0.017,-0.0996,0.0996,False,AR(12),372
-14,0.0171,-0.0996,0.0996,False,AR(12),373
-13,0.0265,-0.0996,0.0996,False,AR(12),374
-12,-0.0602,-0.0996,0.0996,False,AR(12),375
-11,-0.0016,-0.0996,0.0996,False,AR(12),376
-10,0.0364,-0.0996,0.0996,False,AR(12),377
-9,-0.0229,-0.0996,0.0996,False,AR(12),378
-8,0.0114,-0.0996,0.0996,False,AR(12),379
-7,-0.0189,-0.0996,0.0996,False,AR(12),380
-6,0.045,-0.0996,0.0996,False,AR(12),381
-5,-0.0601,-0.0996,0.0996,False,AR(12),382
-4,0.0221,-0.0996,0.0996,False,AR(12),383
-3,0.0157,-0.0996,0.0996,False,AR(12),384
-2,-0.0494,-0.0996,0.0996,False,AR(12),385
-1,0.0048,-0.0996,0.0996,False,AR(12),386
0,0.0169,-0.0996,0.0996,False,AR(12),387
1,0.0667,-0.0996,0.0996,False,AR(12),386
2,-0.0819,-0.0996,0.0996,False,AR(12),385
3,0.069,-0.0996,0.0996,False,AR(12),384
4,-0.0274,-0.0996,0.0996,False,AR(12),383
5,0.0033,-0.0996,0.0996,False,AR(12),382
6,-0.0202,-0.0996,0.0996,False,AR(12),381
7,0.0246,-0.0996,0.0996,False,AR(12),380
8,-0.0012,-0.0996,0.0996,False,AR(12),379
9,-0.009,-0.0996,0.0996,False,AR(12),378
10,-0.023,-0.0996,0.0996,False,AR(12),377
11,0.0223,-0.0996,0.0996,False,AR(12),376
12,-0.0053,-0.0996,0.0996,False,AR(12),375
13,0.0135,-0.0996,0.0996,False,AR(12),374
14,-0.0219,-0.0996,0.0996,False,AR(12),373
15,0.0252,-0.0996,0.0996,False,AR(12),372
16,-0.0732,-0.0996,0.0996,False,AR(12),371
17,0.1192,-0.0996,0.0996,True,AR(12),370
18,-0.0959,-0.0996,0.0996,False,AR(12),369
19,0.0293,-0.0996,0.0996,False,AR(12),368
20,0.0336,-0.0996,0.0996,False,AR(12),367
