date,rolling_corr,n_obs,window_start
1995-07-31,0.3956,24,1993-08-31
1995-08-31,0.4306,24,1993-09-30
1995-09-30,0.4335,24,1993-10-31
1995-10-31,0.3896,24,1993-11-30
1995-11-30,0.3834,24,1993-12-31
1995-12-31,0.402,24,1994-01-31
1996-01-31,0.2992,24,1994-02-28
1996-02-29,0.2024,24,1994-03-31
1996-03-31,0.2019,24,1994-04-30
1996-04-30,0.1889,24,1994-05-31
1996-05-31,0.0659,24,1994-06-30
1996-06-30,0.2354,24,1994-07-31
1996-07-31,0.2669,24,1994-08-31
1996-08-31,0.0439,24,1994-09-30
1996-09-30,0.0076,24,1994-10-31
1996-10-31,-0.0032,24,1994-11-30
1996-11-30,0.0383,24,1994-12-31
1996-12-31,0.0239,24,1995-01-31
1997-01-31,0.0051,24,1995-02-28
1997-02-28,0.087,24,1995-03-31
1997-03-31,0.1786,24,1995-04-30
1997-04-30,0.1825,24,1995-05-31
1997-05-31,0.1817,24,1995-06-30
1997-06-30,0.1745,24,1995-07-31
1997-07-31,0.2823,24,1995-08-31
1997-08-31,0.2758,24,1995-09-30
1997-09-30,0.2892,24,1995-10-31
1997-10-31,0.3148,24,1995-11-30
1997-11-30,0.3496,24,1995-12-31
1997-12-31,0.3563,24,1996-01-31
1998-01-31,0.3547,24,1996-02-29
1998-02-28,0.3602,24,1996-03-31
1998-03-31,0.3382,24,1996-04-30
1998-04-30,0.3991,24,1996-05-31
1998-05-31,0.4114,24,1996-06-30
1998-06-30,0.3547,24,1996-07-31
1998-07-31,-0.0251,24,1996-08-31
1998-08-31,0.0341,24,1996-09-30
1998-09-30,-0.0141,24,1996-10-31
1998-10-31,-0.0849,24,1996-11-30
1998-11-30,-0.0311,24,1996-12-31
1998-12-31,0.0026,24,1997-01-31
1999-01-31,-0.0015,24,1997-02-28
1999-02-28,-0.0604,24,1997-03-31
1999-03-31,-0.1164,24,1997-04-30
1999-04-30,-0.2184,24,1997-05-31
1999-05-31,-0.1964,24,1997-06-30
1999-06-30,-0.0811,24,1997-07-31
1999-07-31,-0.0795,24,1997-08-31
1999-08-31,-0.0257,24,1997-09-30
1999-09-30,-0.0048,24,1997-10-31
1999-10-31,-0.0146,24,1997-11-30
1999-11-30,-0.0763,24,1997-12-31
1999-12-31,-0.0898,24,1998-01-31
2000-01-31,-0.0839,24,1998-02-28
2000-02-29,-0.0368,24,1998-03-31
2000-03-31,-0.0335,24,1998-04-30
2000-04-30,-0.0293,24,1998-05-31
2000-05-31,-0.0143,24,1998-06-30
2000-06-30,0.0038,24,1998-07-31
2000-07-31,0.0954,24,1998-08-31
2000-08-31,0.0238,24,1998-09-30
2000-09-30,0.0422,24,1998-10-31
2000-10-31,0.0809,24,1998-11-30
2000-11-30,0.0253,24,1998-12-31
2000-12-31,-0.0014,24,1999-01-31
2001-01-31,0.0226,24,1999-02-28
2001-02-28,0.052,24,1999-03-31
2001-03-31,-0.0193,24,1999-04-30
2001-04-30,0.0246,24,1999-05-31
2001-05-31,0.0012,24,1999-06-30
2001-06-30,-0.036,24,1999-07-31
2001-07-31,-0.0534,24,1999-08-31
2001-08-31,-0.0049,24,1999-09-30
2001-09-30,-0.0567,24,1999-10-31
2001-10-31,-0.138,24,1999-11-30
2001-11-30,-0.0648,24,1999-12-31
2001-12-31,-0.0388,24,2000-01-31
2002-01-31,-0.0167,24,2000-02-29
2002-02-28,-0.163,24,2000-03-31
2002-03-31,-0.1519,24,2000-04-30
2002-04-30,-0.1452,24,2000-05-31
2002-05-31,-0.1332,24,2000-06-30
2002-06-30,-0.0346,24,2000-07-31
2002-07-31,-0.0773,24,2000-08-31
2002-08-31,-0.0688,24,2000-09-30
2002-09-30,-0.1202,24,2000-10-31
2002-10-31,-0.1382,24,2000-11-30
2002-11-30,-0.1286,24,2000-12-31
2002-12-31,-0.2281,24,2001-01-31
2003-01-31,-0.1569,24,2001-02-28
2003-02-28,-0.1243,24,2001-03-31
2003-03-31,-0.2226,24,2001-04-30
2003-04-30,-0.2217,24,2001-05-31
2003-05-31,-0.2067,24,2001-06-30
2003-06-30,-0.2054,24,2001-07-31
2003-07-31,-0.1242,24,2001-08-31
2003-08-31,-0.0344,24,2001-09-30
2003-09-30,-0.02,24,2001-10-31
2003-10-31,-0.0683,24,2001-11-30
2003-11-30,-0.1192,24,2001-12-31
2003-12-31,-0.1339,24,2002-01-31
2004-01-31,-0.1063,24,2002-02-28
2004-02-29,-0.0776,24,2002-03-31
2004-03-31,0.0404,24,2002-04-30
2004-04-30,0.0108,24,2002-05-31
2004-05-31,-0.0463,24,2002-06-30
2004-06-30,-0.2208,24,2002-07-31
2004-07-31,-0.2207,24,2002-08-31
2004-08-31,0.0415,24,2002-09-30
2004-09-30,0.0053,24,2002-10-31
2004-10-31,0.0955,24,2002-11-30
2004-11-30,0.0345,24,2002-12-31
2004-12-31,-0.1345,24,2003-01-31
2005-01-31,-0.1178,24,2003-02-28
2005-02-28,-0.1899,24,2003-03-31
