signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
yoy,T1_fixed_p25,P1_long_cash_pro,1,LB_NA,0.6788,0.6975,0.9391,0.5384,0.1047,0.1501,-0.1945,0.45,6,0.72,100,True
yoy,T1_fixed_p25,P1_long_cash_counter,1,LB_NA,0.2823,0.574,0.476,0.3346,0.0435,0.0757,-0.1299,0.22,6,0.72,100,True
yoy,T1_fixed_p25,P3_long_short_pro,1,LB_NA,0.4304,0.3595,0.6535,0.227,0.0613,0.1704,-0.2698,0.54,6,0.72,100,True
yoy,T1_fixed_p25,P3_long_short_counter,1,LB_NA,-0.4304,-0.3595,-0.5952,-0.1079,-0.0613,0.1704,-0.5677,0.46,6,0.72,100,False
yoy,T1_fixed_p50,P1_long_cash_pro,1,LB_NA,0.506,0.8258,0.865,0.6263,0.0811,0.0982,-0.1295,0.18,6,0.72,100,True
yoy,T1_fixed_p50,P1_long_cash_counter,1,LB_NA,0.5178,0.4896,0.6098,0.2674,0.0671,0.137,-0.2508,0.49,6,0.72,100,True
yoy,T1_fixed_p50,P3_long_short_pro,1,LB_NA,-0.0036,0.0818,0.1632,0.0259,0.014,0.1713,-0.5401,0.44,6,0.72,100,False
yoy,T1_fixed_p50,P3_long_short_counter,1,LB_NA,0.0036,-0.0818,-0.1284,-0.0227,-0.014,0.1713,-0.6159,0.56,6,0.72,100,False
yoy,T1_fixed_p75,P1_long_cash_pro,1,LB_NA,0.2318,0.4593,0.3681,0.3921,0.0363,0.0789,-0.0924,0.09,4,0.48,100,True
yoy,T1_fixed_p75,P1_long_cash_counter,1,LB_NA,0.6991,0.7553,1.0368,0.5601,0.1119,0.1482,-0.1998,0.58,4,0.48,100,True
yoy,T1_fixed_p75,P3_long_short_pro,1,LB_NA,-0.5136,-0.4454,-0.8179,-0.1336,-0.0757,0.1699,-0.5665,0.37,4,0.48,100,False
