date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
1993-02-28,,,1.0,0.010669,0.010669,0.010669
1993-03-31,,,1.0,0.022399,0.022399,0.033307
1993-04-30,,,1.0,-0.025588,-0.025588,0.006867
1993-05-31,,,1.0,0.026969,0.026969,0.034021
1993-06-30,,,1.0,0.003607,0.003607,0.037751
1993-07-31,,,1.0,-0.004854,-0.004854,0.032713
1993-08-31,-0.3436,,1.0,0.038327,0.038327,0.072294
1993-09-30,-0.355,,1.0,-0.007276,-0.007276,0.064492
1993-10-31,-0.9676,,1.0,0.019728,0.019728,0.085492
1993-11-30,0.4144,,1.0,-0.010674,-0.010674,0.073906
1993-12-31,0.3237,,1.0,0.012277,0.012277,0.08709
1994-01-31,-0.3359,,1.0,0.034876,0.034876,0.125004
1994-02-28,-0.0191,,1.0,-0.029163,-0.029163,0.092195
1994-03-31,-0.4013,,1.0,-0.041901,-0.041901,0.046431
1994-04-30,-0.2646,,1.0,0.011212,0.011212,0.058164
1994-05-31,0.0242,,1.0,0.015939,0.015939,0.07503
1994-06-30,-0.0095,,1.0,-0.022915,-0.022915,0.050395
1994-07-31,0.5865,,1.0,0.032327,0.032327,0.084352
1994-08-31,0.0858,,1.0,0.038121,0.038121,0.125688
1994-09-30,1.168,,1.0,-0.025255,-0.025255,0.097259
1994-10-31,0.944,,1.0,0.028426,0.028426,0.12845
1994-11-30,0.7241,,1.0,-0.039816,-0.039816,0.083519
1994-12-31,0.6532,,1.0,0.007283,0.007283,0.09141
1995-01-31,1.2932,,1.0,0.033607,0.033607,0.12809
1995-02-28,0.9308,,1.0,0.04081,0.04081,0.174127
1995-03-31,0.4403,,1.0,0.027848,0.027848,0.206824
1995-04-30,1.0507,,1.0,0.029623,0.029623,0.242574
1995-05-31,1.0833,,1.0,0.039673,0.039673,0.29187
1995-06-30,0.8655,,1.0,0.020229,0.020229,0.318004
1995-07-31,1.6029,-0.0805,0.0,0.032165,0.0,0.318004
