# Simulated trade record based on backtest signals. No real trades were executed. Starting capital: $10000. Commission: 5 bps (tournament cost parameter). Pair: busloans_spy. Strategy: P1_long_cash_counter on mom (busloans_pct_mom), threshold T2_roll_p25, lead L6, LB36.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
1993-02-28,BUY,SPY,100.0,24.3705,10000.0,5,5.0,1.0669,position change
1995-07-31,SELL,SPY,0.0,32.8036,10000.0,5,5.0,31.8005,P1_long_cash_counter: mom (busloans_pct_mom) = 1.603 vs threshold -0.080 — position 100% → 0%
1997-02-28,BUY,SPY,100.0,47.7063,10000.0,5,5.0,33.0612,P1_long_cash_counter: mom (busloans_pct_mom) = 0.402 vs threshold 0.430 — position 0% → 100%
1997-03-31,SELL,SPY,0.0,45.6014,10000.0,5,5.0,33.0612,P1_long_cash_counter: mom (busloans_pct_mom) = 1.420 vs threshold 0.440 — position 100% → 0%
1997-07-31,BUY,SPY,100.0,57.8879,10000.0,5,5.0,43.6081,P1_long_cash_counter: mom (busloans_pct_mom) = 0.473 vs threshold 0.513 — position 0% → 100%
1997-08-31,SELL,SPY,0.0,54.8892,10000.0,5,5.0,43.6081,P1_long_cash_counter: mom (busloans_pct_mom) = 0.862 vs threshold 0.564 — position 100% → 0%
1998-01-31,BUY,SPY,100.0,60.1675,10000.0,5,5.0,45.4574,P1_long_cash_counter: mom (busloans_pct_mom) = 0.407 vs threshold 0.513 — position 0% → 100%
1998-02-28,SELL,SPY,0.0,64.3368,10000.0,5,5.0,45.4574,P1_long_cash_counter: mom (busloans_pct_mom) = 0.759 vs threshold 0.513 — position 100% → 0%
1998-04-30,BUY,SPY,100.0,68.3384,10000.0,5,5.0,47.318,P1_long_cash_counter: mom (busloans_pct_mom) = 0.498 vs threshold 0.519 — position 0% → 100%
1998-05-31,SELL,SPY,0.0,66.9191,10000.0,5,5.0,47.318,P1_long_cash_counter: mom (busloans_pct_mom) = 0.652 vs threshold 0.519 — position 100% → 0%
1998-09-30,BUY,SPY,100.0,62.8702,10000.0,5,5.0,56.6933,P1_long_cash_counter: mom (busloans_pct_mom) = 0.429 vs threshold 0.492 — position 0% → 100%
1998-11-30,SELL,SPY,0.0,71.7523,10000.0,5,5.0,69.3981,P1_long_cash_counter: mom (busloans_pct_mom) = 1.314 vs threshold 0.467 — position 100% → 0%
1999-06-30,BUY,SPY,100.0,85.395,10000.0,5,5.0,78.779,P1_long_cash_counter: mom (busloans_pct_mom) = -0.366 vs threshold 0.519 — position 0% → 100%
1999-09-30,SELL,SPY,0.0,80.4786,10000.0,5,5.0,72.3358,P1_long_cash_counter: mom (busloans_pct_mom) = 0.921 vs threshold 0.519 — position 100% → 0%
1999-10-31,BUY,SPY,100.0,85.6355,10000.0,5,5.0,83.3787,P1_long_cash_counter: mom (busloans_pct_mom) = 0.313 vs threshold 0.492 — position 0% → 100%
1999-12-31,SELL,SPY,0.0,92.0335,10000.0,5,5.0,86.4322,P1_long_cash_counter: mom (busloans_pct_mom) = 0.820 vs threshold 0.462 — position 100% → 0%
2000-04-30,BUY,SPY,100.0,91.1485,10000.0,5,5.0,79.8847,P1_long_cash_counter: mom (busloans_pct_mom) = 0.354 vs threshold 0.462 — position 0% → 100%
2000-05-31,SELL,SPY,0.0,89.7153,10000.0,5,5.0,79.8847,P1_long_cash_counter: mom (busloans_pct_mom) = 2.165 vs threshold 0.462 — position 100% → 0%
2000-06-30,BUY,SPY,100.0,91.4811,10000.0,5,5.0,83.4251,P1_long_cash_counter: mom (busloans_pct_mom) = 0.032 vs threshold 0.424 — position 0% → 100%
2000-08-31,SELL,SPY,0.0,95.9282,10000.0,5,5.0,80.5449,P1_long_cash_counter: mom (busloans_pct_mom) = 1.305 vs threshold 0.394 — position 100% → 0%
2001-02-28,BUY,SPY,100.0,78.4852,10000.0,5,5.0,63.3231,P1_long_cash_counter: mom (busloans_pct_mom) = 0.299 vs threshold 0.344 — position 0% → 100%
2001-04-30,SELL,SPY,0.0,80.4172,10000.0,5,5.0,54.171,P1_long_cash_counter: mom (busloans_pct_mom) = 0.513 vs threshold 0.309 — position 100% → 0%
2001-05-31,BUY,SPY,100.0,79.9664,10000.0,5,5.0,53.3068,P1_long_cash_counter: mom (busloans_pct_mom) = 0.160 vs threshold 0.287 — position 0% → 100%
2001-06-30,SELL,SPY,0.0,78.0609,10000.0,5,5.0,53.3068,P1_long_cash_counter: mom (busloans_pct_mom) = 0.401 vs threshold 0.287 — position 100% → 0%
2001-08-31,BUY,SPY,100.0,72.6806,10000.0,5,5.0,44.2106,P1_long_cash_counter: mom (busloans_pct_mom) = 0.021 vs threshold 0.229 — position 0% → 100%
2002-03-31,SELL,SPY,0.0,73.6519,10000.0,5,5.0,41.4324,P1_long_cash_counter: mom (busloans_pct_mom) = 0.345 vs threshold -0.148 — position 100% → 0%
2002-04-30,BUY,SPY,100.0,69.3687,10000.0,5,5.0,33.2073,P1_long_cash_counter: mom (busloans_pct_mom) = -1.347 vs threshold -0.161 — position 0% → 100%
2002-08-31,SELL,SPY,0.0,59.2336,10000.0,5,5.0,12.9768,P1_long_cash_counter: mom (busloans_pct_mom) = 0.459 vs threshold -0.323 — position 100% → 0%
2002-10-31,BUY,SPY,100.0,57.3857,10000.0,5,5.0,22.2729,P1_long_cash_counter: mom (busloans_pct_mom) = -1.145 vs threshold -0.501 — position 0% → 100%
2002-12-31,SELL,SPY,0.0,57.4788,10000.0,5,5.0,29.8149,P1_long_cash_counter: mom (busloans_pct_mom) = -0.694 vs threshold -0.706 — position 100% → 0%
2003-07-31,BUY,SPY,100.0,65.2451,10000.0,5,5.0,32.1551,P1_long_cash_counter: mom (busloans_pct_mom) = -0.796 vs threshold -0.746 — position 0% → 100%
2003-09-30,SELL,SPY,0.0,65.8646,10000.0,5,5.0,34.8808,P1_long_cash_counter: mom (busloans_pct_mom) = -0.374 vs threshold -0.768 — position 100% → 0%
2003-11-30,BUY,SPY,100.0,70.1479,10000.0,5,5.0,36.3539,P1_long_cash_counter: mom (busloans_pct_mom) = -1.225 vs threshold -0.831 — position 0% → 100%
2003-12-31,SELL,SPY,0.0,73.6773,10000.0,5,5.0,36.3539,P1_long_cash_counter: mom (busloans_pct_mom) = -0.722 vs threshold -0.831 — position 100% → 0%
2004-02-29,BUY,SPY,100.0,76.1535,10000.0,5,5.0,38.2043,P1_long_cash_counter: mom (busloans_pct_mom) = -1.285 vs threshold -0.940 — position 0% → 100%
2004-05-31,SELL,SPY,0.0,74.9853,10000.0,5,5.0,33.7934,P1_long_cash_counter: mom (busloans_pct_mom) = -0.578 vs threshold -0.991 — position 100% → 0%
2007-03-31,BUY,SPY,100.0,99.704,10000.0,5,5.0,35.3439,P1_long_cash_counter: mom (busloans_pct_mom) = -0.073 vs threshold 0.281 — position 0% → 100%
2007-04-30,SELL,SPY,0.0,104.1205,10000.0,5,5.0,35.3439,P1_long_cash_counter: mom (busloans_pct_mom) = 0.927 vs threshold 0.411 — position 100% → 0%
2008-08-31,BUY,SPY,100.0,92.6489,10000.0,5,5.0,37.4355,P1_long_cash_counter: mom (busloans_pct_mom) = 0.562 vs threshold 0.902 — position 0% → 100%
2008-09-30,SELL,SPY,0.0,83.9238,10000.0,5,5.0,37.4355,P1_long_cash_counter: mom (busloans_pct_mom) = 1.499 vs threshold 0.902 — position 100% → 0%
2008-11-30,BUY,SPY,100.0,65.184,10000.0,5,5.0,27.8691,P1_long_cash_counter: mom (busloans_pct_mom) = 0.089 vs threshold 0.878 — position 0% → 100%
2009-01-31,SELL,SPY,0.0,60.4176,10000.0,5,5.0,29.1218,P1_long_cash_counter: mom (busloans_pct_mom) = 0.932 vs threshold 0.878 — position 100% → 0%
2009-02-28,BUY,SPY,100.0,53.9258,10000.0,5,5.0,15.2478,P1_long_cash_counter: mom (busloans_pct_mom) = 0.040 vs threshold 0.878 — position 0% → 100%
2009-03-31,SELL,SPY,0.0,58.4184,10000.0,5,5.0,15.2478,P1_long_cash_counter: mom (busloans_pct_mom) = 1.159 vs threshold 0.902 — position 100% → 0%
2009-05-31,BUY,SPY,100.0,67.976,10000.0,5,5.0,21.9844,P1_long_cash_counter: mom (busloans_pct_mom) = -0.667 vs threshold 0.902 — position 0% → 100%
2010-08-31,SELL,SPY,0.0,79.2923,10000.0,5,5.0,48.9934,P1_long_cash_counter: mom (busloans_pct_mom) = -1.224 vs threshold -1.353 — position 100% → 0%
2013-11-30,BUY,SPY,100.0,145.8511,10000.0,5,5.0,53.4092,P1_long_cash_counter: mom (busloans_pct_mom) = 0.197 vs threshold 0.354 — position 0% → 100%
2013-12-31,SELL,SPY,0.0,149.6325,10000.0,5,5.0,53.4092,P1_long_cash_counter: mom (busloans_pct_mom) = 0.750 vs threshold 0.404 — position 100% → 0%
2014-02-28,BUY,SPY,100.0,150.9288,10000.0,5,5.0,60.3918,P1_long_cash_counter: mom (busloans_pct_mom) = 0.079 vs threshold 0.432 — position 0% → 100%
2014-03-31,SELL,SPY,0.0,152.1809,10000.0,5,5.0,60.3918,P1_long_cash_counter: mom (busloans_pct_mom) = 0.450 vs threshold 0.447 — position 100% → 0%
2015-04-30,BUY,SPY,100.0,172.9593,10000.0,5,5.0,61.9691,P1_long_cash_counter: mom (busloans_pct_mom) = 0.294 vs threshold 0.584 — position 0% → 100%
2015-05-31,SELL,SPY,0.0,175.1829,10000.0,5,5.0,61.9691,P1_long_cash_counter: mom (busloans_pct_mom) = 1.205 vs threshold 0.584 — position 100% → 0%
2016-01-31,BUY,SPY,100.0,163.3172,10000.0,5,5.0,53.9052,P1_long_cash_counter: mom (busloans_pct_mom) = 0.497 vs threshold 0.584 — position 0% → 100%
2016-02-29,SELL,SPY,0.0,163.1824,10000.0,5,5.0,53.9052,P1_long_cash_counter: mom (busloans_pct_mom) = 0.736 vs threshold 0.584 — position 100% → 0%
2016-06-30,BUY,SPY,100.0,178.4379,10000.0,5,5.0,54.4402,P1_long_cash_counter: mom (busloans_pct_mom) = 0.333 vs threshold 0.584 — position 0% → 100%
2016-07-31,SELL,SPY,0.0,184.9457,10000.0,5,5.0,54.4402,P1_long_cash_counter: mom (busloans_pct_mom) = 0.563 vs threshold 0.560 — position 100% → 0%
2016-12-31,BUY,SPY,100.0,192.4956,10000.0,5,5.0,57.571,P1_long_cash_counter: mom (busloans_pct_mom) = 0.130 vs threshold 0.627 — position 0% → 100%
2017-03-31,SELL,SPY,0.0,203.8935,10000.0,5,5.0,66.6927,P1_long_cash_counter: mom (busloans_pct_mom) = 0.924 vs threshold 0.627 — position 100% → 0%
2017-05-31,BUY,SPY,100.0,208.8235,10000.0,5,5.0,69.0452,P1_long_cash_counter: mom (busloans_pct_mom) = 0.152 vs threshold 0.698 — position 0% → 100%
2018-01-31,SELL,SPY,0.0,247.4811,10000.0,5,5.0,89.6505,P1_long_cash_counter: mom (busloans_pct_mom) = 0.153 vs threshold 0.153 — position 100% → 0%
2018-05-31,BUY,SPY,100.0,238.812,10000.0,5,5.0,94.2607,P1_long_cash_counter: mom (busloans_pct_mom) = -0.318 vs threshold 0.147 — position 0% → 100%
2018-07-31,SELL,SPY,0.0,249.0834,10000.0,5,5.0,95.3778,P1_long_cash_counter: mom (busloans_pct_mom) = 0.200 vs threshold 0.130 — position 100% → 0%
2018-08-31,BUY,SPY,100.0,257.0341,10000.0,5,5.0,101.6143,P1_long_cash_counter: mom (busloans_pct_mom) = 0.116 vs threshold 0.126 — position 0% → 100%
2018-09-30,SELL,SPY,0.0,258.5623,10000.0,5,5.0,101.6143,P1_long_cash_counter: mom (busloans_pct_mom) = 0.530 vs threshold 0.126 — position 100% → 0%
2019-10-31,BUY,SPY,100.0,275.1384,10000.0,5,5.0,106.0709,P1_long_cash_counter: mom (busloans_pct_mom) = -0.346 vs threshold 0.101 — position 0% → 100%
2019-11-30,SELL,SPY,0.0,285.098,10000.0,5,5.0,106.0709,P1_long_cash_counter: mom (busloans_pct_mom) = 0.200 vs threshold 0.101 — position 100% → 0%
2020-04-30,BUY,SPY,100.0,266.3351,10000.0,5,5.0,132.2385,P1_long_cash_counter: mom (busloans_pct_mom) = 0.000 vs threshold 0.101 — position 0% → 100%
2020-09-30,SELL,SPY,0.0,309.6394,10000.0,5,5.0,180.502,P1_long_cash_counter: mom (busloans_pct_mom) = 9.092 vs threshold 0.101 — position 100% → 0%
2020-12-31,BUY,SPY,100.0,347.1632,10000.0,5,5.0,190.8941,P1_long_cash_counter: mom (busloans_pct_mom) = -3.640 vs threshold 0.087 — position 0% → 100%
2021-08-31,SELL,SPY,0.0,422.0418,10000.0,5,5.0,243.4162,P1_long_cash_counter: mom (busloans_pct_mom) = 0.984 vs threshold -0.378 — position 100% → 0%
2021-10-31,BUY,SPY,100.0,430.6043,10000.0,5,5.0,267.5114,P1_long_cash_counter: mom (busloans_pct_mom) = -1.176 vs threshold -0.639 — position 0% → 100%
2021-11-30,SELL,SPY,0.0,427.1444,10000.0,5,5.0,267.5114,P1_long_cash_counter: mom (busloans_pct_mom) = -0.420 vs threshold -0.639 — position 100% → 0%
2021-12-31,BUY,SPY,100.0,446.899,10000.0,5,5.0,284.5081,P1_long_cash_counter: mom (busloans_pct_mom) = -2.655 vs threshold -1.141 — position 0% → 100%
2022-01-31,SELL,SPY,0.0,423.3289,10000.0,5,5.0,284.5081,P1_long_cash_counter: mom (busloans_pct_mom) = -1.117 vs threshold -1.141 — position 100% → 0%
2024-09-30,BUY,SPY,100.0,562.2103,10000.0,5,5.0,292.5845,P1_long_cash_counter: mom (busloans_pct_mom) = -0.533 vs threshold -0.334 — position 0% → 100%
2024-10-31,SELL,SPY,0.0,557.1935,10000.0,5,5.0,292.5845,P1_long_cash_counter: mom (busloans_pct_mom) = -0.075 vs threshold -0.309 — position 100% → 0%
2025-01-31,BUY,SPY,100.0,591.6904,10000.0,5,5.0,303.128,P1_long_cash_counter: mom (busloans_pct_mom) = -0.184 vs threshold -0.171 — position 0% → 100%
2025-02-28,SELL,SPY,0.0,584.179,10000.0,5,5.0,303.128,P1_long_cash_counter: mom (busloans_pct_mom) = 0.221 vs threshold -0.102 — position 100% → 0%
2025-06-30,BUY,SPY,100.0,611.0791,10000.0,5,5.0,323.8432,P1_long_cash_counter: mom (busloans_pct_mom) = -0.789 vs threshold -0.102 — position 0% → 100%
2025-08-31,SELL,SPY,0.0,637.981,10000.0,5,5.0,333.6049,P1_long_cash_counter: mom (busloans_pct_mom) = 0.264 vs threshold -0.171 — position 100% → 0%
2025-10-31,BUY,SPY,100.0,676.4556,10000.0,5,5.0,343.9409,P1_long_cash_counter: mom (busloans_pct_mom) = -0.236 vs threshold -0.183 — position 0% → 100%
2025-11-30,SELL,SPY,0.0,677.7747,10000.0,5,5.0,343.9409,P1_long_cash_counter: mom (busloans_pct_mom) = 0.395 vs threshold -0.183 — position 100% → 0%
2026-01-31,BUY,SPY,100.0,688.3121,10000.0,5,5.0,350.4837,P1_long_cash_counter: mom (busloans_pct_mom) = -0.408 vs threshold -0.197 — position 0% → 100%
2026-02-28,SELL,SPY,0.0,682.3637,10000.0,5,5.0,350.4837,P1_long_cash_counter: mom (busloans_pct_mom) = 0.407 vs threshold -0.197 — position 100% → 0%
