lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-18,0.0215,-0.0992,0.0992,False,AR(12),372
-17,-0.0877,-0.0992,0.0992,False,AR(12),373
-16,0.1236,-0.0992,0.0992,True,AR(12),374
-15,-0.047,-0.0992,0.0992,False,AR(12),375
-14,-0.1088,-0.0992,0.0992,True,AR(12),376
-13,0.0259,-0.0992,0.0992,False,AR(12),377
-12,0.12,-0.0992,0.0992,True,AR(12),378
-11,-0.0645,-0.0992,0.0992,False,AR(12),379
-10,-0.032,-0.0992,0.0992,False,AR(12),380
-9,0.0623,-0.0992,0.0992,False,AR(12),381
-8,0.0063,-0.0992,0.0992,False,AR(12),382
-7,-0.0335,-0.0992,0.0992,False,AR(12),383
-6,0.0438,-0.0992,0.0992,False,AR(12),384
-5,0.0276,-0.0992,0.0992,False,AR(12),385
-4,-0.0503,-0.0992,0.0992,False,AR(12),386
-3,-0.0036,-0.0992,0.0992,False,AR(12),387
-2,0.0743,-0.0992,0.0992,False,AR(12),388
-1,-0.0111,-0.0992,0.0992,False,AR(12),389
0,-0.0305,-0.0992,0.0992,False,AR(12),390
1,-0.0035,-0.0992,0.0992,False,AR(12),389
2,-0.0089,-0.0992,0.0992,False,AR(12),388
3,0.0273,-0.0992,0.0992,False,AR(12),387
4,-0.036,-0.0992,0.0992,False,AR(12),386
5,0.0026,-0.0992,0.0992,False,AR(12),385
6,-0.0141,-0.0992,0.0992,False,AR(12),384
7,0.0356,-0.0992,0.0992,False,AR(12),383
8,0.0278,-0.0992,0.0992,False,AR(12),382
9,0.0012,-0.0992,0.0992,False,AR(12),381
10,-0.0066,-0.0992,0.0992,False,AR(12),380
11,0.0063,-0.0992,0.0992,False,AR(12),379
12,-0.0187,-0.0992,0.0992,False,AR(12),378
13,-0.0061,-0.0992,0.0992,False,AR(12),377
14,-0.0148,-0.0992,0.0992,False,AR(12),376
15,0.0055,-0.0992,0.0992,False,AR(12),375
16,0.0128,-0.0992,0.0992,False,AR(12),374
17,0.023,-0.0992,0.0992,False,AR(12),373
18,-0.0342,-0.0992,0.0992,False,AR(12),372
