pair_name,horizon_days,metric,value,p_value,n_obs
yoy__spy_fwd_1m,21,pearson,0.0379,0.4488,402
yoy__spy_fwd_1m,21,spearman,0.0152,0.761,402
yoy__spy_fwd_1m,21,kendall,0.0097,0.7714,402
yoy__spy_fwd_1m,21,distance,0.121,,402
yoy__spy_fwd_3m,63,pearson,0.04,0.4254,400
yoy__spy_fwd_3m,63,spearman,0.0364,0.4683,400
yoy__spy_fwd_3m,63,kendall,0.0271,0.419,400
yoy__spy_fwd_3m,63,distance,0.1576,,400
yoy__spy_fwd_6m,126,pearson,0.0032,0.9499,397
yoy__spy_fwd_6m,126,spearman,-0.0082,0.8703,397
yoy__spy_fwd_6m,126,kendall,-0.0032,0.9231,397
yoy__spy_fwd_6m,126,distance,0.1493,,397
yoy__spy_fwd_12m,252,pearson,-0.0639,0.2077,391
yoy__spy_fwd_12m,252,spearman,-0.0668,0.1872,391
yoy__spy_fwd_12m,252,kendall,-0.0463,0.1718,391
yoy__spy_fwd_12m,252,distance,0.1826,,391
mom__spy_fwd_1m,21,pearson,0.0199,0.6904,402
mom__spy_fwd_1m,21,spearman,0.0206,0.6809,402
mom__spy_fwd_1m,21,kendall,0.0147,0.6603,402
mom__spy_fwd_1m,21,distance,0.0809,,402
mom__spy_fwd_3m,63,pearson,0.1045,0.0367,400
mom__spy_fwd_3m,63,spearman,0.0645,0.1977,400
mom__spy_fwd_3m,63,kendall,0.0437,0.1914,400
mom__spy_fwd_3m,63,distance,0.1164,,400
mom__spy_fwd_6m,126,pearson,0.0419,0.4051,397
mom__spy_fwd_6m,126,spearman,0.0328,0.5143,397
mom__spy_fwd_6m,126,kendall,0.0222,0.5086,397
mom__spy_fwd_6m,126,distance,0.084,,397
mom__spy_fwd_12m,252,pearson,0.0224,0.6595,391
mom__spy_fwd_12m,252,spearman,-0.0071,0.8882,391
mom__spy_fwd_12m,252,kendall,-0.0049,0.8845,391
mom__spy_fwd_12m,252,distance,0.0804,,391
mom3m__spy_fwd_1m,21,pearson,0.1135,0.0229,402
