parameter,value,se
p[0->0],0.9621413394484577,0.019463468482672493
p[1->0],0.030412809761960993,0.017267837613811437
const[0],0.007044786623503938,13.339421927362118
const[1],0.003471552028076189,36.5612369797578
x1[0],0.0070447866234769774,13.339421753046715
x1[1],0.003471552028069896,36.56123716358133
x2[0],-0.00026212667311520176,0.0002927364734480542
x2[1],0.000369182798928163,0.00038757622205551237
sigma2[0],0.0005535540462069886,8.329909692620975e-05
sigma2[1],0.002758664397117167,0.00030291902025424014
