signal,horizon,coef,se,t_stat,p_value,r_squared,n
yoy,spy_fwd_1m,0.000188,0.000289,0.649,0.5161,0.0014,402
yoy,spy_fwd_3m,0.000337,0.000537,0.629,0.5296,0.0016,400
yoy,spy_fwd_6m,3.9e-05,0.000783,0.05,0.9601,0.0,397
yoy,spy_fwd_12m,-0.001224,0.001072,-1.142,0.2536,0.0041,391
mom,spy_fwd_1m,0.000209,0.000609,0.343,0.7313,0.0004,402
mom,spy_fwd_3m,0.001872,0.001052,1.78,0.0751,0.0109,400
mom,spy_fwd_6m,0.001107,0.001483,0.747,0.4553,0.0018,397
mom,spy_fwd_12m,0.000916,0.002318,0.395,0.6926,0.0005,391
mom3m,spy_fwd_1m,0.000788,0.000402,1.96,0.05,0.0129,402
mom3m,spy_fwd_3m,0.00156,0.000636,2.453,0.0142,0.0174,400
mom3m,spy_fwd_6m,0.000885,0.000886,0.999,0.3177,0.0026,397
mom3m,spy_fwd_12m,0.000638,0.001466,0.436,0.6631,0.0006,391
mom6m,spy_fwd_1m,0.000277,0.000344,0.804,0.4214,0.0024,402
mom6m,spy_fwd_3m,0.00052,0.000562,0.925,0.3552,0.0029,400
mom6m,spy_fwd_6m,0.000867,0.000838,1.034,0.3009,0.0038,397
mom6m,spy_fwd_12m,-9.1e-05,0.001301,-0.07,0.9443,0.0,391
dev_trend,spy_fwd_1m,0.000711,0.000487,1.462,0.1439,0.008,402
dev_trend,spy_fwd_3m,0.001446,0.000836,1.729,0.0838,0.0114,400
dev_trend,spy_fwd_6m,0.001003,0.001204,0.833,0.405,0.0026,397
dev_trend,spy_fwd_12m,-0.0004,0.001848,-0.216,0.8287,0.0002,391
level_zscore_60m,spy_fwd_1m,0.002275,0.001906,1.193,0.2327,0.0044,402
level_zscore_60m,spy_fwd_3m,0.004975,0.003536,1.407,0.1595,0.0072,400
level_zscore_60m,spy_fwd_6m,0.002906,0.005162,0.563,0.5734,0.0011,397
level_zscore_60m,spy_fwd_12m,-0.00012,0.00783,-0.015,0.9878,0.0,391
yoy_zscore_60m,spy_fwd_1m,0.00174,0.002067,0.842,0.3998,0.0022,391
yoy_zscore_60m,spy_fwd_3m,0.003921,0.0039,1.005,0.3147,0.0038,389
yoy_zscore_60m,spy_fwd_6m,0.004475,0.00562,0.796,0.4259,0.0023,386
yoy_zscore_60m,spy_fwd_12m,0.002052,0.008291,0.247,0.8045,0.0002,380
accel,spy_fwd_1m,-0.000342,0.000427,-0.802,0.4225,0.0024,402
accel,spy_fwd_3m,0.000276,0.000703,0.392,0.6949,0.0005,400
accel,spy_fwd_6m,0.00016,0.001112,0.144,0.8859,0.0001,397
accel,spy_fwd_12m,0.000278,0.001611,0.173,0.8629,0.0001,391
contraction,spy_fwd_1m,-0.002676,0.004293,-0.623,0.533,0.001,402
contraction,spy_fwd_3m,-0.00967,0.007362,-1.314,0.189,0.0044,400
contraction,spy_fwd_6m,-0.009797,0.010883,-0.9,0.368,0.0021,397
contraction,spy_fwd_12m,0.002118,0.017009,0.125,0.9009,0.0,391
hmm_stress,spy_fwd_1m,-0.003627,0.005136,-0.706,0.4801,0.0013,402
hmm_stress,spy_fwd_3m,-0.009638,0.009346,-1.031,0.3024,0.0032,400
hmm_stress,spy_fwd_6m,-0.017238,0.013493,-1.278,0.2014,0.0047,397
hmm_stress,spy_fwd_12m,-0.031957,0.019737,-1.619,0.1054,0.0067,391
markov_regime,spy_fwd_1m,-0.006318,0.004787,-1.32,0.1869,0.0041,401
markov_regime,spy_fwd_3m,-0.014548,0.00794,-1.832,0.0669,0.0074,399
markov_regime,spy_fwd_6m,-0.024021,0.011965,-2.008,0.0447,0.0094,396
markov_regime,spy_fwd_12m,-0.038349,0.018261,-2.1,0.0357,0.0101,390
