lead_months,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
1,981,1.314,0.7787,0.6066,0.9186,accel,T2_roll_p75,P1_long_cash_counter,-0.167
2,977,1.2896,0.7652,0.6184,0.9041,mom,T2_roll_p25,P1_long_cash_pro,-0.167
3,977,1.4724,0.7601,0.6294,0.8806,accel,T2_roll_p25,P3_long_short_pro,-0.1405
4,988,1.2109,0.751,0.6041,0.846,hmm_stress,T3_zscore_neg_1.5,P3_long_short_counter,-0.1945
5,968,1.2052,0.7599,0.6304,0.8768,contraction,T3_zscore_1.0,P1_long_cash_counter,-0.1391
6,964,1.3658,0.7681,0.6247,0.8861,level_zscore_60m,T1_fixed_p50,P1_long_cash_counter,-0.0833
7,952,1.2556,0.7586,0.6011,0.9266,level_zscore_60m,T2_roll_p25,P1_long_cash_counter,-0.0769
8,945,1.3659,0.8131,0.6224,0.9186,accel,T2_roll_p75,P1_long_cash_counter,-0.1558
9,943,1.4594,0.7814,0.5981,0.9427,accel,T1_fixed_p50,P1_long_cash_pro,-0.0792
10,930,1.2473,0.7736,0.59,1.007,yoy,T3_zscore_1.0,P3_long_short_counter,-0.1945
11,942,1.1308,0.7541,0.5898,0.9292,accel,T3_zscore_neg_1.5,P3_long_short_counter,-0.2034
12,934,1.4454,0.7943,0.6169,0.969,mom3m,T4_zero,P1_long_cash_counter,-0.1295
