date,rolling_corr,n_obs,window_start
2018-12-31,-0.0329,24,2017-01-31
2019-01-31,-0.0559,24,2017-02-28
2019-02-28,-0.0776,24,2017-03-31
2019-03-31,-0.1448,24,2017-04-30
2019-04-30,0.0642,24,2017-05-31
2019-05-31,-0.026,24,2017-06-30
2019-06-30,-0.0224,24,2017-07-31
2019-07-31,0.0001,24,2017-08-31
2019-08-31,-0.0111,24,2017-09-30
2019-09-30,-0.0344,24,2017-10-31
2019-10-31,-0.057,24,2017-11-30
2019-11-30,-0.0642,24,2017-12-31
2019-12-31,-0.0926,24,2018-01-31
2020-01-31,0.0069,24,2018-02-28
2020-02-29,0.1537,24,2018-03-31
2020-03-31,-0.0809,24,2018-04-30
2020-04-30,-0.1373,24,2018-05-31
2020-05-31,-0.1422,24,2018-06-30
2020-06-30,-0.1915,24,2018-07-31
2020-07-31,-0.2999,24,2018-08-31
2020-08-31,-0.2287,24,2018-09-30
2020-09-30,-0.1201,24,2018-10-31
2020-10-31,-0.1292,24,2018-11-30
2020-11-30,-0.0206,24,2018-12-31
2020-12-31,-0.1242,24,2019-01-31
2021-01-31,-0.0997,24,2019-02-28
2021-02-28,-0.0573,24,2019-03-31
2021-03-31,-0.0194,24,2019-04-30
2021-04-30,-0.0728,24,2019-05-31
2021-05-31,-0.0625,24,2019-06-30
2021-06-30,-0.0533,24,2019-07-31
2021-07-31,-0.0468,24,2019-08-31
2021-08-31,-0.1201,24,2019-09-30
2021-09-30,-0.0856,24,2019-10-31
2021-10-31,-0.0843,24,2019-11-30
2021-11-30,-0.0729,24,2019-12-31
2021-12-31,-0.0687,24,2020-01-31
2022-01-31,-0.0954,24,2020-02-29
2022-02-28,-0.1908,24,2020-03-31
2022-03-31,-0.0727,24,2020-04-30
2022-04-30,-0.0102,24,2020-05-31
2022-05-31,0.027,24,2020-06-30
2022-06-30,0.0511,24,2020-07-31
2022-07-31,0.2257,24,2020-08-31
2022-08-31,0.1326,24,2020-09-30
2022-09-30,0.0605,24,2020-10-31
2022-10-31,0.1941,24,2020-11-30
2022-11-30,0.1574,24,2020-12-31
2022-12-31,0.1789,24,2021-01-31
2023-01-31,0.1676,24,2021-02-28
2023-02-28,0.1093,24,2021-03-31
2023-03-31,0.0697,24,2021-04-30
2023-04-30,0.0605,24,2021-05-31
2023-05-31,0.001,24,2021-06-30
2023-06-30,-0.0529,24,2021-07-31
2023-07-31,-0.0608,24,2021-08-31
2023-08-31,0.0665,24,2021-09-30
2023-09-30,-0.0135,24,2021-10-31
2023-10-31,-0.0855,24,2021-11-30
2023-11-30,-0.1483,24,2021-12-31
2023-12-31,-0.1338,24,2022-01-31
2024-01-31,-0.1443,24,2022-02-28
2024-02-29,-0.1767,24,2022-03-31
2024-03-31,-0.0861,24,2022-04-30
2024-04-30,-0.1598,24,2022-05-31
2024-05-31,-0.1766,24,2022-06-30
2024-06-30,-0.2323,24,2022-07-31
2024-07-31,-0.2437,24,2022-08-31
2024-08-31,-0.1038,24,2022-09-30
2024-09-30,-0.1679,24,2022-10-31
2024-10-31,-0.2056,24,2022-11-30
2024-11-30,-0.0293,24,2022-12-31
2024-12-31,-0.1418,24,2023-01-31
2025-01-31,-0.0793,24,2023-02-28
2025-02-28,-0.1588,24,2023-03-31
2025-03-31,-0.0943,24,2023-04-30
2025-04-30,-0.2465,24,2023-05-31
2025-05-31,-0.2353,24,2023-06-30
2025-06-30,-0.2263,24,2023-07-31
2025-07-31,-0.249,24,2023-08-31
2025-08-31,-0.2431,24,2023-09-30
2025-09-30,-0.2647,24,2023-10-31
2025-10-31,-0.2202,24,2023-11-30
2025-11-30,-0.2228,24,2023-12-31
2025-12-31,-0.2246,24,2024-01-31
2026-01-31,-0.1911,24,2024-02-29
2026-02-28,-0.162,24,2024-03-31
2026-03-31,-0.4076,24,2024-04-30
2026-04-30,-0.4155,24,2024-05-31
