date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
2016-02-29,,,1.0,-0.000826,-0.000826,-0.000826
2016-03-31,,,1.0,0.067266,0.067266,0.066384
2016-04-30,,,1.0,0.003941,0.003941,0.070587
2016-05-31,,,1.0,0.017012,0.017012,0.0888
2016-06-30,,,1.0,0.003476,0.003476,0.092585
2016-07-31,,,1.0,0.036471,0.036471,0.132432
2016-08-31,,,1.0,0.001198,0.001198,0.133789
2016-09-30,,,1.0,5.8e-05,5.8e-05,0.133855
2016-10-31,,,1.0,-0.017337,-0.017337,0.114197
2016-11-30,,,1.0,0.036838,0.036838,0.155242
2016-12-31,,,1.0,0.020272,0.020272,0.178661
2017-01-31,3.461,,1.0,0.017894,0.017894,0.199752
2017-02-28,0.2936,,1.0,0.039292,0.039292,0.246892
2017-03-31,-0.831,,1.0,0.00125,0.00125,0.248451
2017-04-30,-7.423,,1.0,0.009927,0.009927,0.260844
2017-05-31,-1.1267,,1.0,0.014113,0.014113,0.278639
2017-06-30,-0.7429,,1.0,0.006375,0.006375,0.28679
2017-07-31,2.5954,,1.0,0.020554,0.020554,0.313239
2017-08-31,6.3672,,1.0,0.002918,0.002918,0.317071
2017-09-30,5.4875,,1.0,0.020149,0.020149,0.343608
2017-10-31,2.0159,,1.0,0.023564,0.023564,0.375269
2017-11-30,4.5756,,1.0,0.030566,0.030566,0.417306
2017-12-31,3.3023,,1.0,0.012128,0.012128,0.434495
2018-01-31,3.5939,,1.0,0.056359,0.056359,0.515341
2018-02-28,3.2479,,1.0,-0.03636,-0.03636,0.460244
2018-03-31,2.3035,,1.0,-0.027411,-0.027411,0.420217
2018-04-30,-0.4036,,1.0,0.005169,0.005169,0.427558
2018-05-31,4.5527,,1.0,0.024309,0.024309,0.462261
2018-06-30,4.532,,1.0,0.005751,0.005751,0.47067
2018-07-31,5.8243,,1.0,0.037046,0.037046,0.525152
2018-08-31,10.9822,,1.0,0.03192,0.03192,0.573835
2018-09-30,5.2617,-0.9586,1.0,0.005945,0.005945,0.583192
2018-10-31,4.2204,-0.8159,1.0,-0.069104,-0.069104,0.473787
2018-11-30,2.2216,-0.7606,1.0,0.018548,0.018548,0.501123
2018-12-31,2.7176,-0.6857,1.0,-0.088048,-0.088048,0.368952
2019-01-31,0.8168,-0.7144,1.0,0.080065,0.080065,0.478557
2019-02-28,-4.3359,-1.1897,0.0,0.032416,0.0,0.478557
2019-03-31,-5.9243,-1.7761,0.0,0.018101,0.0,0.478557
2019-04-30,-7.0585,-2.4063,0.0,0.040853,0.0,0.478557
2019-05-31,-3.1845,-2.6049,0.0,-0.063771,-0.0,0.478557
2019-06-30,-1.122,-2.6533,1.0,0.069587,0.069587,0.581445
2019-07-31,-1.0975,-2.6951,1.0,0.015119,0.015119,0.605355
2019-08-31,2.2765,-2.6045,1.0,-0.016744,-0.016744,0.578475
2019-09-30,-1.1853,-2.6477,1.0,0.019458,0.019458,0.609189
2019-10-31,-1.5139,-2.7028,1.0,0.022105,0.022105,0.64476
2019-11-30,0.3443,-2.6744,1.0,0.036198,0.036198,0.704297
2019-12-31,1.4025,-2.6142,1.0,0.029056,0.029056,0.753817
2020-01-31,-2.0755,-2.789,1.0,-0.000404,-0.000404,0.753109
2020-02-29,-4.1977,-3.0115,0.0,-0.079166,-0.0,0.753109
2020-03-31,-9.7577,-3.6339,0.0,-0.124871,-0.0,0.753109
2020-04-30,-11.6617,-4.0254,0.0,0.126984,0.0,0.753109
2020-05-31,-5.618,-4.2576,0.0,0.047645,0.0,0.753109
2020-06-30,-4.684,-4.4414,0.0,0.017734,0.0,0.753109
2020-07-31,-17.4296,-5.8184,0.0,0.058892,0.0,0.753109
2020-08-31,-14.2335,-6.743,0.0,0.069796,0.0,0.753109
2020-09-30,-9.7723,-7.2541,0.0,-0.037444,-0.0,0.753109
2020-10-31,-4.2708,-7.4258,1.0,-0.024933,-0.024933,0.709398
2020-11-30,4.0884,-7.4264,1.0,0.108777,0.108777,0.895342
2020-12-31,11.6698,-7.526,1.0,0.037048,0.037048,0.96556
