# Simulated trade record based on backtest signals. No real trades were executed. Starting capital: $10000. Commission: 5 bps. Pair: cass_freight_spy. Strategy: P1_long_cash_counter on contraction (cass_freight_contraction), threshold T3_zscore_neg_1.0, lead L9, LB36.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
1993-02-28,BUY,SPY,100.0,24.3705,10000.0,5,5.0,1.0668,position change
2002-09-30,SELL,SPY,0.0,53.0228,10000.0,5,5.0,145.6474,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.052 — position 100% -> 0%
2002-10-31,BUY,SPY,100.0,57.3857,10000.0,5,5.0,165.8604,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.052 — position 0% -> 100%
2003-04-30,SELL,SPY,0.0,60.1176,10000.0,5,5.0,156.7895,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.083 — position 100% -> 0%
2003-07-31,BUY,SPY,100.0,65.2451,10000.0,5,5.0,161.4187,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.052 — position 0% -> 100%
2003-10-31,SELL,SPY,0.0,69.3901,10000.0,5,5.0,163.9007,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.083 — position 100% -> 0%
2004-01-31,BUY,SPY,100.0,75.1338,10000.0,5,5.0,169.1178,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.117 — position 0% -> 100%
2004-02-29,SELL,SPY,0.0,76.1535,10000.0,5,5.0,169.1178,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.117 — position 100% -> 0%
2004-12-31,BUY,SPY,100.0,81.5592,10000.0,5,5.0,177.2237,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold -0.007 — position 0% -> 100%
2008-07-31,SELL,SPY,0.0,91.2388,10000.0,5,5.0,212.9373,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.021 — position 100% -> 0%
2008-10-31,BUY,SPY,100.0,70.0607,10000.0,5,5.0,161.2442,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.052 — position 0% -> 100%
2010-09-30,SELL,SPY,0.0,86.3932,10000.0,5,5.0,195.6671,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.570 — position 100% -> 0%
2010-11-30,BUY,SPY,100.0,89.6936,10000.0,5,5.0,195.6671,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.510 — position 0% -> 100%
2010-12-31,SELL,SPY,0.0,95.6899,10000.0,5,5.0,195.6671,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.455 — position 100% -> 0%
2012-03-31,BUY,SPY,100.0,109.8772,10000.0,5,5.0,205.1769,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold -0.007 — position 0% -> 100%
2017-07-31,SELL,SPY,0.0,214.4743,10000.0,5,5.0,483.6912,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.117 — position 100% -> 0%
2017-08-31,BUY,SPY,100.0,215.1001,10000.0,5,5.0,485.3942,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.152 — position 0% -> 100%
2017-09-30,SELL,SPY,0.0,219.4342,10000.0,5,5.0,485.3942,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.117 — position 100% -> 0%
2019-01-31,BUY,SPY,100.0,241.474,10000.0,5,5.0,532.2644,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold -0.007 — position 0% -> 100%
2021-07-31,SELL,SPY,0.0,409.8449,10000.0,5,5.0,947.5462,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.117 — position 100% -> 0%
2022-10-31,BUY,SPY,100.0,367.5997,10000.0,5,5.0,1032.686,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.083 — position 0% -> 100%
2022-11-30,SELL,SPY,0.0,388.0352,10000.0,5,5.0,1032.686,P1_long_cash_counter: contraction (cass_freight_contraction) = 0.000 vs threshold 0.052 — position 100% -> 0%
2023-01-31,BUY,SPY,100.0,388.6696,10000.0,5,5.0,1103.9175,P1_long_cash_counter: contraction (cass_freight_contraction) = 1.000 vs threshold 0.021 — position 0% -> 100%
