pair_name,metric,value,p_value
ccdelinq_level_to_spy_fwd_1q,pearson,-0.040167475687093855,0.651300117504857
ccdelinq_level_to_spy_fwd_2q,pearson,-0.05388718916501918,0.5457622227469149
ccdelinq_level_to_spy_fwd_4q,pearson,-0.08812272573413085,0.32648065280173943
ccdelinq_diff_1q_to_spy_fwd_1q,pearson,0.043729878060471086,0.6240431115710163
ccdelinq_diff_1q_to_spy_fwd_2q,pearson,0.060338148760090214,0.5003955105774297
ccdelinq_diff_1q_to_spy_fwd_4q,pearson,0.06966987873855594,0.4400870112129985
ccdelinq_chg_4q_to_spy_fwd_1q,pearson,0.03129160939213075,0.729026363488641
ccdelinq_chg_4q_to_spy_fwd_2q,pearson,0.057212048983173086,0.5279414934823581
ccdelinq_chg_4q_to_spy_fwd_4q,pearson,0.056420055305946196,0.5370655507461722
ccdelinq_zscore_20q_to_spy_fwd_1q,pearson,0.003546144192705859,0.9695991502053889
ccdelinq_zscore_20q_to_spy_fwd_2q,pearson,0.018310210165971546,0.8446530775229876
ccdelinq_zscore_20q_to_spy_fwd_4q,pearson,0.07226751705788124,0.44277184669463643
