parameter,value
p[0->0],0.9632377558276239
p[1->0],0.03586247358706864
p[2->0],4.798552753256338e-09
p[0->1],0.033737398451514466
p[1->1],0.9592209302851709
p[2->1],0.35136265341106765
const[0],0.0006530044450253968
const[1],0.00014367125777896712
const[2],0.001907552254936156
x1[0],0.000653004443597916
x1[1],0.00014367125735349016
x1[2],0.0019075522548856645
x2[0],-0.05092758045800642
x2[1],-0.0935114275368468
x2[2],-0.22940070766607187
sigma2[0],2.374846475925483e-05
sigma2[1],5.1306840532342634e-05
sigma2[2],0.00084644453969067
