signal,horizon,method,correlation,p_value,n
spread_zscore_252d,spy_fwd_1d,Pearson,0.0266,0.0149,8389
spread_zscore_252d,spy_fwd_5d,Pearson,0.0449,0.0,8385
spread_zscore_252d,spy_fwd_21d,Pearson,0.118,0.0,8369
spread_zscore_252d,spy_fwd_63d,Pearson,0.1691,0.0,8327
spread_zscore_126d,spy_fwd_1d,Pearson,0.0256,0.0183,8489
spread_zscore_126d,spy_fwd_5d,Pearson,0.035,0.0013,8485
spread_zscore_126d,spy_fwd_21d,Pearson,0.1003,0.0,8469
spread_zscore_126d,spy_fwd_63d,Pearson,0.1628,0.0,8427
spread_roc_21d,spy_fwd_1d,Pearson,-0.0144,0.1876,8362
spread_roc_21d,spy_fwd_5d,Pearson,-0.0305,0.0052,8358
spread_roc_21d,spy_fwd_21d,Pearson,-0.028,0.0105,8342
spread_roc_21d,spy_fwd_63d,Pearson,-0.0022,0.8446,8300
spread_roc_63d,spy_fwd_1d,Pearson,-0.0151,0.1694,8320
spread_roc_63d,spy_fwd_5d,Pearson,-0.0634,0.0,8316
spread_roc_63d,spy_fwd_21d,Pearson,-0.0197,0.0729,8300
spread_roc_63d,spy_fwd_63d,Pearson,0.0319,0.0037,8258
spread_mom_21d,spy_fwd_1d,Pearson,0.0205,0.0578,8567
spread_mom_21d,spy_fwd_5d,Pearson,0.0398,0.0002,8563
spread_mom_21d,spy_fwd_21d,Pearson,0.0523,0.0,8547
spread_mom_21d,spy_fwd_63d,Pearson,0.0504,0.0,8505
spread_mom_63d,spy_fwd_1d,Pearson,0.0252,0.02,8525
spread_mom_63d,spy_fwd_5d,Pearson,0.0585,0.0,8521
spread_mom_63d,spy_fwd_21d,Pearson,0.0718,0.0,8505
spread_mom_63d,spy_fwd_63d,Pearson,0.1144,0.0,8463
spread_pctrank_252d,spy_fwd_1d,Pearson,0.018,0.0987,8389
spread_pctrank_252d,spy_fwd_5d,Pearson,0.0389,0.0004,8385
spread_pctrank_252d,spy_fwd_21d,Pearson,0.0932,0.0,8369
spread_pctrank_252d,spy_fwd_63d,Pearson,0.1538,0.0,8327
spread_vol_21d,spy_fwd_1d,Pearson,-0.0025,0.8151,8573
spread_vol_21d,spy_fwd_5d,Pearson,-0.0069,0.5251,8569
spread_vol_21d,spy_fwd_21d,Pearson,0.0045,0.6761,8553
spread_vol_21d,spy_fwd_63d,Pearson,0.0032,0.765,8511
spread_stress,spy_fwd_1d,Pearson,0.0123,0.2535,8588
spread_stress,spy_fwd_5d,Pearson,0.0271,0.0121,8584
spread_stress,spy_fwd_21d,Pearson,0.0751,0.0,8568
spread_stress,spy_fwd_63d,Pearson,0.1119,0.0,8526
