lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-8,0.1325,-0.2032,0.2032,False,AR(4),85
-7,0.0193,-0.2032,0.2032,False,AR(4),86
-6,-0.0308,-0.2032,0.2032,False,AR(4),87
-5,0.0296,-0.2032,0.2032,False,AR(4),88
-4,0.1146,-0.2032,0.2032,False,AR(4),89
-3,0.062,-0.2032,0.2032,False,AR(4),90
-2,-0.0119,-0.2032,0.2032,False,AR(4),91
-1,-0.0631,-0.2032,0.2032,False,AR(4),92
0,-0.2511,-0.2032,0.2032,True,AR(4),93
1,0.0963,-0.2032,0.2032,False,AR(4),92
2,-0.0275,-0.2032,0.2032,False,AR(4),91
3,0.035,-0.2032,0.2032,False,AR(4),90
4,0.0349,-0.2032,0.2032,False,AR(4),89
5,-0.0475,-0.2032,0.2032,False,AR(4),88
6,0.0156,-0.2032,0.2032,False,AR(4),87
7,0.0773,-0.2032,0.2032,False,AR(4),86
8,-0.0501,-0.2032,0.2032,False,AR(4),85
