pair_name,horizon_days,metric,value,p_value,n_obs
qoq__spy_fwd_1q,63,pearson,-0.1121,0.2692,99
qoq__spy_fwd_1q,63,spearman,-0.0927,0.3616,99
qoq__spy_fwd_1q,63,kendall,-0.0699,0.3054,99
qoq__spy_fwd_1q,63,distance,0.2208,,99
qoq__spy_fwd_2q,126,pearson,-0.176,0.0829,98
qoq__spy_fwd_2q,126,spearman,-0.1305,0.2003,98
qoq__spy_fwd_2q,126,kendall,-0.0995,0.1466,98
qoq__spy_fwd_2q,126,distance,0.2359,,98
qoq__spy_fwd_4q,252,pearson,-0.1856,0.0702,96
qoq__spy_fwd_4q,252,spearman,-0.1535,0.1354,96
qoq__spy_fwd_4q,252,kendall,-0.1132,0.1024,96
qoq__spy_fwd_4q,252,distance,0.2594,,96
growth_2q__spy_fwd_1q,63,pearson,-0.1267,0.2139,98
growth_2q__spy_fwd_1q,63,spearman,-0.098,0.3371,98
growth_2q__spy_fwd_1q,63,kendall,-0.0713,0.2981,98
growth_2q__spy_fwd_1q,63,distance,0.2036,,98
growth_2q__spy_fwd_2q,126,pearson,-0.1765,0.0838,97
growth_2q__spy_fwd_2q,126,spearman,-0.1332,0.1934,97
growth_2q__spy_fwd_2q,126,kendall,-0.0893,0.1948,97
growth_2q__spy_fwd_2q,126,distance,0.2165,,97
growth_2q__spy_fwd_4q,252,pearson,-0.1746,0.0905,95
growth_2q__spy_fwd_4q,252,spearman,-0.1372,0.185,95
growth_2q__spy_fwd_4q,252,kendall,-0.0979,0.16,95
growth_2q__spy_fwd_4q,252,distance,0.27,,95
yoy__spy_fwd_1q,63,pearson,-0.1091,0.2902,96
yoy__spy_fwd_1q,63,spearman,-0.1158,0.2611,96
yoy__spy_fwd_1q,63,kendall,-0.0803,0.2467,96
yoy__spy_fwd_1q,63,distance,0.1789,,96
yoy__spy_fwd_2q,126,pearson,-0.1231,0.2346,95
yoy__spy_fwd_2q,126,spearman,-0.1192,0.2497,95
yoy__spy_fwd_2q,126,kendall,-0.0764,0.2729,95
yoy__spy_fwd_2q,126,distance,0.1919,,95
yoy__spy_fwd_4q,252,pearson,-0.0917,0.3819,93
yoy__spy_fwd_4q,252,spearman,-0.0969,0.3557,93
yoy__spy_fwd_4q,252,kendall,-0.0757,0.2822,93
yoy__spy_fwd_4q,252,distance,0.2522,,93
dev_trend__spy_fwd_1q,63,pearson,-0.0621,0.55,95
dev_trend__spy_fwd_1q,63,spearman,-0.0927,0.3716,95
dev_trend__spy_fwd_1q,63,kendall,-0.0616,0.3766,95
dev_trend__spy_fwd_1q,63,distance,0.1765,,95
dev_trend__spy_fwd_2q,126,pearson,-0.0728,0.4857,94
dev_trend__spy_fwd_2q,126,spearman,-0.0838,0.4221,94
dev_trend__spy_fwd_2q,126,kendall,-0.0533,0.4466,94
dev_trend__spy_fwd_2q,126,distance,0.1786,,94
dev_trend__spy_fwd_4q,252,pearson,-0.0477,0.6519,92
dev_trend__spy_fwd_4q,252,spearman,-0.0493,0.641,92
dev_trend__spy_fwd_4q,252,kendall,-0.0354,0.6177,92
dev_trend__spy_fwd_4q,252,distance,0.2455,,92
level_zscore_20q__spy_fwd_1q,63,pearson,-0.0759,0.4794,89
level_zscore_20q__spy_fwd_1q,63,spearman,-0.0048,0.9641,89
level_zscore_20q__spy_fwd_1q,63,kendall,0.0041,0.9548,89
level_zscore_20q__spy_fwd_1q,63,distance,0.1915,,89
level_zscore_20q__spy_fwd_2q,126,pearson,-0.081,0.453,88
level_zscore_20q__spy_fwd_2q,126,spearman,-0.0086,0.9364,88
