signal,horizon,coef,se,t_stat,p_value,r_squared,n
qoq,spy_fwd_1q,-0.037569,0.037936,-0.99,0.322,0.0126,99
qoq,spy_fwd_2q,-0.084633,0.056151,-1.507,0.1318,0.031,98
qoq,spy_fwd_4q,-0.128325,0.097795,-1.312,0.1895,0.0345,96
growth_2q,spy_fwd_1q,-0.022181,0.018478,-1.2,0.23,0.016,98
growth_2q,spy_fwd_2q,-0.045137,0.031485,-1.434,0.1517,0.0311,97
growth_2q,spy_fwd_4q,-0.063631,0.054374,-1.17,0.2419,0.0305,95
yoy,spy_fwd_1q,-0.009868,0.009341,-1.056,0.2907,0.0119,96
yoy,spy_fwd_2q,-0.016144,0.015506,-1.041,0.2978,0.0152,95
yoy,spy_fwd_4q,-0.016675,0.026641,-0.626,0.5314,0.0084,93
dev_trend,spy_fwd_1q,-0.006658,0.010324,-0.645,0.519,0.0039,95
dev_trend,spy_fwd_2q,-0.011035,0.017391,-0.635,0.5257,0.0053,94
dev_trend,spy_fwd_4q,-0.010216,0.031864,-0.321,0.7485,0.0023,92
level_zscore_20q,spy_fwd_1q,-0.048109,0.072594,-0.663,0.5075,0.0058,89
level_zscore_20q,spy_fwd_2q,-0.075635,0.112132,-0.675,0.5,0.0066,88
level_zscore_20q,spy_fwd_4q,0.00503,0.1651,0.03,0.9757,0.0,86
yoy_zscore_20q,spy_fwd_1q,-0.001697,0.006773,-0.251,0.8022,0.0009,85
yoy_zscore_20q,spy_fwd_2q,-0.007977,0.010704,-0.745,0.4561,0.0095,84
yoy_zscore_20q,spy_fwd_4q,-0.011418,0.015171,-0.753,0.4517,0.0099,82
accel,spy_fwd_1q,0.027135,0.0417,0.651,0.5152,0.0037,98
accel,spy_fwd_2q,-0.007293,0.044888,-0.162,0.8709,0.0001,97
accel,spy_fwd_4q,-0.025866,0.071378,-0.362,0.7171,0.0008,95
yoy_accel,spy_fwd_1q,-0.01437,0.043563,-0.33,0.7415,0.0017,95
yoy_accel,spy_fwd_2q,-0.058649,0.056119,-1.045,0.296,0.0138,94
yoy_accel,spy_fwd_4q,-0.125249,0.078376,-1.598,0.11,0.0321,92
hmm_stress,spy_fwd_1q,-0.025104,0.0153,-1.641,0.1008,0.0236,96
hmm_stress,spy_fwd_2q,-0.051523,0.029672,-1.736,0.0825,0.0468,95
hmm_stress,spy_fwd_4q,-0.087585,0.058942,-1.486,0.1373,0.0695,93
markov_regime,spy_fwd_1q,-0.023355,0.024826,-0.941,0.3468,0.0137,96
markov_regime,spy_fwd_2q,-0.025575,0.040846,-0.626,0.5312,0.0078,95
markov_regime,spy_fwd_4q,-0.003912,0.054904,-0.071,0.9432,0.0001,93
