date,signal_value,threshold,position,spy_return,strategy_return,cumulative_return
2001-06-30,,0.259,-1.0,0.053635,-0.053635,-0.053635
2001-09-30,,0.259,-1.0,-0.144927,0.144927,0.083519
2001-12-31,,0.259,-1.0,0.098173,-0.098173,-0.022853
2002-03-31,,0.259,-1.0,0.004795,-0.004795,-0.027539
2002-06-30,,0.259,-1.0,-0.132847,0.132847,0.10165
2002-09-30,,0.259,-1.0,-0.169799,0.169799,0.288709
2002-12-31,,0.259,-1.0,0.084039,-0.084039,0.180407
2003-03-31,,0.259,-1.0,-0.035683,0.035683,0.222527
2003-06-30,,0.259,-1.0,0.156274,-0.156274,0.031478
2003-09-30,,0.259,-1.0,0.027693,-0.027693,0.002913
2003-12-31,,0.259,-1.0,0.118617,-0.118617,-0.116049
2004-03-31,,0.259,-1.0,0.019918,-0.019918,-0.133656
2004-06-30,,0.259,-1.0,0.01634,-0.01634,-0.147812
2004-09-30,,0.259,-1.0,-0.020124,0.020124,-0.130662
2004-12-31,,0.259,-1.0,0.089843,-0.089843,-0.208766
2005-03-31,,0.259,-1.0,-0.020242,0.020242,-0.19275
2005-06-30,,0.259,-1.0,0.01442,-0.01442,-0.204391
2005-09-30,,0.259,-1.0,0.036783,-0.036783,-0.233656
2005-12-31,,0.259,-1.0,0.017312,-0.017312,-0.246922
2006-03-31,,0.259,-1.0,0.046874,-0.046874,-0.282222
2006-06-30,0.1317,0.259,-1.0,-0.015308,0.015308,-0.271235
2006-09-30,-0.7735,0.259,-1.0,0.054113,-0.054113,-0.31067
2006-12-31,-2.2697,0.259,-1.0,0.066095,-0.066095,-0.356231
2007-03-31,-2.4815,0.259,-1.0,0.00666,-0.00666,-0.360519
2007-06-30,-1.8284,0.259,-1.0,0.063932,-0.063932,-0.401402
2007-09-30,-2.3466,0.259,-1.0,0.019104,-0.019104,-0.412838
2007-12-31,-1.369,0.259,-1.0,-0.036662,0.036662,-0.391311
2008-03-31,-0.5458,0.259,-1.0,-0.092926,0.092926,-0.334748
2008-06-30,-0.6024,0.259,-1.0,-0.025384,0.025384,-0.317862
2008-09-30,-0.026,0.259,-1.0,-0.08844,0.08844,-0.257533
2008-12-31,-0.0586,0.259,-1.0,-0.215686,0.215686,-0.097394
2009-03-31,-0.7116,0.259,-1.0,-0.112487,0.112487,0.004138
2009-06-30,-0.4809,0.259,-1.0,0.162844,-0.162844,-0.15938
2009-09-30,-0.4927,0.259,-1.0,0.153811,-0.153811,-0.288677
2009-12-31,-1.0703,0.259,-1.0,0.061085,-0.061085,-0.332128
2010-03-31,-1.0373,0.259,-1.0,0.054216,-0.054216,-0.368337
2010-06-30,-2.0096,0.259,-1.0,-0.11358,0.11358,-0.296593
2010-09-30,-2.6539,0.259,-1.0,0.111616,-0.111616,-0.375104
2010-12-31,-2.7336,0.259,-1.0,0.107608,-0.107608,-0.442348
2011-03-31,-2.5802,0.259,-1.0,0.058974,-0.058974,-0.475235
2011-06-30,-2.2584,0.259,-1.0,0.000258,-0.000258,-0.47537
2011-09-30,-1.523,0.259,-1.0,-0.138172,0.138172,-0.402881
2011-12-31,-1.1412,0.259,-1.0,0.116181,-0.116181,-0.472255
2012-03-31,-1.0468,0.259,-1.0,0.126909,-0.126909,-0.539231
2012-06-30,-0.847,0.259,-1.0,-0.028441,0.028441,-0.526126
2012-09-30,-0.7968,0.259,-1.0,0.063472,-0.063472,-0.556204
2012-12-31,-0.5114,0.259,-1.0,-0.00382,0.00382,-0.554508
2013-03-31,-0.5709,0.259,-1.0,0.105026,-0.105026,-0.601297
2013-06-30,-0.5119,0.259,-1.0,0.029354,-0.029354,-0.613
2013-09-30,-0.4546,0.259,-1.0,0.052418,-0.052418,-0.633286
2013-12-31,-0.6648,0.259,-1.0,0.105248,-0.105248,-0.671882
2014-03-31,-0.4571,0.259,-1.0,0.017031,-0.017031,-0.67747
2014-06-30,-0.3929,0.259,-1.0,0.05159,-0.05159,-0.694109
2014-09-30,-0.5215,0.259,-1.0,0.011347,-0.011347,-0.69758
2014-12-31,-0.245,0.259,-1.0,0.049002,-0.049002,-0.712399
2015-03-31,-0.1479,0.259,-1.0,0.008813,-0.008813,-0.714934
2015-06-30,0.3784,0.259,1.0,0.002041,0.002041,-0.714352
2015-09-30,-0.4777,0.259,-1.0,-0.06424,0.06424,-0.696002
2015-12-31,0.7684,0.259,1.0,0.070205,0.070205,-0.67466
2016-03-31,1.9406,0.259,1.0,0.013292,0.013292,-0.670336
2016-06-30,2.0601,0.259,1.0,0.024569,0.024569,-0.662236
2016-09-30,3.0572,0.259,1.0,0.037772,0.037772,-0.649478
2016-12-31,-0.1452,0.259,-1.0,0.039517,-0.039517,-0.66333
2017-03-31,-0.2346,0.259,-1.0,0.059211,-0.059211,-0.683264
2017-06-30,0.1396,0.259,-1.0,0.030708,-0.030708,-0.692991
2017-09-30,-0.3624,0.259,-1.0,0.044155,-0.044155,-0.706547
2017-12-31,1.6362,0.259,1.0,0.067643,0.067643,-0.686697
2018-03-31,1.0665,0.259,1.0,-0.009953,-0.009953,-0.689815
2018-06-30,0.9317,0.259,1.0,0.035524,0.035524,-0.678796
2018-09-30,1.1406,0.259,1.0,0.076511,0.076511,-0.65422
2018-12-31,1.2972,0.259,1.0,-0.135321,-0.135321,-0.701011
2019-03-31,1.6903,0.259,1.0,0.13526,0.13526,-0.66057
2019-06-30,1.7035,0.259,1.0,0.042287,0.042287,-0.646217
2019-09-30,1.9424,0.259,1.0,0.017544,0.017544,-0.64001
2019-12-31,1.865,0.259,1.0,0.089876,0.089876,-0.607656
2020-03-31,1.7976,0.259,1.0,-0.194477,-0.194477,-0.683958
2020-06-30,1.9129,0.259,1.0,0.201618,0.201618,-0.620238
2020-09-30,1.284,0.259,1.0,0.090383,0.090383,-0.585914
2020-12-31,1.1093,0.259,1.0,0.121186,0.121186,-0.535732
2021-03-31,0.9491,0.259,1.0,0.063518,0.063518,-0.506243
2021-06-30,0.5955,0.259,1.0,0.083593,0.083593,-0.464968
2021-09-30,1.1414,0.259,1.0,0.005735,0.005735,-0.4619
2021-12-31,0.5752,0.259,1.0,0.11066,0.11066,-0.402354
2022-03-31,-0.2749,0.259,-1.0,-0.046145,0.046145,-0.374775
2022-06-30,0.0782,0.259,-1.0,-0.161103,0.161103,-0.27405
2022-09-30,0.1678,0.259,-1.0,-0.049312,0.049312,-0.238252
2022-12-31,0.9835,0.259,1.0,0.075609,0.075609,-0.180656
2023-03-31,3.1353,0.259,1.0,0.074582,0.074582,-0.119548
2023-06-30,3.097,0.259,1.0,0.086804,0.086804,-0.043121
2023-09-30,2.9733,0.259,1.0,-0.032242,-0.032242,-0.073973
2023-12-31,2.9455,0.259,1.0,0.116396,0.116396,0.033813
2024-03-31,2.2896,0.259,1.0,0.103901,0.103901,0.141227
2024-06-30,1.9403,0.259,1.0,0.043791,0.043791,0.191202
2024-09-30,1.4604,0.259,1.0,0.057513,0.057513,0.259712
2024-12-31,1.0756,0.259,1.0,0.02491,0.02491,0.291091
2025-03-31,0.8674,0.259,1.0,-0.042669,-0.042669,0.236002
2025-06-30,0.5624,0.259,1.0,0.107772,0.107772,0.369208
2025-09-30,0.5192,0.259,1.0,0.081212,0.081212,0.480404
2025-12-31,0.2884,0.259,1.0,0.026652,0.026652,0.51986
2026-03-31,-0.0043,0.259,-1.0,-0.043706,0.043706,0.586287
