signal,threshold,strategy,signal_column,lead_days,oos_sharpe,oos_max_drawdown,valid,lead_source
gold_copper_zscore_252d,T1_p25,P1_long_cash,gold_copper_zscore_252d,0,0.617,-0.063,True,pipeline
gold_copper_zscore_252d,T1_p25,P1_long_cash,gold_copper_zscore_252d,1,0.4802,-0.0758,True,pipeline
gold_copper_zscore_252d,T1_p25,P1_long_cash,gold_copper_zscore_252d,5,0.2151,-0.1145,True,pipeline
gold_copper_zscore_252d,T1_p25,P1_long_cash,gold_copper_zscore_252d,21,0.3813,-0.0908,True,pipeline
gold_copper_zscore_252d,T1_p25,P1_long_cash,gold_copper_zscore_252d,63,0.387,-0.1071,True,pipeline
gold_copper_zscore_252d,T1_p25,P1_long_cash,gold_copper_zscore_252d,126,0.1195,-0.0819,True,pipeline
gold_copper_zscore_252d,T1_p25,P1_long_cash,gold_copper_zscore_252d,252,0.0933,-0.1981,True,pipeline
gold_copper_zscore_252d,T2_p50,P1_long_cash,gold_copper_zscore_252d,0,0.5816,-0.1067,True,pipeline
gold_copper_zscore_252d,T2_p50,P1_long_cash,gold_copper_zscore_252d,1,0.3466,-0.1887,True,pipeline
gold_copper_zscore_252d,T2_p50,P1_long_cash,gold_copper_zscore_252d,5,0.3885,-0.2264,True,pipeline
gold_copper_zscore_252d,T2_p50,P1_long_cash,gold_copper_zscore_252d,21,0.4262,-0.1379,True,pipeline
gold_copper_zscore_252d,T2_p50,P1_long_cash,gold_copper_zscore_252d,63,0.4027,-0.1638,True,pipeline
gold_copper_zscore_252d,T2_p50,P1_long_cash,gold_copper_zscore_252d,252,0.3832,-0.2187,True,pipeline
gold_copper_zscore_252d,T3_p75,P1_long_cash,gold_copper_zscore_252d,0,0.9196,-0.1789,True,pipeline
gold_copper_zscore_252d,T3_p75,P1_long_cash,gold_copper_zscore_252d,1,0.6101,-0.198,True,pipeline
gold_copper_zscore_252d,T3_p75,P1_long_cash,gold_copper_zscore_252d,5,0.5624,-0.2719,True,pipeline
gold_copper_zscore_252d,T3_p75,P1_long_cash,gold_copper_zscore_252d,21,0.6787,-0.1883,True,pipeline
gold_copper_zscore_252d,T3_p75,P1_long_cash,gold_copper_zscore_252d,63,0.1641,-0.4239,True,pipeline
gold_copper_zscore_252d,T3_p75,P1_long_cash,gold_copper_zscore_252d,126,0.586,-0.2114,True,pipeline
gold_copper_zscore_252d,T3_p75,P1_long_cash,gold_copper_zscore_252d,252,0.3536,-0.4304,True,pipeline
gold_copper_zscore_252d,T3_p75,P2_long_short,gold_copper_zscore_252d,0,0.429,-0.3636,True,pipeline
gold_copper_zscore_252d,T3_p75,P2_long_short,gold_copper_zscore_252d,1,0.073,-0.4406,True,pipeline
gold_copper_zscore_252d,T3_p75,P2_long_short,gold_copper_zscore_252d,5,0.0374,-0.4762,True,pipeline
gold_copper_zscore_252d,T3_p75,P2_long_short,gold_copper_zscore_252d,21,0.1787,-0.4318,True,pipeline
gold_copper_zscore_252d,T3_p75,P2_long_short,gold_copper_zscore_252d,126,0.0756,-0.4869,True,pipeline
gold_copper_zscore_126d,T1_p25,P1_long_cash,gold_copper_zscore_126d,0,0.8142,-0.0825,True,pipeline
gold_copper_zscore_126d,T1_p25,P1_long_cash,gold_copper_zscore_126d,1,0.4259,-0.1516,True,pipeline
gold_copper_zscore_126d,T1_p25,P1_long_cash,gold_copper_zscore_126d,5,0.3485,-0.1818,True,pipeline
gold_copper_zscore_126d,T1_p25,P1_long_cash,gold_copper_zscore_126d,21,0.6354,-0.0956,True,pipeline
gold_copper_zscore_126d,T1_p25,P1_long_cash,gold_copper_zscore_126d,126,0.5228,-0.1151,True,pipeline
gold_copper_zscore_126d,T1_p25,P1_long_cash,gold_copper_zscore_126d,252,0.3801,-0.1291,True,pipeline
gold_copper_zscore_126d,T2_p50,P1_long_cash,gold_copper_zscore_126d,0,1.273,-0.0825,True,pipeline
gold_copper_zscore_126d,T2_p50,P1_long_cash,gold_copper_zscore_126d,1,0.4298,-0.1909,True,pipeline
gold_copper_zscore_126d,T2_p50,P1_long_cash,gold_copper_zscore_126d,5,0.5768,-0.1757,True,pipeline
gold_copper_zscore_126d,T2_p50,P1_long_cash,gold_copper_zscore_126d,21,0.5766,-0.1737,True,pipeline
gold_copper_zscore_126d,T2_p50,P1_long_cash,gold_copper_zscore_126d,63,0.1131,-0.4109,True,pipeline
