date,rolling_corr,n_obs,window_start
2002-08-31,-0.240126,24,2000-09-30
2002-09-30,-0.277458,24,2000-10-31
2002-10-31,-0.268465,24,2000-11-30
2002-11-30,-0.31401,24,2000-12-31
2002-12-31,-0.341214,24,2001-01-31
2003-01-31,-0.294608,24,2001-02-28
2003-02-28,-0.274047,24,2001-03-31
2003-03-31,-0.139743,24,2001-04-30
2003-04-30,-0.059031,24,2001-05-31
2003-05-31,-0.079037,24,2001-06-30
2003-06-30,-0.070377,24,2001-07-31
2003-07-31,-0.109815,24,2001-08-31
2003-08-31,-0.068311,24,2001-09-30
2003-09-30,-0.015918,24,2001-10-31
2003-10-31,-0.089198,24,2001-11-30
2003-11-30,0.029534,24,2001-12-31
2003-12-31,-0.022157,24,2002-01-31
2004-01-31,-0.037934,24,2002-02-28
2004-02-29,-0.041034,24,2002-03-31
2004-03-31,-0.052786,24,2002-04-30
2004-04-30,-0.021715,24,2002-05-31
2004-05-31,-0.025956,24,2002-06-30
2004-06-30,-0.157195,24,2002-07-31
2004-07-31,-0.113485,24,2002-08-31
2004-08-31,-0.096838,24,2002-09-30
2004-09-30,-0.00066,24,2002-10-31
2004-10-31,-0.009923,24,2002-11-30
2004-11-30,0.071785,24,2002-12-31
2004-12-31,0.108699,24,2003-01-31
2005-01-31,0.033677,24,2003-02-28
2005-02-28,0.029708,24,2003-03-31
2005-03-31,0.112701,24,2003-04-30
2005-04-30,-0.079807,24,2003-05-31
2005-05-31,-0.057385,24,2003-06-30
2005-06-30,-0.195512,24,2003-07-31
2005-07-31,-0.157904,24,2003-08-31
2005-08-31,-0.24179,24,2003-09-30
2005-09-30,-0.21477,24,2003-10-31
2005-10-31,-0.094873,24,2003-11-30
2005-11-30,0.030576,24,2003-12-31
2005-12-31,0.038884,24,2004-01-31
2006-01-31,0.046638,24,2004-02-29
2006-02-28,0.079056,24,2004-03-31
2006-03-31,0.099192,24,2004-04-30
2006-04-30,0.09876,24,2004-05-31
2006-05-31,0.059599,24,2004-06-30
2006-06-30,0.126156,24,2004-07-31
2006-07-31,0.054702,24,2004-08-31
2006-08-31,0.043562,24,2004-09-30
2006-09-30,0.052352,24,2004-10-31
2006-10-31,0.098399,24,2004-11-30
2006-11-30,0.064752,24,2004-12-31
2006-12-31,0.098503,24,2005-01-31
2007-01-31,0.048967,24,2005-02-28
2007-02-28,0.111454,24,2005-03-31
2007-03-31,0.09459,24,2005-04-30
2007-04-30,0.059202,24,2005-05-31
2007-05-31,-0.066724,24,2005-06-30
2007-06-30,0.077614,24,2005-07-31
2007-07-31,0.1058,24,2005-08-31
2007-08-31,0.113771,24,2005-09-30
2007-09-30,0.094544,24,2005-10-31
2007-10-31,0.062533,24,2005-11-30
2007-11-30,0.188495,24,2005-12-31
2007-12-31,0.166318,24,2006-01-31
2008-01-31,0.200502,24,2006-02-28
2008-02-29,0.140725,24,2006-03-31
2008-03-31,0.056487,24,2006-04-30
2008-04-30,0.012979,24,2006-05-31
2008-05-31,0.058251,24,2006-06-30
2008-06-30,-0.072841,24,2006-07-31
2008-07-31,-0.067502,24,2006-08-31
2008-08-31,-0.045698,24,2006-09-30
2008-09-30,-0.298679,24,2006-10-31
2008-10-31,0.050989,24,2006-11-30
2008-11-30,0.030263,24,2006-12-31
2008-12-31,-0.01191,24,2007-01-31
2009-01-31,-0.094463,24,2007-02-28
2009-02-28,0.131536,24,2007-03-31
2009-03-31,0.116409,24,2007-04-30
2009-04-30,0.047424,24,2007-05-31
2009-05-31,0.068491,24,2007-06-30
2009-06-30,0.070456,24,2007-07-31
2009-07-31,0.050284,24,2007-08-31
2009-08-31,0.084768,24,2007-09-30
2009-09-30,0.080218,24,2007-10-31
2009-10-31,0.074225,24,2007-11-30
2009-11-30,0.085658,24,2007-12-31
2009-12-31,0.081977,24,2008-01-31
2010-01-31,0.064655,24,2008-02-29
2010-02-28,0.086669,24,2008-03-31
2010-03-31,0.079901,24,2008-04-30
2010-04-30,0.11916,24,2008-05-31
2010-05-31,0.090972,24,2008-06-30
2010-06-30,0.116556,24,2008-07-31
2010-07-31,0.079869,24,2008-08-31
2010-08-31,0.081862,24,2008-09-30
2010-09-30,0.195591,24,2008-10-31
2010-10-31,0.029947,24,2008-11-30
2010-11-30,0.035206,24,2008-12-31
2010-12-31,0.032342,24,2009-01-31
2011-01-31,0.098916,24,2009-02-28
2011-02-28,-0.331115,24,2009-03-31
2011-03-31,-0.317997,24,2009-04-30
2011-04-30,-0.220377,24,2009-05-31
2011-05-31,-0.171729,24,2009-06-30
2011-06-30,-0.148121,24,2009-07-31
2011-07-31,-0.088258,24,2009-08-31
2011-08-31,-0.094937,24,2009-09-30
2011-09-30,-0.120489,24,2009-10-31
2011-10-31,-0.137033,24,2009-11-30
2011-11-30,-0.141397,24,2009-12-31
2011-12-31,-0.137416,24,2010-01-31
2012-01-31,-0.059384,24,2010-02-28
2012-02-29,-0.08294,24,2010-03-31
2012-03-31,-0.040093,24,2010-04-30
2012-04-30,-0.076938,24,2010-05-31
2012-05-31,-0.054845,24,2010-06-30
2012-06-30,-0.044595,24,2010-07-31
2012-07-31,0.020866,24,2010-08-31
2012-08-31,-0.011643,24,2010-09-30
2012-09-30,-0.002824,24,2010-10-31
2012-10-31,-0.030473,24,2010-11-30
2012-11-30,-0.037108,24,2010-12-31
2012-12-31,-0.030511,24,2011-01-31
2013-01-31,-0.029068,24,2011-02-28
2013-02-28,-0.032072,24,2011-03-31
2013-03-31,-0.03925,24,2011-04-30
2013-04-30,-0.119399,24,2011-05-31
2013-05-31,-0.128709,24,2011-06-30
2013-06-30,-0.139607,24,2011-07-31
2013-07-31,-0.094884,24,2011-08-31
2013-08-31,-0.15449,24,2011-09-30
2013-09-30,-0.036017,24,2011-10-31
2013-10-31,-0.058575,24,2011-11-30
2013-11-30,-0.065844,24,2011-12-31
2013-12-31,-0.084686,24,2012-01-31
2014-01-31,-0.288423,24,2012-02-29
2014-02-28,-0.221634,24,2012-03-31
2014-03-31,-0.195676,24,2012-04-30
2014-04-30,-0.261869,24,2012-05-31
2014-05-31,-0.175802,24,2012-06-30
2014-06-30,-0.145039,24,2012-07-31
2014-07-31,-0.143902,24,2012-08-31
2014-08-31,-0.095564,24,2012-09-30
2014-09-30,-0.095122,24,2012-10-31
2014-10-31,-0.11457,24,2012-11-30
2014-11-30,-0.093993,24,2012-12-31
2014-12-31,-0.107461,24,2013-01-31
2015-01-31,-0.031213,24,2013-02-28
2015-02-28,-0.096592,24,2013-03-31
2015-03-31,-0.133112,24,2013-04-30
2015-04-30,-0.045915,24,2013-05-31
2015-05-31,-0.068551,24,2013-06-30
2015-06-30,-0.119253,24,2013-07-31
2015-07-31,-0.168367,24,2013-08-31
2015-08-31,0.033406,24,2013-09-30
2015-09-30,0.063716,24,2013-10-31
2015-10-31,0.109747,24,2013-11-30
2015-11-30,0.098174,24,2013-12-31
2015-12-31,0.124647,24,2014-01-31
2016-01-31,0.166374,24,2014-02-28
2016-02-29,0.14611,24,2014-03-31
2016-03-31,0.240653,24,2014-04-30
2016-04-30,0.236071,24,2014-05-31
2016-05-31,0.252838,24,2014-06-30
2016-06-30,0.250539,24,2014-07-31
2016-07-31,0.291287,24,2014-08-31
2016-08-31,0.261663,24,2014-09-30
2016-09-30,0.267211,24,2014-10-31
2016-10-31,0.377771,24,2014-11-30
2016-11-30,0.261382,24,2014-12-31
2016-12-31,0.271691,24,2015-01-31
2017-01-31,0.277659,24,2015-02-28
2017-02-28,0.366229,24,2015-03-31
2017-03-31,0.41007,24,2015-04-30
2017-04-30,0.404789,24,2015-05-31
2017-05-31,0.416514,24,2015-06-30
2017-06-30,0.415019,24,2015-07-31
2017-07-31,0.426639,24,2015-08-31
2017-08-31,0.339711,24,2015-09-30
2017-09-30,0.293152,24,2015-10-31
2017-10-31,0.299478,24,2015-11-30
2017-11-30,0.318844,24,2015-12-31
2017-12-31,0.291674,24,2016-01-31
2018-01-31,0.263985,24,2016-02-29
2018-02-28,0.140602,24,2016-03-31
2018-03-31,0.114127,24,2016-04-30
2018-04-30,0.074863,24,2016-05-31
2018-05-31,0.064851,24,2016-06-30
2018-06-30,0.022852,24,2016-07-31
2018-07-31,-0.026535,24,2016-08-31
2018-08-31,-0.040009,24,2016-09-30
2018-09-30,-0.044983,24,2016-10-31
2018-10-31,-0.227659,24,2016-11-30
2018-11-30,-0.16343,24,2016-12-31
2018-12-31,-0.255044,24,2017-01-31
2019-01-31,-0.273611,24,2017-02-28
2019-02-28,-0.358429,24,2017-03-31
2019-03-31,-0.29828,24,2017-04-30
2019-04-30,-0.283766,24,2017-05-31
2019-05-31,-0.377934,24,2017-06-30
2019-06-30,-0.358228,24,2017-07-31
2019-07-31,-0.411386,24,2017-08-31
2019-08-31,-0.387975,24,2017-09-30
2019-09-30,-0.380616,24,2017-10-31
