signal,threshold,threshold_value,strategy,lead_days,oos_sharpe,oos_ann_return,oos_max_drawdown,annual_turnover,oos_n,valid
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,0,0.617,0.0336,-0.063,4.51,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,1,0.4802,0.0258,-0.0758,4.51,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,5,0.2151,0.0104,-0.1145,4.51,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,21,0.3813,0.0198,-0.0908,4.51,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,63,0.387,0.021,-0.1071,4.51,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,126,0.1195,0.0051,-0.0819,3.06,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P1_long_cash,252,0.0933,0.0042,-0.1981,2.9,1566,True
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,0,-0.3424,-0.0954,-0.6556,9.01,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,1,-0.411,-0.1091,-0.6866,9.01,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,5,-0.5486,-0.1358,-0.7406,9.01,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,21,-0.4648,-0.1196,-0.7116,9.01,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,63,-0.452,-0.1171,-0.7086,9.01,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,126,-0.596,-0.1447,-0.7569,6.11,1566,False
gold_copper_zscore_252d,T1_p25,-0.9767,P2_long_short,252,-0.5902,-0.1437,-0.7867,5.79,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,0,0.5816,0.0497,-0.1067,7.08,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,1,0.3466,0.0278,-0.1887,7.08,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,5,0.3885,0.0322,-0.2264,7.08,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,21,0.4262,0.0367,-0.1379,7.08,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,63,0.4027,0.0334,-0.1638,7.08,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,126,-0.1048,-0.0145,-0.2337,6.92,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P1_long_cash,252,0.3832,0.0455,-0.2187,7.72,1566,True
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,0,-0.1805,-0.0624,-0.5697,14.16,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,1,-0.37,-0.1009,-0.6684,14.16,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,5,-0.3299,-0.0929,-0.6497,14.16,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,21,-0.2884,-0.0846,-0.6308,14.16,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,63,-0.3206,-0.0911,-0.6527,14.16,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,126,-0.7465,-0.1727,-0.8023,13.84,1566,False
gold_copper_zscore_252d,T2_p50,0.0526,P2_long_short,252,-0.1627,-0.0585,-0.6778,15.45,1566,False
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,0,0.9196,0.1179,-0.1789,16.09,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,1,0.6101,0.0745,-0.198,16.09,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,5,0.5624,0.0697,-0.2719,15.93,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,21,0.6787,0.0866,-0.1883,15.29,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,63,0.1641,0.0133,-0.4239,16.09,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,126,0.586,0.074,-0.2114,15.93,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P1_long_cash,252,0.3536,0.0502,-0.4304,15.61,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,0,0.429,0.0729,-0.3636,32.18,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,1,0.073,-0.0084,-0.4406,32.18,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,5,0.0374,-0.0161,-0.4762,31.86,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,21,0.1787,0.0152,-0.4318,30.57,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,63,-0.388,-0.1046,-0.6168,32.18,1566,False
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,126,0.0756,-0.0077,-0.4869,31.86,1566,True
gold_copper_zscore_252d,T3_p75,1.0726,P2_long_short,252,-0.0499,-0.0349,-0.6368,31.22,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,0,0.8142,0.0594,-0.0825,9.66,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,1,0.4259,0.0309,-0.1516,9.66,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,5,0.3485,0.0262,-0.1818,9.82,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,21,0.6354,0.0445,-0.0956,9.98,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,63,-0.1172,-0.0227,-0.3276,9.98,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,126,0.5228,0.0363,-0.1151,9.82,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P1_long_cash,252,0.3801,0.0312,-0.1291,9.98,1566,True
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,0,-0.1093,-0.0475,-0.5352,19.31,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,1,-0.3526,-0.0975,-0.6615,19.31,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,5,-0.3898,-0.1049,-0.6825,19.63,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,21,-0.2383,-0.0744,-0.6198,19.95,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,63,-0.7904,-0.1808,-0.7457,19.95,1566,False
gold_copper_zscore_126d,T1_p25,-1.0407,P2_long_short,126,-0.3092,-0.0888,-0.6453,19.63,1566,False
