change_date,from_pct,to_pct,delta_pct,side,price,signal_value,threshold,cum_pnl_pct
2001-01-18,0.0,100.0,100.0,BUY,19.8687,-0.718,-0.0334,0.652
2001-01-22,100.0,0.0,-100.0,SELL,19.6212,0.234,-0.0334,0.2482
2001-02-15,0.0,100.0,100.0,BUY,19.6347,-0.4071,-0.0334,1.959
2001-02-16,100.0,0.0,-100.0,SELL,19.0581,0.1109,-0.0334,3.699
2001-03-06,0.0,100.0,100.0,BUY,19.1658,-0.5952,-0.0334,5.1942
2001-03-07,100.0,0.0,-100.0,SELL,19.3939,-0.0036,-0.0334,6.7111
2001-11-16,0.0,100.0,100.0,BUY,17.0219,-0.166,-0.0334,7.5596
2001-12-14,100.0,0.0,-100.0,SELL,16.83,-0.0088,-0.0334,8.2926
2001-12-17,0.0,100.0,100.0,BUY,17.0858,-0.1057,-0.0334,9.9385
2001-12-31,100.0,0.0,-100.0,SELL,17.7124,0.3928,-0.0334,17.1647
2002-01-04,0.0,100.0,100.0,BUY,17.7124,-0.1052,-0.0334,17.2069
2002-02-22,100.0,0.0,-100.0,SELL,16.5231,-0.0295,-0.0334,8.318
2002-02-25,0.0,100.0,100.0,BUY,16.9579,-0.2311,-0.0334,11.1684
2002-02-26,100.0,0.0,-100.0,SELL,17.0219,0.2203,-0.0334,14.0938
2002-02-27,0.0,100.0,100.0,BUY,17.2265,-0.2394,-0.0334,15.4654
2002-04-04,100.0,0.0,-100.0,SELL,17.1935,0.0298,-0.0334,15.7161
2002-06-10,0.0,100.0,100.0,BUY,15.5966,-0.1565,-0.0334,16.6272
2002-06-11,100.0,0.0,-100.0,SELL,15.4106,0.5389,-0.0334,17.5455
2002-06-28,0.0,100.0,100.0,BUY,15.3323,-0.3006,-0.0334,17.4471
2002-07-02,100.0,0.0,-100.0,SELL,14.7602,0.0718,-0.0334,14.7409
2002-10-21,0.0,100.0,100.0,BUY,13.5642,-0.041,-0.0334,18.2282
2002-10-22,100.0,0.0,-100.0,SELL,13.3771,0.2509,-0.0334,21.8214
2002-10-24,0.0,100.0,100.0,BUY,13.2286,-0.0803,-0.0334,19.2617
2002-10-29,100.0,0.0,-100.0,SELL,13.0996,0.2767,-0.0334,16.5848
2002-10-31,0.0,100.0,100.0,BUY,13.2157,-0.0715,-0.0334,17.5028
2002-11-07,100.0,0.0,-100.0,SELL,13.4868,0.0657,-0.0334,23.5168
2002-11-11,0.0,100.0,100.0,BUY,13.0351,-0.0643,-0.0334,21.1774
2002-11-12,100.0,0.0,-100.0,SELL,13.0415,0.1429,-0.0334,18.8823
