# Simulated trade record based on backtest signals. No real trades executed. Starting capital: $10000. Commission: 5 bps. Pair: gold_copper_xli. Strategy: P1 (P1_long_cash, countercyclical). Signal: G/C zscore_126d. Threshold rule: lte -0.0334.
trade_date,side,instrument,quantity_pct,price,notional_usd,commission_bps,commission_usd,cum_pnl_pct,reason
2001-01-18,BUY,XLI,100.0,19.8687,10000.0,5.0,5.0,0.652,P1/countercyclical: G/C zscore_126d = -0.718 (threshold -0.033) — position 0.0% → 100.0%
2001-01-22,SELL,XLI,100.0,19.6212,10000.0,5.0,5.0,0.2482,P1/countercyclical: G/C zscore_126d = 0.234 (threshold -0.033) — position 100.0% → 0.0%
2001-02-15,BUY,XLI,100.0,19.6347,10000.0,5.0,5.0,1.959,P1/countercyclical: G/C zscore_126d = -0.407 (threshold -0.033) — position 0.0% → 100.0%
2001-02-16,SELL,XLI,100.0,19.0581,10000.0,5.0,5.0,3.699,P1/countercyclical: G/C zscore_126d = 0.111 (threshold -0.033) — position 100.0% → 0.0%
2001-03-06,BUY,XLI,100.0,19.1659,10000.0,5.0,5.0,5.1944,P1/countercyclical: G/C zscore_126d = -0.595 (threshold -0.033) — position 0.0% → 100.0%
2001-03-07,SELL,XLI,100.0,19.3939,10000.0,5.0,5.0,6.7112,P1/countercyclical: G/C zscore_126d = -0.004 (threshold -0.033) — position 100.0% → 0.0%
2001-11-16,BUY,XLI,100.0,17.0219,10000.0,5.0,5.0,7.5598,P1/countercyclical: G/C zscore_126d = -0.166 (threshold -0.033) — position 0.0% → 100.0%
2001-12-14,SELL,XLI,100.0,16.83,10000.0,5.0,5.0,8.2929,P1/countercyclical: G/C zscore_126d = -0.009 (threshold -0.033) — position 100.0% → 0.0%
2001-12-17,BUY,XLI,100.0,17.0858,10000.0,5.0,5.0,9.9387,P1/countercyclical: G/C zscore_126d = -0.106 (threshold -0.033) — position 0.0% → 100.0%
2001-12-31,SELL,XLI,100.0,17.7124,10000.0,5.0,5.0,17.1649,P1/countercyclical: G/C zscore_126d = 0.393 (threshold -0.033) — position 100.0% → 0.0%
2002-01-04,BUY,XLI,100.0,17.7124,10000.0,5.0,5.0,17.2071,P1/countercyclical: G/C zscore_126d = -0.105 (threshold -0.033) — position 0.0% → 100.0%
2002-02-22,SELL,XLI,100.0,16.5231,10000.0,5.0,5.0,8.3181,P1/countercyclical: G/C zscore_126d = -0.030 (threshold -0.033) — position 100.0% → 0.0%
2002-02-25,BUY,XLI,100.0,16.9579,10000.0,5.0,5.0,11.1686,P1/countercyclical: G/C zscore_126d = -0.231 (threshold -0.033) — position 0.0% → 100.0%
2002-02-26,SELL,XLI,100.0,17.0219,10000.0,5.0,5.0,14.0941,P1/countercyclical: G/C zscore_126d = 0.220 (threshold -0.033) — position 100.0% → 0.0%
2002-02-27,BUY,XLI,100.0,17.2265,10000.0,5.0,5.0,15.4656,P1/countercyclical: G/C zscore_126d = -0.239 (threshold -0.033) — position 0.0% → 100.0%
2002-04-04,SELL,XLI,100.0,17.1935,10000.0,5.0,5.0,15.7161,P1/countercyclical: G/C zscore_126d = 0.030 (threshold -0.033) — position 100.0% → 0.0%
