direction,lag,f_statistic,p_value,significant
indicator_to_target,1,3.6352,0.0573,False
target_to_indicator,1,8.5204,0.0037,True
indicator_to_target,2,1.4001,0.2478,False
target_to_indicator,2,8.3122,0.0003,True
indicator_to_target,3,1.1803,0.317,False
target_to_indicator,3,5.9463,0.0006,True
indicator_to_target,4,0.9621,0.4282,False
target_to_indicator,4,5.097,0.0005,True
indicator_to_target,5,0.7643,0.576,False
target_to_indicator,5,4.0972,0.0012,True
indicator_to_target,6,0.7433,0.6151,False
target_to_indicator,6,3.7705,0.0012,True
indicator_to_target,7,0.7642,0.6177,False
target_to_indicator,7,3.2921,0.0021,True
indicator_to_target,8,0.7931,0.609,False
target_to_indicator,8,3.3769,0.0009,True
indicator_to_target,9,1.1698,0.3131,False
target_to_indicator,9,3.2357,0.0009,True
indicator_to_target,10,1.0865,0.3715,False
target_to_indicator,10,3.0868,0.0009,True
indicator_to_target,11,1.0435,0.4072,False
target_to_indicator,11,2.9905,0.0008,True
indicator_to_target,12,0.9946,0.4534,False
target_to_indicator,12,2.6545,0.002,True
