date,rolling_corr,n_obs,window_start
1995-03-31,0.0805,24,1993-04-30
1995-04-30,-0.0064,24,1993-05-31
1995-05-31,-0.0539,24,1993-06-30
1995-06-30,-0.0891,24,1993-07-31
1995-07-31,-0.1037,24,1993-08-31
1995-08-31,-0.0362,24,1993-09-30
1995-09-30,-0.0724,24,1993-10-31
1995-10-31,-0.0254,24,1993-11-30
1995-11-30,-0.0225,24,1993-12-31
1995-12-31,-0.0891,24,1994-01-31
1996-01-31,-0.055,24,1994-02-28
1996-02-29,0.1209,24,1994-03-31
1996-03-31,0.0973,24,1994-04-30
1996-04-30,0.0976,24,1994-05-31
1996-05-31,0.1194,24,1994-06-30
1996-06-30,0.0232,24,1994-07-31
1996-07-31,-0.0533,24,1994-08-31
1996-08-31,-0.1428,24,1994-09-30
1996-09-30,-0.1482,24,1994-10-31
1996-10-31,-0.2103,24,1994-11-30
1996-11-30,-0.1786,24,1994-12-31
1996-12-31,-0.2253,24,1995-01-31
1997-01-31,-0.2287,24,1995-02-28
1997-02-28,-0.0985,24,1995-03-31
1997-03-31,-0.1104,24,1995-04-30
1997-04-30,-0.066,24,1995-05-31
1997-05-31,-0.0541,24,1995-06-30
1997-06-30,0.0845,24,1995-07-31
1997-07-31,0.1464,24,1995-08-31
1997-08-31,0.1465,24,1995-09-30
1997-09-30,0.3037,24,1995-10-31
1997-10-31,0.2548,24,1995-11-30
1997-11-30,0.2707,24,1995-12-31
1997-12-31,0.2947,24,1996-01-31
1998-01-31,0.363,24,1996-02-29
1998-02-28,0.3705,24,1996-03-31
1998-03-31,0.4096,24,1996-04-30
1998-04-30,0.3497,24,1996-05-31
1998-05-31,0.3407,24,1996-06-30
1998-06-30,0.4027,24,1996-07-31
1998-07-31,0.4123,24,1996-08-31
1998-08-31,0.4229,24,1996-09-30
1998-09-30,0.4864,24,1996-10-31
1998-10-31,0.4907,24,1996-11-30
1998-11-30,0.442,24,1996-12-31
1998-12-31,0.5093,24,1997-01-31
1999-01-31,0.4894,24,1997-02-28
1999-02-28,0.4146,24,1997-03-31
1999-03-31,0.4656,24,1997-04-30
1999-04-30,0.5065,24,1997-05-31
1999-05-31,0.4287,24,1997-06-30
1999-06-30,0.4213,24,1997-07-31
1999-07-31,0.4034,24,1997-08-31
1999-08-31,0.4284,24,1997-09-30
1999-09-30,0.4362,24,1997-10-31
1999-10-31,0.4615,24,1997-11-30
1999-11-30,0.4719,24,1997-12-31
1999-12-31,0.5064,24,1998-01-31
2000-01-31,0.4774,24,1998-02-28
2000-02-29,0.4927,24,1998-03-31
2000-03-31,0.4792,24,1998-04-30
2000-04-30,0.4796,24,1998-05-31
2000-05-31,0.4642,24,1998-06-30
2000-06-30,0.4694,24,1998-07-31
2000-07-31,0.3714,24,1998-08-31
2000-08-31,0.367,24,1998-09-30
2000-09-30,0.3029,24,1998-10-31
2000-10-31,0.2695,24,1998-11-30
2000-11-30,0.3116,24,1998-12-31
2000-12-31,0.3358,24,1999-01-31
2001-01-31,0.3092,24,1999-02-28
2001-02-28,0.2251,24,1999-03-31
2001-03-31,0.2542,24,1999-04-30
2001-04-30,0.2499,24,1999-05-31
2001-05-31,0.271,24,1999-06-30
2001-06-30,0.2377,24,1999-07-31
2001-07-31,0.244,24,1999-08-31
2001-08-31,0.1889,24,1999-09-30
2001-09-30,0.1136,24,1999-10-31
2001-10-31,0.0592,24,1999-11-30
2001-11-30,-0.0089,24,1999-12-31
2001-12-31,-0.0304,24,2000-01-31
