signal,horizon,coef,t_stat,p_value,r_squared,n
hy_ig_spread_pct,spy_fwd_1d,3.1e-05,0.212,0.8324,0.0,6861
hy_ig_spread_pct,spy_fwd_5d,5e-05,0.181,0.856,0.0,6857
hy_ig_spread_pct,spy_fwd_21d,-5e-05,-0.108,0.9139,0.0,6841
hy_ig_spread_pct,spy_fwd_63d,-0.001339,-1.776,0.0758,0.0011,6799
hy_ig_spread_pct,spy_fwd_126d,0.001442,1.506,0.132,0.0006,6736
hy_ig_zscore_252d,spy_fwd_1d,1.9e-05,0.098,0.9218,0.0,6663
hy_ig_zscore_252d,spy_fwd_5d,8e-06,0.023,0.9818,0.0,6659
hy_ig_zscore_252d,spy_fwd_21d,0.000532,1.029,0.3036,0.0003,6643
hy_ig_zscore_252d,spy_fwd_63d,-0.00073,-0.888,0.3745,0.0002,6601
hy_ig_zscore_252d,spy_fwd_126d,-0.004092,-3.653,0.0003,0.003,6538
hy_ig_zscore_504d,spy_fwd_1d,5.6e-05,0.269,0.7879,0.0,6463
hy_ig_zscore_504d,spy_fwd_5d,0.000148,0.406,0.6849,0.0001,6459
hy_ig_zscore_504d,spy_fwd_21d,0.000814,1.398,0.162,0.0006,6443
hy_ig_zscore_504d,spy_fwd_63d,-0.000195,-0.206,0.837,0.0,6401
hy_ig_zscore_504d,spy_fwd_126d,-0.003138,-2.411,0.0159,0.0016,6338
hy_ig_pctrank_504d,spy_fwd_1d,9e-06,0.017,0.9865,0.0,6463
hy_ig_pctrank_504d,spy_fwd_5d,-6e-06,-0.005,0.9958,0.0,6459
hy_ig_pctrank_504d,spy_fwd_21d,4.8e-05,0.026,0.9797,0.0,6443
hy_ig_pctrank_504d,spy_fwd_63d,-0.003991,-1.307,0.1913,0.0003,6401
hy_ig_pctrank_504d,spy_fwd_126d,-0.015768,-3.594,0.0003,0.0026,6338
hy_ig_pctrank_1260d,spy_fwd_1d,0.000253,0.38,0.7039,0.0,5863
hy_ig_pctrank_1260d,spy_fwd_5d,0.001056,0.842,0.3997,0.0002,5859
hy_ig_pctrank_1260d,spy_fwd_21d,0.00378,1.624,0.1045,0.0007,5843
hy_ig_pctrank_1260d,spy_fwd_63d,0.005819,1.45,0.1469,0.0007,5801
hy_ig_pctrank_1260d,spy_fwd_126d,0.007224,1.211,0.2261,0.0005,5738
hy_ig_roc_21d,spy_fwd_1d,1.5e-05,0.48,0.6311,0.0003,6841
hy_ig_roc_21d,spy_fwd_5d,6.5e-05,1.282,0.1999,0.0012,6837
hy_ig_roc_21d,spy_fwd_21d,0.000227,3.01,0.0026,0.0041,6821
hy_ig_roc_21d,spy_fwd_63d,0.000174,1.412,0.158,0.0009,6779
hy_ig_roc_21d,spy_fwd_126d,0.00011,0.647,0.5175,0.0002,6716
hy_ig_roc_63d,spy_fwd_1d,1e-05,0.786,0.4318,0.0005,6799
hy_ig_roc_63d,spy_fwd_5d,3.9e-05,1.738,0.0822,0.0016,6795
hy_ig_roc_63d,spy_fwd_21d,6.7e-05,2.006,0.0449,0.0013,6779
hy_ig_roc_63d,spy_fwd_63d,-0.000161,-2.671,0.0076,0.0028,6737
hy_ig_roc_63d,spy_fwd_126d,-0.000111,-1.502,0.133,0.0006,6674
hy_ig_roc_126d,spy_fwd_1d,2e-06,0.296,0.767,0.0001,6736
hy_ig_roc_126d,spy_fwd_5d,5e-06,0.333,0.7388,0.0001,6732
hy_ig_roc_126d,spy_fwd_21d,1.9e-05,0.838,0.4021,0.0002,6716
hy_ig_roc_126d,spy_fwd_63d,-0.000105,-2.754,0.0059,0.0025,6674
hy_ig_roc_126d,spy_fwd_126d,-4e-05,-0.872,0.3833,0.0002,6611
hy_ig_mom_21d,spy_fwd_1d,0.0005,0.703,0.4822,0.0006,6841
hy_ig_mom_21d,spy_fwd_5d,0.001848,1.655,0.098,0.0019,6837
hy_ig_mom_21d,spy_fwd_21d,0.004567,2.698,0.007,0.0033,6821
hy_ig_mom_21d,spy_fwd_63d,-0.0052,-1.969,0.049,0.0016,6779
hy_ig_mom_21d,spy_fwd_126d,-0.005961,-1.799,0.0721,0.001,6716
hy_ig_mom_63d,spy_fwd_1d,0.00014,0.437,0.6622,0.0002,6799
hy_ig_mom_63d,spy_fwd_5d,0.000326,0.593,0.5531,0.0002,6795
hy_ig_mom_63d,spy_fwd_21d,-0.001739,-2.261,0.0237,0.0016,6779
hy_ig_mom_63d,spy_fwd_63d,-0.011903,-10.76,0.0,0.0284,6737
hy_ig_mom_63d,spy_fwd_126d,-0.010258,-6.28,0.0,0.01,6674
hy_ig_acceleration,spy_fwd_1d,4e-06,0.207,0.8361,0.0,6820
hy_ig_acceleration,spy_fwd_5d,1.3e-05,0.439,0.6606,0.0001,6816
hy_ig_acceleration,spy_fwd_21d,3.6e-05,0.791,0.429,0.0002,6800
hy_ig_acceleration,spy_fwd_63d,0.000202,2.663,0.0078,0.0024,6758
hy_ig_acceleration,spy_fwd_126d,0.00013,1.232,0.2179,0.0005,6695
ccc_bb_spread_pct,spy_fwd_1d,-6e-06,-0.114,0.9091,0.0,6861
ccc_bb_spread_pct,spy_fwd_5d,-6.2e-05,-0.565,0.572,0.0001,6857
ccc_bb_spread_pct,spy_fwd_21d,-0.000344,-1.749,0.0803,0.0008,6841
ccc_bb_spread_pct,spy_fwd_63d,-0.001502,-4.576,0.0,0.0059,6799
ccc_bb_spread_pct,spy_fwd_126d,-0.001434,-3.06,0.0022,0.0026,6736
