signal,horizon,method,correlation,p_value,n
hy_ig_spread_pct,spy_fwd_1d,Pearson,0.0049,0.6853,6862
hy_ig_spread_pct,spy_fwd_5d,Pearson,0.0038,0.7522,6858
hy_ig_spread_pct,spy_fwd_21d,Pearson,-0.002,0.8707,6842
hy_ig_spread_pct,spy_fwd_63d,Pearson,-0.0328,0.0068,6800
hy_ig_spread_pct,spy_fwd_126d,Pearson,0.0243,0.0458,6737
hy_ig_spread_pct,spy_fwd_252d,Pearson,0.0703,0.0,6611
hy_ig_zscore_252d,spy_fwd_1d,Pearson,0.0023,0.8491,6663
hy_ig_zscore_252d,spy_fwd_5d,Pearson,0.0005,0.9702,6659
hy_ig_zscore_252d,spy_fwd_21d,Pearson,0.0167,0.1737,6643
hy_ig_zscore_252d,spy_fwd_63d,Pearson,-0.014,0.2551,6601
hy_ig_zscore_252d,spy_fwd_126d,Pearson,-0.0546,0.0,6538
hy_ig_zscore_252d,spy_fwd_252d,Pearson,-0.0901,0.0,6412
hy_ig_zscore_504d,spy_fwd_1d,Pearson,0.0065,0.6008,6463
hy_ig_zscore_504d,spy_fwd_5d,Pearson,0.0085,0.497,6459
hy_ig_zscore_504d,spy_fwd_21d,Pearson,0.0244,0.05,6443
hy_ig_zscore_504d,spy_fwd_63d,Pearson,-0.0036,0.7741,6401
hy_ig_zscore_504d,spy_fwd_126d,Pearson,-0.0401,0.0014,6338
hy_ig_zscore_504d,spy_fwd_252d,Pearson,-0.0218,0.0852,6212
hy_ig_pctrank_504d,spy_fwd_1d,Pearson,0.0003,0.9827,6463
hy_ig_pctrank_504d,spy_fwd_5d,Pearson,-0.0001,0.9948,6459
hy_ig_pctrank_504d,spy_fwd_21d,Pearson,0.0004,0.9764,6443
hy_ig_pctrank_504d,spy_fwd_63d,Pearson,-0.0187,0.1356,6401
hy_ig_pctrank_504d,spy_fwd_126d,Pearson,-0.0512,0.0,6338
hy_ig_pctrank_504d,spy_fwd_252d,Pearson,-0.0171,0.1766,6212
hy_ig_pctrank_1260d,spy_fwd_1d,Pearson,0.007,0.5911,5863
hy_ig_pctrank_1260d,spy_fwd_5d,Pearson,0.0145,0.2656,5859
hy_ig_pctrank_1260d,spy_fwd_21d,Pearson,0.0273,0.0366,5843
hy_ig_pctrank_1260d,spy_fwd_63d,Pearson,0.0257,0.0501,5801
hy_ig_pctrank_1260d,spy_fwd_126d,Pearson,0.0222,0.0919,5738
hy_ig_pctrank_1260d,spy_fwd_252d,Pearson,0.0911,0.0,5612
hy_ig_roc_21d,spy_fwd_1d,Pearson,0.0168,0.165,6841
hy_ig_roc_21d,spy_fwd_5d,Pearson,0.0351,0.0037,6837
hy_ig_roc_21d,spy_fwd_21d,Pearson,0.0644,0.0,6821
hy_ig_roc_21d,spy_fwd_63d,Pearson,0.0303,0.0126,6779
hy_ig_roc_21d,spy_fwd_126d,Pearson,0.0133,0.2771,6716
hy_ig_roc_21d,spy_fwd_252d,Pearson,-0.0064,0.6061,6590
hy_ig_roc_63d,spy_fwd_1d,Pearson,0.022,0.0698,6799
hy_ig_roc_63d,spy_fwd_5d,Pearson,0.0406,0.0008,6795
hy_ig_roc_63d,spy_fwd_21d,Pearson,0.0364,0.0027,6779
hy_ig_roc_63d,spy_fwd_63d,Pearson,-0.0533,0.0,6737
hy_ig_roc_63d,spy_fwd_126d,Pearson,-0.0253,0.0384,6674
hy_ig_roc_63d,spy_fwd_252d,Pearson,-0.0118,0.3404,6548
hy_ig_roc_126d,spy_fwd_1d,Pearson,0.0075,0.5366,6736
hy_ig_roc_126d,spy_fwd_5d,Pearson,0.0074,0.5442,6732
hy_ig_roc_126d,spy_fwd_21d,Pearson,0.0146,0.2301,6716
hy_ig_roc_126d,spy_fwd_63d,Pearson,-0.05,0.0,6674
hy_ig_roc_126d,spy_fwd_126d,Pearson,-0.0132,0.2822,6611
hy_ig_roc_126d,spy_fwd_252d,Pearson,-0.0446,0.0003,6485
hy_ig_mom_21d,spy_fwd_1d,Pearson,0.0243,0.0445,6841
hy_ig_mom_21d,spy_fwd_5d,Pearson,0.0442,0.0003,6837
hy_ig_mom_21d,spy_fwd_21d,Pearson,0.0572,0.0,6821
hy_ig_mom_21d,spy_fwd_63d,Pearson,-0.04,0.001,6779
hy_ig_mom_21d,spy_fwd_126d,Pearson,-0.0316,0.0095,6716
hy_ig_mom_21d,spy_fwd_252d,Pearson,-0.0307,0.0126,6590
hy_ig_mom_63d,spy_fwd_1d,Pearson,0.0126,0.2992,6799
hy_ig_mom_63d,spy_fwd_5d,Pearson,0.0144,0.2344,6795
hy_ig_mom_63d,spy_fwd_21d,Pearson,-0.0403,0.0009,6779
hy_ig_mom_63d,spy_fwd_63d,Pearson,-0.1684,0.0,6737
hy_ig_mom_63d,spy_fwd_126d,Pearson,-0.1002,0.0,6674
hy_ig_mom_63d,spy_fwd_252d,Pearson,-0.0487,0.0001,6548
hy_ig_mom_252d,spy_fwd_1d,Pearson,0.0039,0.754,6610
hy_ig_mom_252d,spy_fwd_5d,Pearson,-0.0025,0.8368,6606
hy_ig_mom_252d,spy_fwd_21d,Pearson,-0.0217,0.0775,6590
hy_ig_mom_252d,spy_fwd_63d,Pearson,-0.0419,0.0007,6548
hy_ig_mom_252d,spy_fwd_126d,Pearson,-0.0093,0.4524,6485
hy_ig_mom_252d,spy_fwd_252d,Pearson,0.0021,0.8688,6359
hy_ig_acceleration,spy_fwd_1d,Pearson,0.0055,0.6518,6820
hy_ig_acceleration,spy_fwd_5d,Pearson,0.0096,0.4263,6816
hy_ig_acceleration,spy_fwd_21d,Pearson,0.0143,0.2387,6800
hy_ig_acceleration,spy_fwd_63d,Pearson,0.0489,0.0001,6758
hy_ig_acceleration,spy_fwd_126d,Pearson,0.0217,0.0754,6695
hy_ig_acceleration,spy_fwd_252d,Pearson,0.0021,0.8626,6569
ccc_bb_spread_pct,spy_fwd_1d,Pearson,-0.0025,0.8379,6862
ccc_bb_spread_pct,spy_fwd_5d,Pearson,-0.0098,0.417,6858
ccc_bb_spread_pct,spy_fwd_21d,Pearson,-0.0288,0.0173,6842
ccc_bb_spread_pct,spy_fwd_63d,Pearson,-0.077,0.0,6800
ccc_bb_spread_pct,spy_fwd_126d,Pearson,-0.0508,0.0,6737
ccc_bb_spread_pct,spy_fwd_252d,Pearson,-0.0,0.9997,6611
hy_ig_realized_vol_21d,spy_fwd_1d,Pearson,0.0182,0.1328,6847
hy_ig_realized_vol_21d,spy_fwd_5d,Pearson,0.0356,0.0032,6843
hy_ig_realized_vol_21d,spy_fwd_21d,Pearson,0.0728,0.0,6827
hy_ig_realized_vol_21d,spy_fwd_63d,Pearson,0.079,0.0,6785
hy_ig_realized_vol_21d,spy_fwd_126d,Pearson,0.1343,0.0,6722
