transform,L0,L1,L5,L21,L63,L126,L252,best_lead,best_r
hy_ig_spread_pct,0.0049,0.0019,0.0025,-0.0028,-0.0026,0.0042,0.003,0,0.0049
hy_ig_zscore_252d,0.0023,-0.0006,0.0056,0.0036,-0.0159,0.0011,-0.0008,63,-0.0159
hy_ig_zscore_504d,0.0065,0.003,0.0062,0.0043,-0.0095,-0.0036,0.0053,63,-0.0095
hy_ig_pctrank_504d,0.0003,0.0006,0.0028,0.0035,-0.0085,-0.0007,0.0078,63,-0.0085
hy_ig_pctrank_1260d,0.007,0.0071,0.0082,0.0063,-0.0049,0.0061,0.0143,252,0.0143
hy_ig_roc_21d,0.0168,0.01,0.0185,0.0091,-0.0236,0.0104,-0.0,63,-0.0236
hy_ig_roc_63d,0.022,0.0165,0.0189,-0.0033,-0.0105,-0.0003,0.0049,0,0.022
hy_ig_roc_126d,0.0075,0.0035,0.0054,0.0001,-0.0095,-0.0011,-0.0023,63,-0.0095
ccc_bb_spread_pct,-0.0025,-0.0032,-0.0038,-0.0072,-0.0059,0.0009,0.0021,21,-0.0072
hmm_2state_prob_stress,-0.0209,-0.0102,0.002,0.01,0.0008,0.0022,-0.0031,0,-0.0209
ms_2state_stress_prob,-0.0281,-0.0595,-0.0301,-0.0034,0.0039,-0.0047,0.0026,1,-0.0595
hy_ig_mom_21d,0.0243,0.0144,0.0181,0.0061,-0.031,0.0107,-0.0042,63,-0.031
hy_ig_mom_63d,0.0126,0.0069,0.0051,-0.0171,-0.0117,-0.0002,0.0042,21,-0.0171
hy_ig_mom_252d,0.0039,0.0003,-0.0006,-0.0058,-0.0001,0.0032,-0.0014,21,-0.0058
hy_ig_acceleration,0.0055,-0.0028,0.0057,0.0013,-0.0131,0.0168,-0.0053,126,0.0168
