transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
hy_ig_spread_pct,-0.050,-0.042,-0.047,+0.019,+0.052,+0.030,+0.002,+0.019,+0.014,+0.003,+0.005,+0.025,+0.038,L4,+0.052
hy_ig_zscore_252d,-0.048,-0.011,-0.078,-0.076,-0.025,+0.009,-0.099,-0.051,-0.033,-0.061,-0.054,-0.017,+0.022,L6,-0.099
hy_ig_zscore_504d,-0.028,-0.018,-0.068,-0.041,-0.037,-0.024,-0.055,-0.029,-0.003,-0.017,-0.027,+0.023,+0.049,L2,-0.068
hy_ig_pctrank_504d,-0.042,-0.031,-0.039,-0.042,-0.039,-0.022,-0.057,-0.002,-0.001,+0.005,+0.005,+0.025,+0.051,L6,-0.057
hy_ig_roc_21d,-0.015,+0.033,-0.126*,-0.051,+0.055,+0.050,-0.056,-0.005,+0.017,+0.004,-0.088,-0.025,+0.062,L2,-0.126
hy_ig_roc_63d,-0.016,-0.081,-0.106,+0.025,+0.035,-0.001,-0.030,+0.018,-0.025,-0.067,-0.036,+0.043,-0.052,L2,-0.106
hy_ig_mom_21d,-0.025,+0.012,-0.222**,-0.088,+0.089,+0.076,-0.049,+0.014,+0.029,+0.010,-0.079,-0.030,+0.086,L2,-0.222
hy_ig_mom_63d,-0.117*,-0.160**,-0.127*,+0.024,+0.063,+0.029,-0.016,+0.019,-0.025,-0.059,-0.010,+0.048,-0.022,L1,-0.160
hy_ig_acceleration,-0.037,+0.102,-0.043,-0.075,+0.014,+0.071,-0.035,-0.020,+0.009,+0.076,-0.047,-0.059,+0.031,L1,+0.102
hmm_2state_prob_stress,-0.007,-0.005,+0.021,-0.011,-0.029,+0.040,-0.137*,-0.015,-0.031,-0.071,-0.063,-0.049,-0.010,L6,-0.137
