transform,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,best_lead,best_r
hy_ig_spread_pct,+0.003,+0.004,-0.003,-0.011,-0.009,-0.009,-0.012,-0.014,-0.021,-0.016,-0.012,-0.009,-0.002,+0.007,+0.020,+0.021,+0.016,+0.015,+0.014,+0.021,+0.020,+0.023,+0.017,+0.012,+0.008,+0.007,+0.002,+0.002,-0.000,+0.007,+0.007,+0.012,+0.013,+0.006,+0.006,+0.006,+0.009,+0.010,+0.009,+0.007,+0.005,+0.005,+0.006,+0.005,+0.008,+0.008,+0.006,+0.004,+0.006,+0.008,+0.014,+0.013,L22,+0.023
hy_ig_zscore_252d,+0.007,+0.018,+0.029,+0.005,+0.007,+0.005,-0.005,-0.005,-0.008,-0.017,-0.023,-0.038,-0.044,-0.039,-0.012,-0.004,-0.012,-0.029,-0.034,-0.004,-0.001,+0.012,+0.002,+0.000,+0.000,-0.011,-0.026,-0.032,-0.036,-0.026,-0.031,-0.021,-0.014,-0.023,-0.007,-0.022,-0.017,-0.016,-0.022,-0.024,-0.029,-0.031,-0.017,-0.015,-0.003,-0.003,-0.008,-0.012,-0.012,-0.010,+0.006,+0.013,L13,-0.044
hy_ig_zscore_504d,+0.010,+0.024,+0.021,+0.006,+0.006,-0.001,-0.005,-0.005,-0.013,-0.013,-0.019,-0.023,-0.029,-0.024,-0.009,-0.002,-0.010,-0.019,-0.025,-0.008,-0.010,-0.002,-0.010,-0.015,-0.010,-0.012,-0.017,-0.019,-0.025,-0.019,-0.022,-0.007,+0.000,-0.008,+0.005,-0.003,-0.004,-0.002,-0.007,-0.006,-0.008,-0.004,-0.002,-0.003,+0.002,+0.003,+0.003,+0.002,+0.002,+0.009,+0.026,+0.029,L52,+0.029
hy_ig_pctrank_504d,+0.003,+0.005,+0.014,+0.001,-0.000,+0.001,-0.009,-0.003,-0.005,-0.004,-0.014,-0.020,-0.022,-0.018,-0.011,-0.006,-0.010,-0.021,-0.028,-0.013,-0.016,-0.010,-0.013,-0.008,-0.004,-0.006,-0.025,-0.024,-0.023,-0.010,-0.008,+0.001,+0.006,+0.001,+0.014,-0.000,+0.001,-0.000,-0.005,-0.005,-0.003,-0.006,+0.007,+0.006,+0.018,+0.011,+0.014,+0.006,+0.009,+0.012,+0.019,+0.025,L19,-0.028
hy_ig_roc_21d,+0.022,+0.060*,+0.042,+0.027,+0.022,+0.027,+0.020,+0.021,-0.001,-0.029,-0.073**,-0.079**,-0.052,-0.015,+0.027,+0.003,-0.012,-0.032,-0.015,+0.024,+0.018,+0.035,+0.027,+0.018,+0.027,+0.006,-0.008,-0.025,-0.037,-0.009,-0.023,+0.003,+0.001,-0.007,+0.009,+0.000,+0.025,+0.019,+0.007,+0.004,-0.022,-0.023,-0.003,-0.010,-0.000,-0.016,-0.034,-0.045,-0.040,-0.008,+0.038,+0.037,L12,-0.079
hy_ig_roc_63d,+0.035,+0.026,-0.007,-0.017,-0.006,-0.008,-0.025,-0.036,-0.051,-0.043,-0.035,-0.027,-0.016,+0.007,+0.036,+0.033,+0.015,+0.005,-0.002,+0.017,+0.008,+0.022,+0.006,-0.002,-0.001,+0.000,-0.009,-0.010,-0.008,+0.007,+0.001,+0.011,+0.008,-0.009,-0.000,-0.006,+0.000,-0.011,-0.020,-0.026,-0.025,-0.011,-0.004,-0.011,+0.008,+0.009,+0.006,+0.002,+0.007,+0.011,+0.018,+0.004,L9,-0.051
hy_ig_mom_21d,+0.030,+0.051,+0.029,+0.021,+0.030,+0.019,+0.004,-0.016,-0.060*,-0.082**,-0.108**,-0.097**,-0.061*,-0.026,+0.012,-0.002,-0.010,-0.021,-0.000,+0.034,+0.037,+0.050,+0.045,+0.030,+0.026,-0.003,-0.019,-0.034,-0.040,+0.002,+0.003,+0.015,+0.008,-0.010,-0.005,-0.002,+0.015,+0.013,+0.008,+0.009,-0.010,-0.008,+0.006,+0.002,+0.003,-0.010,-0.025,-0.033,-0.032,-0.012,+0.034,+0.037,L11,-0.108
hy_ig_mom_63d,-0.003,-0.016,-0.043,-0.048,-0.040,-0.041,-0.054*,-0.054*,-0.074**,-0.060*,-0.042,-0.030,-0.014,+0.003,+0.033,+0.039,+0.019,+0.014,+0.003,+0.017,+0.018,+0.034,+0.020,+0.010,-0.004,-0.001,-0.008,-0.008,-0.010,+0.005,+0.003,+0.010,+0.008,-0.001,+0.002,-0.001,+0.006,-0.002,-0.006,-0.016,-0.017,-0.005,+0.007,+0.007,+0.015,+0.010,+0.010,+0.005,+0.008,+0.009,+0.017,+0.001,L9,-0.074
hy_ig_acceleration,-0.001,+0.031,+0.014,+0.014,+0.019,+0.051,+0.072**,+0.064*,+0.028,-0.017,-0.070**,-0.061*,-0.029,+0.000,+0.020,-0.018,-0.027,-0.049,-0.033,+0.006,+0.001,+0.019,+0.027,+0.033,+0.044,+0.011,+0.003,-0.024,-0.031,-0.007,-0.019,-0.003,-0.011,-0.017,-0.000,+0.001,+0.034,+0.035,+0.008,+0.012,-0.018,-0.003,+0.026,+0.026,+0.025,-0.019,-0.056*,-0.062*,-0.063*,-0.023,+0.031,+0.030,L7,+0.072
hmm_2state_prob_stress,+0.013,+0.020,+0.037,+0.022,+0.035,+0.024,-0.001,+0.006,+0.002,-0.015,-0.010,+0.003,-0.008,-0.013,+0.000,+0.004,-0.003,-0.018,-0.032,-0.011,-0.011,-0.000,+0.011,+0.005,+0.004,-0.018,-0.049,-0.044,-0.045,-0.052,-0.037,-0.021,-0.015,-0.011,-0.021,-0.030,-0.016,-0.014,-0.019,-0.016,-0.018,-0.019,-0.027,-0.022,-0.032,-0.007,-0.028,-0.017,-0.009,-0.010,-0.001,-0.003,L30,-0.052
