signal,threshold,strategy,signal_column,lead_days,oos_sharpe,max_drawdown,n_trades,valid,lead_source
S1_spread_level,T1_p75,P1,hy_ig_spread_pct,0,0.7179,-0.279604,62,True,pipeline
S1_spread_level,T1_p75,P2,hy_ig_spread_pct,0,0.8008,-0.22288,437,True,pipeline
S1_spread_level,T1_p75,P3,hy_ig_spread_pct,0,0.4559,-0.449508,62,True,pipeline
S1_spread_level,T1_p85,P1,hy_ig_spread_pct,0,0.7113,-0.330106,30,True,pipeline
S1_spread_level,T1_p85,P2,hy_ig_spread_pct,0,0.8008,-0.22288,437,True,pipeline
S1_spread_level,T1_p85,P3,hy_ig_spread_pct,0,0.5563,-0.441758,30,True,pipeline
S1_spread_level,T1_p95,P1,hy_ig_spread_pct,0,0.8129,-0.337173,16,True,pipeline
S1_spread_level,T1_p95,P2,hy_ig_spread_pct,0,0.8008,-0.22288,437,True,pipeline
S1_spread_level,T1_p95,P3,hy_ig_spread_pct,0,0.8129,-0.337173,16,True,pipeline
S1_spread_level,T2_rp75,P1,hy_ig_spread_pct,0,0.6676,-0.267261,125,True,pipeline
S1_spread_level,T2_rp75,P2,hy_ig_spread_pct,0,0.8008,-0.22288,437,True,pipeline
S1_spread_level,T2_rp75,P3,hy_ig_spread_pct,0,0.0147,-0.520492,125,True,pipeline
S1_spread_level,T2_rp85,P1,hy_ig_spread_pct,0,0.725,-0.293042,133,True,pipeline
S1_spread_level,T2_rp85,P2,hy_ig_spread_pct,0,0.8008,-0.22288,437,True,pipeline
S1_spread_level,T2_rp85,P3,hy_ig_spread_pct,0,0.2135,-0.438717,133,True,pipeline
S1_spread_level,T2_rp95,P1,hy_ig_spread_pct,0,0.841,-0.287538,97,True,pipeline
S1_spread_level,T2_rp95,P2,hy_ig_spread_pct,0,0.8008,-0.22288,437,True,pipeline
S1_spread_level,T2_rp95,P3,hy_ig_spread_pct,0,0.5183,-0.329807,97,True,pipeline
S1_spread_level,T3_z1.5,P1,hy_ig_spread_pct,0,0.6746,-0.289408,107,True,pipeline
S1_spread_level,T3_z1.5,P2,hy_ig_spread_pct,0,0.8008,-0.22288,437,True,pipeline
