lead_months,lead_unit,n_valid,best_oos_sharpe,median_oos_sharpe,p25_oos_sharpe,p75_oos_sharpe,best_signal,best_threshold,best_strategy,best_max_dd
1,weeks,170,1.0865,0.6533,0.5147,0.7963,hy_ig_mom_21d,Trp75_lo,P1,-0.1276
2,weeks,178,1.2046,0.6236,0.4981,0.7583,hy_ig_acceleration,Tz1_lo,P1,-0.1653
3,weeks,167,1.1548,0.6335,0.5336,0.7758,hy_ig_roc_63d,Tz1_hi,P1,-0.0474
4,weeks,173,1.135,0.6564,0.4852,0.788,hy_ig_pctrank_504d,Tz1_hi,P1,-0.0788
5,weeks,169,1.2307,0.7012,0.5046,0.8287,hy_ig_acceleration,Tp90_lo,P1,-0.178
6,weeks,175,1.0829,0.7044,0.4945,0.8124,hy_ig_zscore_252d,Tp10_hi,P2,-0.2393
7,weeks,183,1.0989,0.6597,0.4945,0.7854,hy_ig_spread_pct,Tp25_hi,P1,-0.1603
8,weeks,179,1.3657,0.6953,0.5359,0.8171,hmm_2state_prob_stress,Tp10_hi,P2,-0.2393
9,weeks,167,1.2472,0.701,0.5865,0.8572,hy_ig_zscore_252d,Trp25_hi,P1,-0.2047
10,weeks,185,1.1676,0.6624,0.4857,0.7968,hy_ig_spread_pct,Tp25_hi,P1,-0.1603
11,weeks,178,1.0581,0.6646,0.5256,0.7909,hy_ig_mom_21d,Tp10_hi,P2,-0.3024
12,weeks,170,1.0338,0.6993,0.5546,0.8054,hy_ig_roc_21d,Trp75_lo,P1,-0.3099
13,weeks,175,1.1098,0.6818,0.5142,0.7878,hy_ig_mom_21d,Trp75_lo,P1,-0.2326
14,weeks,176,1.2293,0.7004,0.522,0.81,hy_ig_roc_63d,Trp25_lo,P1,-0.0859
15,weeks,183,1.0466,0.6649,0.5043,0.7858,hy_ig_zscore_504d,Tp10_hi,P2,-0.3183
16,weeks,172,1.0521,0.6917,0.565,0.8271,hy_ig_acceleration,Tp10_lo,P1,-0.0779
17,weeks,180,1.2135,0.6564,0.5181,0.752,hy_ig_pctrank_504d,Tp10_hi,P2,-0.3183
18,weeks,179,1.0965,0.673,0.5167,0.795,hy_ig_mom_63d,Tz1_hi,P1,-0.0586
19,weeks,184,1.2741,0.6792,0.5136,0.8039,hmm_2state_prob_stress,Trp25_lo,P1,-0.0839
20,weeks,181,1.2157,0.6569,0.5079,0.7808,hy_ig_spread_pct,Trp25_hi,P1,-0.3183
21,weeks,177,1.0542,0.675,0.5796,0.7937,hy_ig_acceleration,Tp90_lo,P1,-0.1975
22,weeks,180,1.1585,0.6866,0.5015,0.8039,hy_ig_mom_63d,Trp25_lo,P1,-0.0669
23,weeks,166,1.4608,0.7506,0.5736,0.8514,hy_ig_roc_63d,Tp25_lo,P1,-0.0335
24,weeks,167,1.5742,0.6946,0.531,0.8391,hy_ig_mom_63d,Trp25_lo,P1,-0.0404
25,weeks,170,1.159,0.6988,0.527,0.834,hy_ig_mom_21d,Tp25_hi,P1,-0.2689
26,weeks,184,1.5746,0.6265,0.482,0.7764,hy_ig_roc_63d,Trp25_lo,P1,-0.0484
27,weeks,181,1.509,0.6835,0.5204,0.8109,hy_ig_zscore_252d,Tp25_lo,P1,-0.0414
28,weeks,187,1.4623,0.6616,0.5032,0.7935,hy_ig_zscore_252d,Tp25_lo,P1,-0.0414
29,weeks,173,1.3766,0.7281,0.5298,0.8564,hy_ig_roc_21d,Trp75_lo,P1,-0.1567
30,weeks,174,1.2927,0.7447,0.5555,0.8741,hy_ig_mom_63d,Trp25_lo,P1,-0.0385
31,weeks,181,1.1321,0.7191,0.5295,0.8164,hy_ig_mom_21d,Trp75_lo,P1,-0.216
32,weeks,179,1.5045,0.6741,0.4917,0.8067,hy_ig_mom_21d,Trp25_lo,P1,-0.0452
33,weeks,183,1.1657,0.6619,0.5051,0.7528,hmm_2state_prob_stress,Tp25_hi,P1,-0.1906
34,weeks,176,1.2174,0.6955,0.5379,0.8258,hy_ig_mom_21d,Tp25_lo,P1,-0.0851
35,weeks,174,1.4262,0.7169,0.512,0.8514,hmm_2state_prob_stress,Trp75_hi,P1,-0.0556
36,weeks,181,1.4063,0.6874,0.526,0.8402,hy_ig_acceleration,Tp10_hi,P2,-0.1688
37,weeks,175,1.4721,0.6963,0.5356,0.7952,hy_ig_mom_63d,Trp25_lo,P1,-0.055
38,weeks,178,1.5991,0.666,0.52,0.7826,hy_ig_roc_63d,Trp25_lo,P1,-0.0534
39,weeks,178,1.5009,0.6982,0.5523,0.8158,hy_ig_mom_63d,Trp25_lo,P1,-0.0639
40,weeks,173,1.3844,0.7307,0.5775,0.8574,hy_ig_mom_21d,Tz1_lo,P2,-0.2393
41,weeks,166,1.3103,0.7749,0.5692,0.9124,hy_ig_roc_21d,Tp90_lo,P2,-0.224
42,weeks,181,1.1265,0.6926,0.5129,0.8136,hy_ig_roc_21d,Trp25_lo,P1,-0.1169
43,weeks,184,1.1469,0.6806,0.5261,0.8073,hy_ig_pctrank_504d,Tp25_hi,P2,-0.3183
44,weeks,181,1.315,0.665,0.5052,0.8018,hy_ig_spread_pct,Tp25_hi,P1,-0.1455
45,weeks,183,1.5742,0.6569,0.532,0.7832,hy_ig_spread_pct,Tp25_hi,P1,-0.098
46,weeks,174,1.4855,0.7057,0.51,0.8749,hy_ig_mom_21d,Tp25_lo,P1,-0.0318
47,weeks,173,1.5814,0.7291,0.5339,0.9067,hy_ig_acceleration,Tp25_lo,P1,-0.0748
