signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T1_p75,P1,0,0.7179,0.125535,-0.279604,0.5158,62,2.28,True,1712
S1_spread_level,T1_p75,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T1_p75,P3,0,0.4559,0.090272,-0.449508,0.5275,62,4.55,True,1712
S1_spread_level,T1_p85,P1,0,0.7113,0.135464,-0.330106,0.5298,30,1.1,True,1712
S1_spread_level,T1_p85,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T1_p85,P3,0,0.5563,0.110131,-0.441758,0.5315,30,2.2,True,1712
S1_spread_level,T1_p95,P1,0,0.8129,0.160798,-0.337173,0.5333,16,0.59,True,1712
S1_spread_level,T1_p95,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T1_p95,P3,0,0.8129,0.160798,-0.337173,0.5333,16,1.17,True,1712
S1_spread_level,T2_rp75,P1,0,0.6676,0.08185,-0.267261,0.4007,125,4.59,True,1712
S1_spread_level,T2_rp75,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T2_rp75,P3,0,0.0147,0.002902,-0.520492,0.5082,125,9.18,True,1712
S1_spread_level,T2_rp85,P1,0,0.725,0.101546,-0.293042,0.4661,133,4.88,True,1712
S1_spread_level,T2_rp85,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T2_rp85,P3,0,0.2135,0.042295,-0.438717,0.5199,133,9.77,True,1712
S1_spread_level,T2_rp95,P1,0,0.841,0.1317,-0.287538,0.5117,97,3.56,True,1712
S1_spread_level,T2_rp95,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T2_rp95,P3,0,0.5183,0.102601,-0.329807,0.5292,97,7.12,True,1712
S1_spread_level,T3_z1.5,P1,0,0.6746,0.10161,-0.289408,0.4889,107,3.93,True,1712
S1_spread_level,T3_z1.5,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T3_z1.5,P3,0,0.2142,0.042422,-0.381003,0.5234,107,7.86,True,1712
S1_spread_level,T3_z2.0,P1,0,0.8213,0.128576,-0.287538,0.5088,73,2.68,True,1712
S1_spread_level,T3_z2.0,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T3_z2.0,P3,0,0.4867,0.096354,-0.329807,0.5292,73,5.36,True,1712
S1_spread_level,T3_z2.5,P1,0,0.8471,0.135312,-0.267751,0.5134,49,1.8,True,1712
S1_spread_level,T3_z2.5,P2,0,0.8008,0.089326,-0.22288,0.5286,437,4.32,True,1712
S1_spread_level,T3_z2.5,P3,0,0.5548,0.109826,-0.299925,0.5275,49,3.6,True,1712
