entry_date,exit_date,direction,holding_days,trade_return_pct
2002-03-11,2002-03-12,Long,1,-0.03
2002-03-12,2002-03-13,Long,1,-0.69
2002-03-13,2002-03-15,Long,2,0.65
2002-03-15,2002-04-22,Long,38,-4.83
2002-04-22,2002-04-23,Long,1,-0.41
2002-04-23,2002-04-24,Long,1,-0.8
2002-04-24,2002-04-25,Long,1,0.03
2002-04-25,2002-04-26,Long,1,-0.71
2002-04-26,2002-04-29,Long,3,-0.05
2002-04-29,2002-05-10,Long,11,-0.11
2002-05-10,2002-05-13,Long,3,0.22
2002-05-13,2002-05-14,Long,1,0.96
2002-05-14,2002-05-15,Long,1,-0.27
2002-05-15,2002-05-16,Long,1,0.46
2002-05-16,2002-05-28,Long,12,-2.03
2002-05-28,2002-05-29,Long,1,-0.61
2002-05-29,2002-05-30,Long,1,-0.15
2002-05-30,2002-05-31,Long,1,0.06
2002-05-31,2003-05-08,Long,342,-0.06
2003-05-08,2003-05-09,Long,1,0.31
2003-05-09,2003-05-12,Long,3,0.77
2003-05-12,2003-05-13,Long,1,-0.14
2003-05-13,2003-05-28,Long,15,0.98
2003-05-28,2003-05-29,Long,1,-0.22
2003-05-29,2003-05-30,Long,1,1.1
2003-05-30,2003-06-02,Long,3,0.18
2003-06-02,2003-06-26,Long,24,0.04
2003-06-26,2003-06-27,Long,1,-0.2
2003-06-27,2003-06-30,Long,3,-0.02
2003-06-30,2003-07-01,Long,1,0.79
2003-07-01,2003-07-14,Long,13,2.13
2003-07-14,2003-07-15,Long,1,-0.15
2003-07-15,2003-07-16,Long,1,-0.3
2003-07-16,2003-07-22,Long,6,-0.45
2003-07-22,2003-07-23,Long,1,0.06
2003-07-23,2003-07-28,Long,5,0.56
2003-07-28,2003-07-29,Long,1,-0.36
2003-07-29,2003-07-30,Long,1,-0.16
2003-07-30,2003-08-07,Long,8,0.01
2003-08-07,2003-08-08,Long,1,0.08
2003-08-08,2003-08-11,Long,3,0.22
2003-08-11,2003-08-12,Long,1,0.65
2003-08-12,2003-08-14,Long,2,-0.19
2003-08-14,2003-08-20,Long,6,1.04
2003-08-20,2003-08-22,Long,2,-0.47
2003-08-22,2003-09-01,Long,10,1.32
2003-09-01,2003-09-02,Long,1,0.92
2003-09-02,2003-09-03,Long,1,0.13
2003-09-03,2003-09-04,Long,1,0.03
2003-09-04,2003-09-08,Long,4,0.19
2003-09-08,2003-09-09,Long,1,-0.58
2003-09-09,2003-09-23,Long,14,0.35
2003-09-23,2003-09-24,Long,1,-1.46
2003-09-24,2003-09-25,Long,1,-0.38
2003-09-25,2003-09-26,Long,1,-0.05
2003-09-26,2003-10-06,Long,10,0.04
2003-10-06,2003-10-07,Long,1,0.13
2003-10-07,2003-10-08,Long,1,-0.12
2003-10-08,2003-10-09,Long,1,0.22
2003-10-09,2003-10-10,Long,1,0.26
2003-10-10,2006-06-08,Long,972,25.75
2006-06-08,2006-06-09,Long,1,-0.27
2006-06-09,2006-06-12,Long,3,-0.2
2006-06-12,2006-06-14,Cash,2,0.0
2006-06-14,2006-06-15,Long,1,0.79
2006-06-15,2007-02-27,Long,257,12.27
2007-02-27,2007-02-28,Long,1,0.9
2007-02-28,2007-07-10,Long,132,7.97
2007-07-10,2007-07-11,Long,1,0.64
2007-07-11,2007-07-18,Long,7,1.62
2007-07-18,2007-07-19,Long,1,0.34
2007-07-19,2007-07-20,Long,1,-0.79
2007-07-20,2007-09-20,Cash,62,-0.02
2007-09-20,2007-09-21,Long,1,0.1
2007-09-21,2007-09-24,Long,3,-0.15
2007-09-24,2007-09-25,Long,1,-0.18
2007-09-25,2007-10-15,Long,20,2.39
2007-10-15,2007-10-16,Long,1,-0.72
2007-10-16,2007-10-17,Long,1,0.19
2007-10-17,2007-10-18,Long,1,-0.12
2007-10-18,2007-10-19,Long,1,-0.55
2007-10-19,2007-11-01,Long,13,0.11
2007-11-01,2007-12-21,Long,50,0.13
2007-12-21,2007-12-24,Long,3,0.1
2007-12-24,2007-12-28,Long,4,-0.21
2007-12-28,2008-04-21,Long,115,-0.03
2008-04-21,2008-04-22,Long,1,-0.06
2008-04-22,2008-04-23,Long,1,-0.04
2008-04-23,2008-04-24,Long,1,0.14
2008-04-24,2008-04-25,Long,1,0.36
2008-04-25,2008-04-28,Long,3,0.01
2008-04-28,2008-04-29,Long,1,-0.33
2008-04-29,2008-06-02,Long,34,-0.14
2008-06-02,2008-06-03,Long,1,-0.34
2008-06-03,2008-06-04,Long,1,-0.02
2008-06-04,2008-06-05,Long,1,0.42
2008-06-05,2008-08-08,Long,64,-0.0
2008-08-08,2008-08-11,Long,3,0.14
2008-08-11,2008-08-12,Long,1,-0.21
2008-08-12,2008-08-13,Long,1,-0.17
2008-08-13,2008-08-14,Long,1,0.27
2008-08-14,2008-08-15,Long,1,0.25
2008-08-15,2008-08-28,Long,13,0.1
2008-08-28,2008-08-29,Long,1,-0.59
2008-08-29,2008-09-01,Long,3,0.0
2008-09-01,2008-09-02,Long,1,-0.16
2008-09-02,2008-09-03,Long,1,-0.01
2008-09-03,2009-12-21,Long,474,-0.11
2009-12-21,2009-12-22,Long,1,0.03
2009-12-22,2009-12-23,Long,1,0.09
2009-12-23,2009-12-24,Long,1,0.3
2009-12-24,2009-12-25,Long,1,0.0
2009-12-25,2010-01-04,Long,10,0.63
2010-01-04,2010-01-08,Long,4,1.0
2010-01-08,2010-01-20,Long,12,-0.58
2010-01-20,2010-01-21,Long,1,-1.6
2010-01-21,2010-01-22,Long,1,-0.34
2010-01-22,2010-02-19,Long,28,0.0
2010-02-19,2010-02-22,Long,3,0.0
2010-02-22,2010-02-23,Long,1,-0.23
2010-02-23,2010-02-24,Long,1,0.24
2010-02-24,2010-02-25,Long,1,-0.08
2010-02-25,2010-02-26,Long,1,0.05
2010-02-26,2010-04-26,Long,59,9.96
2010-04-26,2010-04-27,Long,1,-2.15
2010-04-27,2010-04-30,Long,3,0.12
2010-04-30,2010-10-06,Long,159,0.02
2010-10-06,2010-10-07,Long,1,-0.02
2010-10-07,2010-10-08,Long,1,0.2
2010-10-08,2010-10-11,Long,3,0.06
2010-10-11,2010-10-12,Long,1,0.28
2010-10-12,2010-10-26,Long,14,1.43
2010-10-26,2010-11-09,Long,14,2.17
2010-11-09,2010-11-12,Long,3,-0.92
2010-11-12,2010-11-15,Long,3,-0.08
2010-11-15,2010-11-16,Long,1,-0.31
2010-11-16,2010-12-02,Long,16,-0.01
2010-12-02,2010-12-03,Long,1,0.02
2010-12-03,2010-12-08,Long,5,0.04
2010-12-08,2010-12-09,Long,1,0.33
2010-12-09,2011-02-22,Long,75,7.09
2011-02-22,2011-03-01,Long,7,-0.61
2011-03-01,2011-03-07,Long,6,0.41
2011-03-07,2011-03-08,Long,1,0.57
2011-03-08,2011-03-09,Long,1,-0.08
2011-03-09,2011-03-10,Long,1,-0.71
2011-03-10,2011-03-14,Long,4,0.03
2011-03-14,2011-03-21,Long,7,-0.05
2011-03-21,2011-03-22,Long,1,-0.07
2011-03-22,2011-03-23,Long,1,0.19
2011-03-23,2011-03-24,Long,1,0.88
2011-03-24,2011-06-14,Long,82,-1.25
2011-06-14,2011-06-15,Long,1,-1.6
2011-06-15,2011-06-20,Long,5,0.83
2011-06-20,2011-07-25,Long,35,4.69
2011-07-25,2011-07-26,Long,1,-0.33
2011-07-26,2011-07-27,Long,1,-1.26
2011-07-27,2011-07-28,Long,1,-0.02
2011-07-28,2012-01-18,Long,174,0.24
2012-01-18,2012-01-19,Long,1,0.12
2012-01-19,2012-01-20,Long,1,0.12
2012-01-20,2012-01-23,Long,3,-0.21
2012-01-23,2012-03-06,Long,43,2.41
2012-03-06,2012-03-07,Long,1,0.62
2012-03-07,2012-05-11,Long,65,0.35
2012-05-11,2012-05-14,Long,3,-0.83
2012-05-14,2012-05-15,Long,1,-0.18
2012-05-15,2012-05-16,Long,1,-0.04
2012-05-16,2012-06-14,Long,29,-0.04
2012-06-14,2012-06-15,Long,1,0.09
2012-06-15,2012-06-18,Long,3,0.07
2012-06-18,2012-06-19,Long,1,0.64
2012-06-19,2012-06-20,Long,1,-0.12
2012-06-20,2012-06-21,Long,1,-1.95
2012-06-21,2013-06-19,Long,363,25.45
2013-06-19,2013-06-20,Long,1,-2.26
2013-06-20,2013-06-25,Long,5,-0.0
2013-06-25,2014-07-30,Long,400,26.61
2014-07-30,2014-07-31,Long,1,-1.84
2014-07-31,2014-08-01,Cash,1,0.0
2014-08-01,2014-08-04,Long,3,0.05
2014-08-04,2014-10-09,Long,66,0.02
2014-10-09,2014-10-10,Long,1,-0.69
2014-10-10,2014-10-20,Cash,10,0.0
2014-10-20,2014-10-22,Long,2,0.33
2014-10-22,2014-10-23,Long,1,1.02
2014-10-23,2014-12-08,Long,46,5.98
2014-12-08,2014-12-09,Long,1,-0.06
2014-12-09,2014-12-10,Long,1,-0.78
2014-12-10,2014-12-11,Long,1,0.17
2014-12-11,2014-12-12,Long,1,-0.38
2014-12-12,2014-12-19,Long,7,-0.0
2014-12-19,2014-12-22,Long,3,0.41
2014-12-22,2015-06-29,Long,189,-0.11
2015-06-29,2015-06-30,Long,1,0.19
2015-06-30,2015-08-20,Long,51,-0.83
2015-08-20,2015-08-21,Long,1,-2.15
2015-08-21,2015-10-08,Long,48,0.04
2015-10-08,2015-10-09,Long,1,0.05
2015-10-09,2015-10-12,Long,3,0.08
2015-10-12,2015-12-08,Long,57,2.73
2015-12-08,2015-12-09,Long,1,-0.71
2015-12-09,2015-12-10,Long,1,0.21
2015-12-10,2015-12-11,Long,1,-1.22
2015-12-11,2015-12-16,Long,5,0.0
2015-12-16,2015-12-17,Long,1,-0.14
2015-12-17,2015-12-21,Long,4,-0.14
2015-12-21,2015-12-22,Long,1,0.74
2015-12-22,2016-01-01,Long,10,0.13
2016-01-01,2016-01-04,Long,3,-1.25
2016-01-04,2016-01-05,Long,1,0.04
2016-01-05,2016-01-06,Long,1,-0.2
2016-01-06,2016-01-07,Long,1,-0.18
2016-01-07,2016-03-02,Long,55,-0.0
2016-03-02,2016-03-03,Long,1,0.13
2016-03-03,2016-03-07,Long,4,0.27
2016-03-07,2016-06-10,Long,95,5.27
2016-06-10,2016-06-13,Long,3,-0.7
2016-06-13,2016-06-14,Long,1,-0.12
2016-06-14,2016-06-15,Long,1,-0.06
2016-06-15,2016-06-16,Long,1,0.09
2016-06-16,2016-06-17,Long,1,-0.05
2016-06-17,2016-06-30,Long,13,0.09
2016-06-30,2016-07-01,Long,1,0.19
2016-07-01,2016-10-31,Long,122,1.72
2016-10-31,2016-11-01,Long,1,-0.65
2016-11-01,2016-11-02,Long,1,-0.49
2016-11-02,2016-11-03,Long,1,-0.34
2016-11-03,2016-11-08,Long,5,1.61
2016-11-08,2016-11-09,Long,1,0.99
2016-11-09,2018-02-02,Long,450,30.56
2018-02-02,2018-02-05,Long,3,-3.59
2018-02-05,2018-02-14,Cash,9,0.0
2018-02-14,2018-02-15,Long,1,0.2
2018-02-15,2018-02-16,Long,1,0.01
2018-02-16,2018-02-19,Long,3,0.0
2018-02-19,2018-02-20,Long,1,-0.52
2018-02-20,2018-02-21,Long,1,-0.45
2018-02-21,2018-03-21,Long,28,0.53
2018-03-21,2018-03-22,Long,1,-2.17
2018-03-22,2018-03-23,Long,1,-0.14
2018-03-23,2018-04-04,Long,12,0.05
2018-04-04,2018-04-09,Long,5,-0.14
2018-04-09,2018-04-10,Long,1,0.38
2018-04-10,2018-04-11,Long,1,-0.2
2018-04-11,2018-04-12,Long,1,0.59
2018-04-12,2018-04-13,Long,1,-0.27
2018-04-13,2018-10-09,Long,179,9.36
2018-10-09,2018-10-10,Long,1,-2.8
2018-10-10,2018-10-15,Long,5,-0.37
2018-10-15,2018-10-16,Long,1,0.7
2018-10-16,2018-10-22,Long,6,-0.98
2018-10-22,2018-10-23,Long,1,-0.19
2018-10-23,2018-10-24,Long,1,-0.3
2018-10-24,2018-10-31,Long,7,0.02
2018-10-31,2018-11-01,Long,1,0.14
2018-11-01,2018-11-02,Long,1,-0.38
2018-11-02,2018-11-05,Long,3,0.43
2018-11-05,2018-11-06,Long,1,0.57
2018-11-06,2018-12-03,Long,27,1.54
2018-12-03,2018-12-04,Long,1,-2.98
2018-12-04,2018-12-05,Long,1,0.0
2018-12-05,2018-12-06,Long,1,-0.05
2018-12-06,2019-01-09,Long,34,-0.04
2019-01-09,2019-01-10,Long,1,0.05
2019-01-10,2019-01-11,Long,1,0.03
2019-01-11,2019-05-31,Long,140,6.81
2019-05-31,2019-06-05,Long,5,2.4
