trade_id,entry_date,exit_date,direction,qty_pct,notional_usd,price_entry,holding_days,trade_return_pct,signal_code,threshold_code,strategy_code
1,2002-03-11,2002-03-12,Long,52.72,5271.62,75.38,1,-0.03,S6_hmm_stress,T4_hmm_0.5,P2
2,2002-03-12,2002-03-13,Long,71.38,7138.47,75.33,1,-0.69,S6_hmm_stress,T4_hmm_0.5,P2
3,2002-03-13,2002-03-15,Long,78.18,7818.48,74.61,2,0.65,S6_hmm_stress,T4_hmm_0.5,P2
4,2002-03-15,2002-04-22,Long,96.6,9659.92,75.22,38,-4.83,S6_hmm_stress,T4_hmm_0.5,P2
5,2002-04-22,2002-04-23,Long,93.76,9376.45,71.57,1,-0.41,S6_hmm_stress,T4_hmm_0.5,P2
6,2002-04-23,2002-04-24,Long,79.42,7941.9,71.26,1,-0.8,S6_hmm_stress,T4_hmm_0.5,P2
7,2002-04-24,2002-04-25,Long,61.31,6131.25,70.55,1,0.03,S6_hmm_stress,T4_hmm_0.5,P2
8,2002-04-25,2002-04-26,Long,37.3,3730.4,70.59,1,-0.71,S6_hmm_stress,T4_hmm_0.5,P2
9,2002-04-26,2002-04-29,Long,10.58,1058.37,69.24,3,-0.05,S6_hmm_stress,T4_hmm_0.5,P2
10,2002-04-29,2002-05-10,Long,0.06,6.11,68.9,11,-0.11,S6_hmm_stress,T4_hmm_0.5,P2
11,2002-05-10,2002-05-13,Long,11.0,1100.08,68.17,3,0.22,S6_hmm_stress,T4_hmm_0.5,P2
12,2002-05-13,2002-05-14,Long,43.89,4389.21,69.55,1,0.96,S6_hmm_stress,T4_hmm_0.5,P2
13,2002-05-14,2002-05-15,Long,69.83,6982.88,71.07,1,-0.27,S6_hmm_stress,T4_hmm_0.5,P2
14,2002-05-15,2002-05-16,Long,89.0,8900.44,70.79,1,0.46,S6_hmm_stress,T4_hmm_0.5,P2
15,2002-05-16,2002-05-28,Long,94.76,9475.65,71.16,12,-2.03,S6_hmm_stress,T4_hmm_0.5,P2
16,2002-05-28,2002-05-29,Long,82.06,8206.0,69.7,1,-0.61,S6_hmm_stress,T4_hmm_0.5,P2
17,2002-05-29,2002-05-30,Long,55.38,5537.55,69.19,1,-0.15,S6_hmm_stress,T4_hmm_0.5,P2
18,2002-05-30,2002-05-31,Long,30.73,3073.13,68.99,1,0.06,S6_hmm_stress,T4_hmm_0.5,P2
