signal,threshold,strategy,lead_days,val_sharpe,val_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,val_n
S6_hmm_stress,T4_hmm_0.5,P1,0,1.0831,0.097854,-0.097412,0.3211,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.5,P2,0,1.2427,0.108807,-0.084984,0.4994,352,3.65,True,1638
S6_hmm_stress,T4_hmm_0.5,P3,0,0.2789,0.054807,-0.485836,0.5128,83,6.41,True,1638
S6_hmm_stress,T4_hmm_0.7,P1,0,1.1808,0.108951,-0.099743,0.3291,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.7,P2,0,1.2427,0.108807,-0.084984,0.4994,352,3.65,True,1638
S6_hmm_stress,T4_hmm_0.7,P3,0,0.392,0.077001,-0.479666,0.5153,83,6.41,True,1638
S6_hmm_stress,T4_hmm_0.5,P1,1,0.8494,0.078959,-0.103566,0.3175,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.5,P2,1,0.9146,0.082843,-0.104191,0.4982,352,3.65,True,1638
S6_hmm_stress,T4_hmm_0.5,P3,1,0.0866,0.017018,-0.484537,0.5055,83,6.41,True,1638
S6_hmm_stress,T4_hmm_0.7,P1,1,0.8404,0.080371,-0.142728,0.3254,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.7,P2,1,0.9146,0.082843,-0.104191,0.4982,352,3.65,True,1638
S6_hmm_stress,T4_hmm_0.7,P3,1,0.101,0.019841,-0.485836,0.5079,83,6.41,True,1638
S6_hmm_stress,T4_hmm_0.5,P1,5,0.7863,0.077221,-0.13095,0.3187,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.5,P2,5,0.7222,0.069633,-0.130535,0.5006,352,3.65,True,1638
S6_hmm_stress,T4_hmm_0.5,P3,5,0.0689,0.013542,-0.517386,0.5061,83,6.41,True,1638
S6_hmm_stress,T4_hmm_0.7,P1,5,0.6926,0.069483,-0.141832,0.3248,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.7,P2,5,0.7222,0.069633,-0.130535,0.5006,352,3.65,True,1638
S6_hmm_stress,T4_hmm_0.7,P3,5,-0.0098,-0.001935,-0.505337,0.5049,83,6.41,False,1638
S6_hmm_stress,T4_hmm_0.5,P1,10,0.4797,0.051962,-0.191634,0.3175,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.5,P2,10,0.4828,0.051383,-0.184547,0.5018,352,3.66,True,1638
S6_hmm_stress,T4_hmm_0.5,P3,10,-0.1882,-0.036977,-0.507445,0.5031,83,6.41,False,1638
S6_hmm_stress,T4_hmm_0.7,P1,10,0.4832,0.053032,-0.192043,0.3236,83,3.2,True,1638
S6_hmm_stress,T4_hmm_0.7,P2,10,0.4828,0.051383,-0.184547,0.5018,352,3.66,True,1638
S6_hmm_stress,T4_hmm_0.7,P3,10,-0.1773,-0.034837,-0.52615,0.5018,83,6.41,False,1638
S6_hmm_stress,T4_hmm_0.5,P1,21,0.3569,0.050548,-0.303442,0.3156,81,3.13,True,1638
S6_hmm_stress,T4_hmm_0.5,P2,21,0.3483,0.048597,-0.304078,0.4982,348,3.58,True,1638
S6_hmm_stress,T4_hmm_0.5,P3,21,-0.2026,-0.039805,-0.606633,0.4982,81,6.25,False,1638
S6_hmm_stress,T4_hmm_0.7,P1,21,0.3572,0.051062,-0.303442,0.323,81,3.13,True,1638
S6_hmm_stress,T4_hmm_0.7,P2,21,0.3483,0.048597,-0.304078,0.4982,348,3.58,True,1638
S6_hmm_stress,T4_hmm_0.7,P3,21,-0.1973,-0.038776,-0.588749,0.5,81,6.25,False,1638
S6_hmm_stress,T4_hmm_0.5,P1,63,0.2816,0.043596,-0.337173,0.3138,81,3.13,True,1638
S6_hmm_stress,T4_hmm_0.5,P2,63,0.2746,0.04233,-0.337169,0.4957,348,3.6,True,1638
S6_hmm_stress,T4_hmm_0.5,P3,63,-0.2733,-0.053709,-0.560569,0.4951,81,6.25,False,1638
S6_hmm_stress,T4_hmm_0.7,P1,63,0.3126,0.04858,-0.337173,0.3223,81,3.13,True,1638
S6_hmm_stress,T4_hmm_0.7,P2,63,0.2746,0.04233,-0.337169,0.4957,348,3.6,True,1638
S6_hmm_stress,T4_hmm_0.7,P3,63,-0.2226,-0.04374,-0.56085,0.4988,81,6.25,False,1638
S7_ms_stress,T5_ms_0.5,P1,0,0.5847,0.042054,-0.094628,0.1746,4418,170.47,False,1638
S7_ms_stress,T5_ms_0.5,P3,0,-0.289,-0.056793,-0.563183,0.4658,4418,340.94,False,1638
S7_ms_stress,T5_ms_0.7,P1,0,0.6372,0.049356,-0.094628,0.1862,4660,179.81,False,1638
S7_ms_stress,T5_ms_0.7,P3,0,-0.2147,-0.042188,-0.551511,0.4707,4660,359.61,False,1638
S7_ms_stress,T5_ms_0.5,P1,1,1.6363,0.102002,-0.059937,0.1923,4417,170.43,False,1638
S7_ms_stress,T5_ms_0.5,P3,1,0.3212,0.063104,-0.353842,0.4982,4417,340.86,False,1638
S7_ms_stress,T5_ms_0.7,P1,1,1.2979,0.089239,-0.065389,0.1996,4659,179.77,False,1638
S7_ms_stress,T5_ms_0.7,P3,1,0.1912,0.037577,-0.406866,0.4945,4659,359.54,False,1638
S7_ms_stress,T5_ms_0.5,P1,5,1.387,0.095476,-0.075623,0.1917,4413,170.28,False,1638
S7_ms_stress,T5_ms_0.5,P3,5,0.2547,0.05005,-0.4267,0.4969,4413,340.55,False,1638
S7_ms_stress,T5_ms_0.7,P1,5,1.5004,0.109064,-0.064527,0.2021,4655,179.61,False,1638
S7_ms_stress,T5_ms_0.7,P3,5,0.3931,0.077227,-0.332408,0.5,4655,359.23,False,1638
S7_ms_stress,T5_ms_0.5,P1,10,0.3169,0.025534,-0.117465,0.1728,4408,170.08,False,1638
S7_ms_stress,T5_ms_0.5,P3,10,-0.4573,-0.089833,-0.609371,0.4591,4408,340.17,False,1638
S7_ms_stress,T5_ms_0.7,P1,10,0.5142,0.04287,-0.100956,0.1856,4650,179.42,False,1638
S7_ms_stress,T5_ms_0.7,P3,10,-0.2807,-0.05516,-0.515983,0.4658,4650,358.84,False,1638
S7_ms_stress,T5_ms_0.5,P1,21,1.0318,0.097494,-0.159614,0.1923,4397,169.66,False,1638
S7_ms_stress,T5_ms_0.5,P3,21,0.2753,0.054087,-0.401344,0.4963,4397,339.32,False,1638
S7_ms_stress,T5_ms_0.7,P1,21,0.9742,0.094571,-0.193939,0.2002,4639,179.0,False,1638
S7_ms_stress,T5_ms_0.7,P3,21,0.2455,0.048241,-0.385488,0.4945,4639,357.99,False,1638
S7_ms_stress,T5_ms_0.5,P1,63,0.6896,0.073187,-0.217019,0.177,4355,168.04,False,1638
S7_ms_stress,T5_ms_0.5,P3,63,0.0279,0.005473,-0.30896,0.4683,4355,336.08,False,1638
S7_ms_stress,T5_ms_0.7,P1,63,0.7116,0.0766,-0.217019,0.188,4597,177.38,False,1638
S7_ms_stress,T5_ms_0.7,P3,63,0.0626,0.012299,-0.31458,0.4713,4597,354.75,False,1638
BENCHMARK,BUY_HOLD,BH,0,0.7177,0.140901,-0.337173,0.5293,1,0.0,True,1638
