lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-10,0.0241,-0.3313,0.3313,False,"(1,0,0)",25
-9,0.1432,-0.3313,0.3313,False,"(1,0,0)",26
-8,-0.0913,-0.3313,0.3313,False,"(1,0,0)",27
-7,0.0021,-0.3313,0.3313,False,"(1,0,0)",28
-6,-0.022,-0.3313,0.3313,False,"(1,0,0)",29
-5,0.139,-0.3313,0.3313,False,"(1,0,0)",30
-4,0.1574,-0.3313,0.3313,False,"(1,0,0)",31
-3,0.0898,-0.3313,0.3313,False,"(1,0,0)",32
-2,0.154,-0.3313,0.3313,False,"(1,0,0)",33
-1,-0.2485,-0.3313,0.3313,False,"(1,0,0)",34
0,-0.59,-0.3313,0.3313,True,"(1,0,0)",35
1,0.1382,-0.3313,0.3313,False,"(1,0,0)",34
2,0.2873,-0.3313,0.3313,False,"(1,0,0)",33
3,-0.0349,-0.3313,0.3313,False,"(1,0,0)",32
4,0.0731,-0.3313,0.3313,False,"(1,0,0)",31
5,0.2665,-0.3313,0.3313,False,"(1,0,0)",30
6,0.1045,-0.3313,0.3313,False,"(1,0,0)",29
7,0.0214,-0.3313,0.3313,False,"(1,0,0)",28
8,0.0146,-0.3313,0.3313,False,"(1,0,0)",27
9,0.0278,-0.3313,0.3313,False,"(1,0,0)",26
10,-0.0703,-0.3313,0.3313,False,"(1,0,0)",25
