pair_name,horizon_days,metric,value,p_value,n_obs
hy_ig_spy_v4_from_scratch,1m,pearson,0.3088,0.0755,34
hy_ig_spy_v4_from_scratch,1m,spearman,0.2946,0.0908,34
hy_ig_spy_v4_from_scratch,1m,kendall,0.2041,0.0908,34
hy_ig_spy_v4_from_scratch,1m,distance,0.3088,,34
hy_ig_spy_v4_from_scratch,3m,pearson,0.1234,0.5011,32
hy_ig_spy_v4_from_scratch,3m,spearman,0.1872,0.3048,32
hy_ig_spy_v4_from_scratch,3m,kendall,0.1155,0.355,32
hy_ig_spy_v4_from_scratch,3m,distance,0.1234,,32
hy_ig_spy_v4_from_scratch,6m,pearson,0.0637,0.7427,29
hy_ig_spy_v4_from_scratch,6m,spearman,0.203,0.2909,29
hy_ig_spy_v4_from_scratch,6m,kendall,0.1383,0.2933,29
hy_ig_spy_v4_from_scratch,6m,distance,0.0637,,29
