direction,lag,f_statistic,p_value,significant
indicator_to_target,1,1.3041,0.2542,False
indicator_to_target,2,1.6272,0.198,False
indicator_to_target,3,0.5972,0.6172,False
indicator_to_target,4,3.3338,0.0107,True
indicator_to_target,5,3.1032,0.0094,True
indicator_to_target,6,2.8281,0.0107,True
target_to_indicator,1,25.9715,0.0,True
target_to_indicator,2,5.1618,0.0062,True
target_to_indicator,3,3.0542,0.0286,True
target_to_indicator,4,3.1138,0.0155,True
target_to_indicator,5,2.5273,0.029,True
target_to_indicator,6,2.3885,0.0284,True
