signal,horizon,coef,se,t_stat,p_value,r_squared,n
hy_ig_spread_pct,spy_fwd_1m,0.038648,0.02429,1.591,0.1116,0.0954,34
hy_ig_spread_pct,spy_fwd_3m,0.015242,0.022115,0.689,0.4907,0.0152,32
hy_ig_spread_pct,spy_fwd_6m,0.007074,0.02886,0.245,0.8064,0.0041,29
hy_ig_zscore_12m,spy_fwd_1m,0.009667,0.009076,1.065,0.2869,0.0745,29
hy_ig_zscore_12m,spy_fwd_3m,0.005836,0.004556,1.281,0.2003,0.0257,27
hy_ig_zscore_12m,spy_fwd_6m,0.002476,0.004593,0.539,0.5899,0.0054,24
hy_ig_zscore_24m,spy_fwd_1m,0.012624,0.013459,0.938,0.3482,0.079,24
hy_ig_zscore_24m,spy_fwd_3m,0.014719,0.010791,1.364,0.1726,0.0853,22
hy_ig_zscore_24m,spy_fwd_6m,0.009084,0.008972,1.012,0.3113,0.0317,19
hy_ig_pctrank_12m,spy_fwd_1m,0.022704,0.029233,0.777,0.4374,0.0359,29
hy_ig_pctrank_12m,spy_fwd_3m,0.032073,0.02064,1.554,0.1202,0.0631,27
hy_ig_pctrank_12m,spy_fwd_6m,0.029035,0.02586,1.123,0.2615,0.0557,24
hy_ig_pctrank_24m,spy_fwd_1m,0.035842,0.041667,0.86,0.3897,0.0788,23
hy_ig_pctrank_24m,spy_fwd_3m,0.05127,0.035177,1.457,0.145,0.1154,21
hy_ig_pctrank_24m,spy_fwd_6m,0.041555,0.034316,1.211,0.2259,0.0723,18
hy_ig_roc_1m,spy_fwd_1m,-4.7e-05,0.000747,-0.063,0.9496,0.0001,33
hy_ig_roc_1m,spy_fwd_3m,0.000152,0.000779,0.195,0.8456,0.0015,31
hy_ig_roc_1m,spy_fwd_6m,0.000353,0.000529,0.667,0.5048,0.0095,28
hy_ig_roc_3m,spy_fwd_1m,0.000488,0.000434,1.124,0.2608,0.0429,31
hy_ig_roc_3m,spy_fwd_3m,0.00028,0.000269,1.039,0.2987,0.0158,29
hy_ig_roc_3m,spy_fwd_6m,0.00012,0.000271,0.443,0.6577,0.0031,26
hy_ig_roc_6m,spy_fwd_1m,0.000627,0.000458,1.367,0.1716,0.0828,28
hy_ig_roc_6m,spy_fwd_3m,0.00037,0.000246,1.506,0.132,0.027,26
hy_ig_roc_6m,spy_fwd_6m,-0.000228,0.000473,-0.482,0.63,0.0118,23
hy_ig_mom_1m,spy_fwd_1m,-0.000146,0.032965,-0.004,0.9965,0.0,33
hy_ig_mom_1m,spy_fwd_3m,0.000555,0.030088,0.018,0.9853,0.0,31
hy_ig_mom_1m,spy_fwd_6m,0.007707,0.025139,0.307,0.7592,0.0025,28
hy_ig_mom_3m,spy_fwd_1m,0.017593,0.020751,0.848,0.3966,0.0284,31
hy_ig_mom_3m,spy_fwd_3m,0.012146,0.012623,0.962,0.336,0.0152,29
hy_ig_mom_3m,spy_fwd_6m,0.003831,0.013759,0.278,0.7807,0.0016,26
hy_ig_mom_6m,spy_fwd_1m,0.023185,0.021333,1.087,0.2771,0.062,28
hy_ig_mom_6m,spy_fwd_3m,0.01344,0.010537,1.275,0.2021,0.0196,26
hy_ig_mom_6m,spy_fwd_6m,-0.012252,0.022165,-0.553,0.5804,0.0186,23
hy_ig_acceleration,spy_fwd_1m,-0.000767,0.000537,-1.43,0.1528,0.0611,32
hy_ig_acceleration,spy_fwd_3m,-9.9e-05,0.00061,-0.162,0.8713,0.0012,30
hy_ig_acceleration,spy_fwd_6m,0.000106,0.000335,0.316,0.7519,0.0015,27
