date,window_months,f_statistic,p_value
1999-11-30,36,0.5273,0.5958
1999-12-31,36,0.5341,0.5919
2000-01-31,36,0.2916,0.7492
2000-02-29,36,0.3774,0.6889
2000-03-31,36,0.4458,0.6447
2000-04-28,36,0.3556,0.7038
2000-05-31,36,0.5792,0.5667
2000-06-30,36,0.339,0.7153
2000-07-31,36,0.4165,0.6632
2000-08-31,36,0.3237,0.726
2000-09-29,36,0.1741,0.8411
2000-10-31,36,0.1198,0.8875
2000-11-30,36,0.0951,0.9096
2000-12-29,36,0.1217,0.8859
2001-01-31,36,0.2779,0.7594
2001-02-28,36,0.0587,0.9431
2001-03-30,36,0.3847,0.684
2001-04-30,36,0.1679,0.8462
2001-05-31,36,0.2503,0.7802
2001-06-29,36,1.4184,0.2584
2001-07-31,36,1.3134,0.2844
2001-08-31,36,1.5345,0.2326
2001-09-28,36,2.7404,0.0813
2001-10-31,36,3.8896,0.0319
2001-11-30,36,2.5792,0.0931
2001-12-31,36,1.8762,0.1713
2002-01-31,36,1.2486,0.3019
2002-02-28,36,1.1263,0.338
2002-03-29,36,0.9957,0.3817
2002-04-30,36,0.6217,0.544
2002-05-31,36,0.7576,0.4778
2002-06-28,36,0.5804,0.5661
2002-07-31,36,1.4506,0.2509
2002-08-30,36,1.0124,0.3758
2002-09-30,36,0.9344,0.4043
2002-10-31,36,0.3443,0.7116
2002-11-29,36,0.1289,0.8796
2002-12-31,36,0.1355,0.8738
2003-01-31,36,0.1055,0.9002
2003-02-28,36,0.094,0.9105
2003-03-31,36,0.1521,0.8595
2003-04-30,36,0.3739,0.6913
2003-05-30,36,0.3177,0.7303
2003-06-30,36,0.676,0.5165
2003-07-31,36,0.2729,0.7631
2003-08-29,36,0.1943,0.8245
2003-09-30,36,0.014,0.9861
2003-10-31,36,0.0393,0.9615
2003-11-28,36,0.0729,0.9299
2003-12-31,36,0.214,0.8086
2004-01-30,36,0.3303,0.7214
2004-02-27,36,0.1947,0.8241
2004-03-31,36,0.1279,0.8805
2004-04-30,36,0.0642,0.9379
2004-05-31,36,0.1147,0.892
2004-06-30,36,0.0873,0.9167
2004-07-30,36,0.1805,0.8358
2004-08-31,36,0.3494,0.7081
2004-09-30,36,0.2609,0.7721
2004-10-29,36,0.2885,0.7515
2004-11-30,36,0.3584,0.7019
2004-12-31,36,0.4081,0.6687
2005-01-31,36,0.4593,0.6362
2005-02-28,36,0.8562,0.4352
2005-03-31,36,0.7407,0.4856
