date,window_months,rolling_sharpe
2024-04-30,6,0.4585
2024-05-31,6,1.0726
2024-06-30,6,1.2466
2024-07-31,6,1.2426
2024-08-31,6,0.6629
2024-09-30,6,0.8088
2024-10-31,6,3.1527
2024-11-30,6,2.8774
2024-12-31,6,1.4267
2025-01-31,6,1.8038
2025-02-28,6,1.3575
2025-03-31,6,-0.4244
2025-04-30,6,-0.3528
2025-05-31,6,-1.2659
2025-06-30,6,-0.3702
2025-07-31,6,-0.2426
2025-08-31,6,0.1219
2025-09-30,6,4.2442
2025-10-31,6,6.6879
2025-11-30,6,7.1454
2025-12-31,6,4.5969
2026-01-31,6,4.268
2026-02-28,6,2.3388
2026-03-31,6,-0.1976
2026-04-30,6,0.6693
2024-05-31,12,1.0726
2024-06-30,12,1.2466
2024-07-31,12,1.2426
2024-08-31,12,1.4107
2024-09-30,12,1.4781
2024-10-31,12,1.2865
2024-11-30,12,1.6704
2024-12-31,12,1.328
2025-01-31,12,1.482
2025-02-28,12,1.0157
2025-03-31,12,0.0809
2025-04-30,12,0.5148
2025-05-31,12,0.1721
2025-06-30,12,0.3089
2025-07-31,12,0.5207
2025-08-31,12,0.5825
2025-09-30,12,0.7486
2025-10-31,12,1.0007
2025-11-30,12,0.6352
2025-12-31,12,0.8449
2026-01-31,12,0.766
2026-02-28,12,0.6762
2026-03-31,12,1.5602
2026-04-30,12,1.983
